"Date","Price","Open","High","Low","Vol.","Change %"
"10/29/2025","186.12","186.16","186.85","185.87","","-0.03%"
"10/28/2025","186.17","186.21","186.24","185.62","","-0.04%"
"10/27/2025","186.25","185.55","186.34","185.55","","0.42%"
"10/24/2025","185.48","185.94","185.94","184.70","","0.14%"
"10/23/2025","185.22","184.42","185.34","184.42","","0.43%"
"10/22/2025","184.42","185.46","185.46","184.32","","-0.58%"
"10/21/2025","185.49","185.02","185.73","184.84","","0.26%"
"10/20/2025","185.00","183.69","185.14","183.58","","1.29%"
"10/17/2025","182.64","182.34","183.61","181.04","","-1.02%"
"10/16/2025","184.52","183.47","184.54","182.67","","0.74%"
"10/15/2025","183.17","183.09","184.15","183.07","","0.71%"
"10/14/2025","181.88","181.45","181.95","180.27","","-0.37%"
"10/13/2025","182.56","182.39","183.16","181.82","","0.49%"
"10/10/2025","181.67","184.22","184.71","181.61","","-1.31%"
"10/09/2025","184.08","184.82","185.19","184.06","","-0.37%"
"10/08/2025","184.77","183.62","185.02","183.55","","0.66%"
"10/07/2025","183.56","183.95","184.47","183.47","","-0.27%"
"10/06/2025","184.05","184.22","184.64","183.11","","-0.25%"
"10/03/2025","184.51","184.64","184.79","184.11","","0.26%"
"10/02/2025","184.03","183.69","184.81","183.69","","0.93%"
"10/01/2025","182.33","180.23","182.62","180.00","","1.02%"
"09/30/2025","180.49","179.69","180.51","179.10","","0.30%"
"09/29/2025","179.95","180.00","180.27","179.52","","0.20%"
"09/26/2025","179.59","178.53","179.80","178.49","","0.73%"
"09/25/2025","178.29","179.00","179.00","177.69","","-0.51%"
"09/24/2025","179.21","179.53","179.63","178.76","","-0.21%"
"09/23/2025","179.58","179.10","180.30","179.08","","0.45%"
"09/22/2025","178.78","179.25","179.25","178.21","","-0.24%"
"09/19/2025","179.21","179.40","180.35","179.14","","-0.10%"
"09/18/2025","179.39","177.25","179.63","177.25","","1.26%"
"09/17/2025","177.15","177.28","177.82","176.87","","-0.06%"
"09/16/2025","177.26","179.36","179.41","177.20","","-1.17%"
"09/15/2025","179.35","178.10","179.68","178.10","","0.77%"
"09/12/2025","177.98","177.83","178.24","177.17","","0.10%"
"09/11/2025","177.81","177.13","178.28","176.82","","0.38%"
"09/10/2025","177.14","177.00","178.27","176.97","","0.07%"
"09/09/2025","177.01","176.97","177.69","176.47","","0.03%"
"09/08/2025","176.96","175.78","177.08","175.78","","0.73%"
"09/05/2025","175.68","176.14","176.91","175.16","","-0.22%"
"09/04/2025","176.06","175.26","176.18","175.05","","0.47%"
"09/03/2025","175.24","175.14","175.64","174.36","","0.60%"
"09/02/2025","174.20","176.89","176.96","174.16","","-1.55%"
"09/01/2025","176.95","176.93","177.33","176.65","","0.33%"
"08/29/2025","176.37","177.24","177.68","176.36","","-0.78%"
"08/28/2025","177.75","178.23","178.78","177.27","","0.03%"
"08/27/2025","177.69","178.13","178.47","177.27","","-0.13%"
"08/26/2025","177.92","178.38","178.61","177.59","","-1.00%"
"08/25/2025","179.71","180.37","180.76","179.67","","-0.65%"
"08/22/2025","180.89","179.58","181.48","179.58","","0.54%"
"08/21/2025","179.91","180.03","180.03","179.18","","-0.09%"
"08/20/2025","180.07","179.89","180.62","179.51","","-0.21%"
"08/19/2025","180.44","179.42","180.60","179.27","","0.77%"
"08/18/2025","179.07","179.46","179.46","178.47","","-0.03%"
"08/15/2025","179.13","179.58","179.62","178.92","","0.22%"
"08/14/2025","178.73","177.89","178.81","177.80","","0.64%"
"08/13/2025","177.60","176.97","177.71","176.97","","0.63%"
"08/12/2025","176.49","176.66","176.77","175.73","","0.20%"
"08/11/2025","176.13","177.39","177.39","175.96","","-0.31%"
"08/08/2025","176.67","176.32","177.17","176.12","","0.42%"
"08/07/2025","175.93","174.01","176.43","173.89","","1.38%"
"08/06/2025","173.54","173.99","174.24","173.21","","0.14%"
"08/05/2025","173.29","173.85","174.01","172.96","","0.08%"
"08/04/2025","173.15","171.64","173.19","171.61","","1.30%"
"08/01/2025","170.93","173.95","173.95","170.45","","-2.41%"
"07/31/2025","175.16","177.37","177.84","175.16","","-1.04%"
"07/30/2025","177.00","176.77","177.41","176.36","","0.06%"
"07/29/2025","176.89","177.41","179.14","176.78","","-0.15%"
"07/28/2025","177.16","179.24","179.72","176.95","","-0.38%"
"07/25/2025","177.84","177.44","178.09","176.75","","0.00%"
"07/24/2025","177.84","178.10","178.81","177.49","","0.32%"
"07/23/2025","177.28","176.27","177.76","176.27","","1.10%"
"07/22/2025","175.35","176.19","176.19","174.94","","-0.61%"
"07/21/2025","176.43","176.64","176.67","175.71","","-0.07%"
"07/18/2025","176.55","177.35","177.90","176.37","","-0.20%"
"07/17/2025","176.90","175.85","176.91","175.85","","1.20%"
"07/16/2025","174.80","175.62","176.22","174.77","","-0.82%"
"07/15/2025","176.25","176.98","177.71","176.19","","-0.36%"
"07/14/2025","176.89","176.41","176.93","175.86","","-0.22%"
"07/11/2025","177.28","178.72","178.72","177.04","","-0.97%"
"07/10/2025","179.02","178.85","179.53","178.81","","0.17%"
"07/09/2025","178.71","177.36","178.87","177.03","","1.03%"
"07/08/2025","176.88","176.46","176.91","175.82","","0.41%"
"07/07/2025","176.16","175.02","176.18","174.93","","0.70%"
"07/04/2025","174.94","175.33","175.38","174.26","","-0.65%"
"07/03/2025","176.08","175.78","176.08","175.06","","0.44%"
"07/02/2025","175.31","175.14","175.61","174.43","","0.57%"
"07/01/2025","174.32","175.43","175.43","173.77","","-0.46%"
"06/30/2025","175.12","176.41","176.41","174.91","","-0.40%"
"06/27/2025","175.83","174.58","175.88","174.51","","1.42%"
"06/26/2025","173.37","173.75","173.95","172.76","","0.06%"
"06/25/2025","173.27","174.99","175.28","173.24","","-0.81%"
"06/24/2025","174.69","174.49","175.30","174.34","","1.46%"
"06/23/2025","172.17","172.12","173.06","171.29","","-0.39%"
"06/20/2025","172.84","172.63","173.96","172.63","","0.39%"
"06/19/2025","172.17","173.21","173.36","172.16","","-1.02%"
"06/18/2025","173.95","174.57","174.91","173.53","","-0.42%"
"06/17/2025","174.68","175.41","175.41","174.09","","-1.00%"
"06/16/2025","176.45","175.39","176.64","175.39","","0.68%"
"06/13/2025","175.25","176.10","176.10","174.76","","-1.10%"
"06/12/2025","177.20","177.54","177.73","176.05","","-0.49%"
"06/11/2025","178.07","178.47","178.86","178.03","","-0.22%"
"06/10/2025","178.47","178.46","178.80","177.80","","0.05%"
"06/09/2025","178.38","178.57","178.72","177.87","","-0.15%"
"06/06/2025","178.64","178.19","178.83","177.85","","0.26%"
"06/05/2025","178.18","177.71","178.55","177.30","","0.28%"
"06/04/2025","177.68","176.90","178.07","176.90","","0.60%"
"06/03/2025","176.62","176.63","177.01","175.45","","0.07%"
"06/02/2025","176.49","176.17","176.67","175.22","","-0.08%"
"05/30/2025","176.64","176.78","177.59","176.43","","-0.10%"
"05/29/2025","176.81","177.18","178.46","176.70","","-0.16%"
"05/28/2025","177.10","178.10","178.48","177.08","","-0.56%"
"05/27/2025","178.09","177.42","178.62","177.42","","0.34%"
"05/26/2025","177.48","177.53","177.69","177.04","","1.30%"
"05/23/2025","175.20","177.82","178.21","172.63","","-1.35%"
"05/22/2025","177.59","177.88","178.11","176.62","","-0.78%"
"05/21/2025","178.98","178.50","179.20","177.74","","-0.06%"
"05/20/2025","179.08","178.37","179.38","177.89","","0.76%"
"05/19/2025","177.73","176.74","177.76","176.20","","0.15%"
"05/16/2025","177.46","177.56","178.17","176.80","","0.24%"
"05/15/2025","177.04","175.68","177.09","175.38","","0.40%"
"05/14/2025","176.34","176.63","176.81","175.64","","-0.20%"
"05/13/2025","176.69","176.46","176.85","176.16","","0.31%"
"05/12/2025","176.14","175.43","176.63","174.81","","1.33%"
"05/09/2025","173.83","173.53","174.26","173.40","","0.58%"
"05/08/2025","172.83","172.22","173.54","172.16","","0.66%"
"05/07/2025","171.70","171.98","172.57","171.41","","-0.37%"
"05/06/2025","172.34","173.38","173.38","170.79","","-0.50%"
"05/05/2025","173.20","172.68","173.32","172.60","","0.18%"
"05/02/2025","172.89","171.09","172.94","170.87","","2.19%"
"05/01/2025","169.19","169.30","169.47","169.14","","0.04%"
"04/30/2025","169.13","168.73","169.37","167.31","","0.43%"
"04/29/2025","168.40","168.39","168.73","167.82","","0.24%"
"04/28/2025","168.00","168.16","168.78","167.92","","0.27%"
"04/25/2025","167.54","167.65","167.91","166.72","","0.58%"
"04/24/2025","166.58","165.31","166.60","164.49","","0.33%"
"04/23/2025","166.03","163.94","166.67","163.94","","2.29%"
"04/22/2025","162.32","161.36","162.40","160.30","","0.41%"
"04/21/2025","161.66","161.80","161.83","161.63","","-0.09%"
"04/18/2025","161.80","161.80","161.80","161.80","","0.00%"
"04/17/2025","161.80","162.12","162.45","161.25","","-0.30%"
"04/16/2025","162.28","161.39","162.37","160.25","","-0.19%"
"04/15/2025","162.59","160.64","162.72","160.64","","1.46%"
"04/14/2025","160.25","158.42","160.91","158.42","","2.76%"
"04/11/2025","155.94","157.66","157.89","153.95","","-0.39%"
"04/10/2025","156.55","152.48","161.97","152.48","","3.90%"
"04/09/2025","150.68","152.03","152.90","148.77","","-3.16%"
"04/08/2025","155.60","153.57","157.22","152.54","","2.50%"
"04/07/2025","151.81","156.70","158.76","147.79","","-4.07%"
"04/04/2025","158.25","165.60","165.60","156.74","","-5.02%"
"04/03/2025","166.61","169.73","169.73","166.38","","-3.04%"
"04/02/2025","171.83","171.98","172.00","170.22","","-0.37%"
"04/01/2025","172.46","171.17","172.60","171.12","","1.27%"
"03/31/2025","170.30","172.34","172.34","169.42","","-1.59%"
"03/28/2025","173.06","174.51","174.51","172.59","","-0.99%"
"03/27/2025","174.79","175.28","175.28","173.60","","-0.60%"
"03/26/2025","175.84","177.74","178.09","175.78","","-1.07%"
"03/25/2025","177.75","176.46","178.49","176.46","","0.81%"
"03/24/2025","176.32","176.97","177.77","175.81","","-0.11%"
"03/21/2025","176.51","177.42","177.42","175.68","","-0.65%"
"03/20/2025","177.67","179.16","179.24","176.69","","-0.82%"
"03/19/2025","179.14","178.43","179.38","178.05","","0.17%"
"03/18/2025","178.83","178.28","179.59","178.14","","0.68%"
"03/17/2025","177.62","176.33","177.62","176.09","","0.80%"
"03/14/2025","176.21","173.64","176.40","173.33","","1.49%"
"03/13/2025","173.62","173.78","175.14","173.17","","-0.36%"
"03/12/2025","174.24","173.99","175.26","173.01","","0.81%"
"03/11/2025","172.84","175.85","176.23","172.41","","-1.40%"
"03/10/2025","175.29","179.04","179.19","174.91","","-1.73%"
"03/07/2025","178.38","179.14","179.14","177.49","","-0.85%"
"03/06/2025","179.91","180.04","180.76","178.06","","0.39%"
"03/05/2025","179.21","176.94","180.31","176.94","","2.06%"
"03/04/2025","175.60","179.38","179.38","175.17","","-2.69%"
"03/03/2025","180.46","178.52","181.33","177.76","","1.20%"
"02/28/2025","178.32","178.16","178.32","176.68","","-0.08%"
"02/27/2025","178.46","179.66","179.66","177.55","","-0.88%"
"02/26/2025","180.05","178.05","180.32","178.05","","1.23%"
"02/25/2025","177.86","177.38","178.89","177.20","","0.08%"
"02/24/2025","177.71","178.06","178.50","176.75","","-0.08%"
"02/21/2025","177.86","177.28","178.33","177.28","","0.41%"
"02/20/2025","177.14","177.29","178.24","176.95","","-0.10%"
"02/19/2025","177.31","179.17","179.46","177.05","","-1.13%"
"02/18/2025","179.34","178.71","179.57","178.30","","0.42%"
"02/17/2025","178.59","177.48","178.70","177.48","","0.62%"
"02/14/2025","177.49","177.91","178.25","177.19","","-0.16%"
"02/13/2025","177.78","175.43","177.80","175.43","","1.41%"
"02/12/2025","175.30","174.95","175.55","174.27","","0.23%"
"02/11/2025","174.89","174.13","174.97","174.08","","0.36%"
"02/10/2025","174.26","173.37","174.41","173.37","","0.52%"
"02/07/2025","173.36","174.10","174.51","173.17","","-0.47%"
"02/06/2025","174.17","172.23","174.28","172.22","","1.49%"
"02/05/2025","171.62","170.65","171.62","170.65","","0.33%"
"02/04/2025","171.05","170.05","171.08","168.82","","0.74%"
"02/03/2025","169.79","169.33","169.99","168.43","","-1.21%"
"01/31/2025","171.87","172.26","172.76","171.69","","0.04%"
"01/30/2025","171.80","171.06","171.89","170.91","","0.80%"
"01/29/2025","170.43","169.50","170.83","169.49","","0.58%"
"01/28/2025","169.44","169.08","170.17","169.06","","0.20%"
"01/27/2025","169.11","169.54","169.68","167.55","","-0.49%"
"01/24/2025","169.94","170.09","171.12","169.61","","0.32%"
"01/23/2025","169.39","168.59","169.40","168.24","","0.39%"
"01/22/2025","168.74","168.32","169.57","168.32","","0.53%"
"01/21/2025","167.85","167.18","167.86","167.08","","0.31%"
"01/20/2025","167.33","167.24","167.98","166.86","","0.08%"
"01/17/2025","167.19","166.64","167.40","166.54","","0.64%"
"01/16/2025","166.13","165.65","166.16","165.38","","0.95%"
"01/15/2025","164.56","162.76","164.92","162.54","","1.29%"
"01/14/2025","162.46","163.10","163.64","162.33","","0.27%"
"01/13/2025","162.03","162.32","162.32","161.11","","-0.56%"
"01/10/2025","162.95","164.22","164.57","162.83","","-0.77%"
"01/09/2025","164.21","162.98","164.29","162.76","","0.46%"
"01/08/2025","163.46","163.78","164.56","162.62","","-0.18%"
"01/07/2025","163.75","163.25","164.30","162.70","","0.32%"
"01/06/2025","163.23","161.39","163.23","161.26","","1.44%"
"01/03/2025","160.92","161.96","161.96","160.62","","-0.67%"
"01/02/2025","162.00","161.00","162.02","160.10","","0.65%"
"12/31/2024","160.96","160.10","160.98","160.10","","0.43%"
"12/30/2024","160.27","160.55","161.11","159.90","","-0.53%"
"12/27/2024","161.13","159.88","161.15","159.73","","0.83%"
"12/26/2024","159.81","159.80","159.82","159.79","","0.01%"
"12/25/2024","159.79","159.79","159.79","159.79","","0.00%"
"12/24/2024","159.79","159.90","160.05","159.76","","0.10%"
"12/23/2024","159.63","159.39","160.14","159.25","","0.14%"
"12/20/2024","159.41","160.67","160.67","157.43","","-1.28%"
"12/19/2024","161.48","162.32","162.48","161.14","","-1.51%"
"12/18/2024","163.95","163.76","164.42","163.52","","0.16%"
"12/17/2024","163.68","163.87","164.32","163.47","","-0.47%"
"12/16/2024","164.45","164.68","164.70","163.97","","-0.13%"
"12/13/2024","164.67","165.04","165.57","164.38","","-0.31%"
"12/12/2024","165.18","165.41","165.67","164.90","","-0.10%"
"12/11/2024","165.35","164.75","165.48","164.61","","0.22%"
"12/10/2024","164.98","165.66","165.79","164.94","","-0.47%"
"12/09/2024","165.76","166.06","166.60","165.62","","0.01%"
"12/06/2024","165.74","165.01","165.87","165.00","","0.44%"
"12/05/2024","165.01","163.90","165.06","163.90","","0.55%"
"12/04/2024","164.10","163.10","164.41","163.10","","0.66%"
"12/03/2024","163.02","162.30","163.61","162.30","","0.52%"
"12/02/2024","162.17","160.52","162.33","159.93","","0.84%"
"11/29/2024","160.82","159.58","160.90","159.22","","0.73%"
"11/28/2024","159.65","158.92","160.34","158.92","","0.52%"
"11/27/2024","158.83","159.60","159.60","158.04","","-0.48%"
"11/26/2024","159.60","160.43","160.56","159.20","","-0.66%"
"11/25/2024","160.66","160.64","161.50","160.30","","0.20%"
"11/22/2024","160.34","159.08","160.46","157.98","","1.05%"
"11/21/2024","158.67","158.16","158.72","156.90","","0.31%"
"11/20/2024","158.18","158.83","159.63","157.88","","-0.20%"
"11/19/2024","158.50","159.51","159.89","156.63","","-0.59%"
"11/18/2024","159.44","159.68","159.89","158.54","","-0.16%"
"11/15/2024","159.69","161.14","161.14","159.53","","-0.96%"
"11/14/2024","161.23","159.31","161.30","159.31","","1.42%"
"11/13/2024","158.97","159.20","159.61","157.92","","-0.14%"
"11/12/2024","159.19","162.57","162.57","159.13","","-2.18%"
