"MTU","Out Area","In Area","Physical Flow (MW)"
"01/01/2017 00:00:00 - 01/01/2017 01:00:00","BZN|DK1","BZN|DE-AT-LU","0.00"
"01/01/2017 00:00:00 - 01/01/2017 01:00:00","BZN|DE-AT-LU","BZN|DK1","645.70"
"01/01/2017 00:00:00 - 01/01/2017 01:00:00","BZN|DK1","BZN|DE-LU","n/e"
"01/01/2017 00:00:00 - 01/01/2017 01:00:00","BZN|DE-LU","BZN|DK1","n/e"
"01/01/2017 00:00:00 - 01/01/2017 01:00:00","BZN|DK1","BZN|DK1A","n/e"
"01/01/2017 00:00:00 - 01/01/2017 01:00:00","BZN|DK1A","BZN|DK1","n/e"
"01/01/2017 00:00:00 - 01/01/2017 01:00:00","BZN|DK1","BZN|DK2","590.40"
"01/01/2017 00:00:00 - 01/01/2017 01:00:00","BZN|DK2","BZN|DK1","0.00"
"01/01/2017 00:00:00 - 01/01/2017 01:00:00","BZN|DK1","BZN|GB","n/e"
"01/01/2017 00:00:00 - 01/01/2017 01:00:00","BZN|GB","BZN|DK1","n/e"
"01/01/2017 00:00:00 - 01/01/2017 01:00:00","BZN|DK1","BZN|NL","n/e"
"01/01/2017 00:00:00 - 01/01/2017 01:00:00","BZN|NL","BZN|DK1","n/e"
"01/01/2017 00:00:00 - 01/01/2017 01:00:00","BZN|DK1","BZN|NO2","1424.68"
"01/01/2017 00:00:00 - 01/01/2017 01:00:00","BZN|NO2","BZN|DK1","0.00"
"01/01/2017 00:00:00 - 01/01/2017 01:00:00","BZN|DK1","BZN|SE3","212.00"
"01/01/2017 00:00:00 - 01/01/2017 01:00:00","BZN|SE3","BZN|DK1","0.00"
"01/01/2017 01:00:00 - 01/01/2017 02:00:00","BZN|DK1","BZN|DE-AT-LU","0.00"
"01/01/2017 01:00:00 - 01/01/2017 02:00:00","BZN|DE-AT-LU","BZN|DK1","691.69"
"01/01/2017 01:00:00 - 01/01/2017 02:00:00","BZN|DK1","BZN|DE-LU","n/e"
"01/01/2017 01:00:00 - 01/01/2017 02:00:00","BZN|DE-LU","BZN|DK1","n/e"
"01/01/2017 01:00:00 - 01/01/2017 02:00:00","BZN|DK1","BZN|DK1A","n/e"
"01/01/2017 01:00:00 - 01/01/2017 02:00:00","BZN|DK1A","BZN|DK1","n/e"
"01/01/2017 01:00:00 - 01/01/2017 02:00:00","BZN|DK1","BZN|DK2","590.01"
"01/01/2017 01:00:00 - 01/01/2017 02:00:00","BZN|DK2","BZN|DK1","0.00"
"01/01/2017 01:00:00 - 01/01/2017 02:00:00","BZN|DK1","BZN|GB","n/e"
"01/01/2017 01:00:00 - 01/01/2017 02:00:00","BZN|GB","BZN|DK1","n/e"
"01/01/2017 01:00:00 - 01/01/2017 02:00:00","BZN|DK1","BZN|NL","n/e"
"01/01/2017 01:00:00 - 01/01/2017 02:00:00","BZN|NL","BZN|DK1","n/e"
"01/01/2017 01:00:00 - 01/01/2017 02:00:00","BZN|DK1","BZN|NO2","1390.80"
"01/01/2017 01:00:00 - 01/01/2017 02:00:00","BZN|NO2","BZN|DK1","0.00"
"01/01/2017 01:00:00 - 01/01/2017 02:00:00","BZN|DK1","BZN|SE3","162.20"
"01/01/2017 01:00:00 - 01/01/2017 02:00:00","BZN|SE3","BZN|DK1","0.00"
"01/01/2017 02:00:00 - 01/01/2017 03:00:00","BZN|DK1","BZN|DE-AT-LU","0.00"
"01/01/2017 02:00:00 - 01/01/2017 03:00:00","BZN|DE-AT-LU","BZN|DK1","724.56"
"01/01/2017 02:00:00 - 01/01/2017 03:00:00","BZN|DK1","BZN|DE-LU","n/e"
"01/01/2017 02:00:00 - 01/01/2017 03:00:00","BZN|DE-LU","BZN|DK1","n/e"
"01/01/2017 02:00:00 - 01/01/2017 03:00:00","BZN|DK1","BZN|DK1A","n/e"
"01/01/2017 02:00:00 - 01/01/2017 03:00:00","BZN|DK1A","BZN|DK1","n/e"
"01/01/2017 02:00:00 - 01/01/2017 03:00:00","BZN|DK1","BZN|DK2","589.89"
"01/01/2017 02:00:00 - 01/01/2017 03:00:00","BZN|DK2","BZN|DK1","0.00"
"01/01/2017 02:00:00 - 01/01/2017 03:00:00","BZN|DK1","BZN|GB","n/e"
"01/01/2017 02:00:00 - 01/01/2017 03:00:00","BZN|GB","BZN|DK1","n/e"
"01/01/2017 02:00:00 - 01/01/2017 03:00:00","BZN|DK1","BZN|NL","n/e"
