"MTU","Out Area","In Area","Physical Flow (MW)"
"01/01/2023 00:00:00 - 01/01/2023 01:00:00","BZN|DK1","BZN|DE-AT-LU","n/e"
"01/01/2023 00:00:00 - 01/01/2023 01:00:00","BZN|DE-AT-LU","BZN|DK1","n/e"
"01/01/2023 00:00:00 - 01/01/2023 01:00:00","BZN|DK1","BZN|DE-LU","0.00"
"01/01/2023 00:00:00 - 01/01/2023 01:00:00","BZN|DE-LU","BZN|DK1","2332.32"
"01/01/2023 00:00:00 - 01/01/2023 01:00:00","BZN|DK1","BZN|DK1A","n/e"
"01/01/2023 00:00:00 - 01/01/2023 01:00:00","BZN|DK1A","BZN|DK1","n/e"
"01/01/2023 00:00:00 - 01/01/2023 01:00:00","BZN|DK1","BZN|DK2","0.00"
"01/01/2023 00:00:00 - 01/01/2023 01:00:00","BZN|DK2","BZN|DK1","375.15"
"01/01/2023 00:00:00 - 01/01/2023 01:00:00","BZN|DK1","BZN|GB","n/e"
"01/01/2023 00:00:00 - 01/01/2023 01:00:00","BZN|GB","BZN|DK1","n/e"
"01/01/2023 00:00:00 - 01/01/2023 01:00:00","BZN|DK1","BZN|NL","0.00"
"01/01/2023 00:00:00 - 01/01/2023 01:00:00","BZN|NL","BZN|DK1","500.05"
"01/01/2023 00:00:00 - 01/01/2023 01:00:00","BZN|DK1","BZN|NO2","1610.67"
"01/01/2023 00:00:00 - 01/01/2023 01:00:00","BZN|NO2","BZN|DK1","0.00"
"01/01/2023 00:00:00 - 01/01/2023 01:00:00","BZN|DK1","BZN|SE3","73.65"
"01/01/2023 00:00:00 - 01/01/2023 01:00:00","BZN|SE3","BZN|DK1","0.00"
"01/01/2023 01:00:00 - 01/01/2023 02:00:00","BZN|DK1","BZN|DE-AT-LU","n/e"
"01/01/2023 01:00:00 - 01/01/2023 02:00:00","BZN|DE-AT-LU","BZN|DK1","n/e"
"01/01/2023 01:00:00 - 01/01/2023 02:00:00","BZN|DK1","BZN|DE-LU","0.00"
"01/01/2023 01:00:00 - 01/01/2023 02:00:00","BZN|DE-LU","BZN|DK1","2150.72"
"01/01/2023 01:00:00 - 01/01/2023 02:00:00","BZN|DK1","BZN|DK1A","n/e"
"01/01/2023 01:00:00 - 01/01/2023 02:00:00","BZN|DK1A","BZN|DK1","n/e"
"01/01/2023 01:00:00 - 01/01/2023 02:00:00","BZN|DK1","BZN|DK2","0.00"
"01/01/2023 01:00:00 - 01/01/2023 02:00:00","BZN|DK2","BZN|DK1","386.99"
"01/01/2023 01:00:00 - 01/01/2023 02:00:00","BZN|DK1","BZN|GB","n/e"
"01/01/2023 01:00:00 - 01/01/2023 02:00:00","BZN|GB","BZN|DK1","n/e"
"01/01/2023 01:00:00 - 01/01/2023 02:00:00","BZN|DK1","BZN|NL","0.00"
"01/01/2023 01:00:00 - 01/01/2023 02:00:00","BZN|NL","BZN|DK1","574.76"
"01/01/2023 01:00:00 - 01/01/2023 02:00:00","BZN|DK1","BZN|NO2","1611.32"
"01/01/2023 01:00:00 - 01/01/2023 02:00:00","BZN|NO2","BZN|DK1","0.00"
"01/01/2023 01:00:00 - 01/01/2023 02:00:00","BZN|DK1","BZN|SE3","499.05"
"01/01/2023 01:00:00 - 01/01/2023 02:00:00","BZN|SE3","BZN|DK1","0.00"
"01/01/2023 02:00:00 - 01/01/2023 03:00:00","BZN|DK1","BZN|DE-AT-LU","n/e"
