"MTU","Out Area","In Area","Physical Flow (MW)"
"01/01/2018 00:00:00 - 01/01/2018 01:00:00","BZN|DK1","BZN|DE-AT-LU","0.00"
"01/01/2018 00:00:00 - 01/01/2018 01:00:00","BZN|DE-AT-LU","BZN|DK1","1416.54"
"01/01/2018 00:00:00 - 01/01/2018 01:00:00","BZN|DK1","BZN|DE-LU","n/e"
"01/01/2018 00:00:00 - 01/01/2018 01:00:00","BZN|DE-LU","BZN|DK1","n/e"
"01/01/2018 00:00:00 - 01/01/2018 01:00:00","BZN|DK1","BZN|DK1A","n/e"
"01/01/2018 00:00:00 - 01/01/2018 01:00:00","BZN|DK1A","BZN|DK1","n/e"
"01/01/2018 00:00:00 - 01/01/2018 01:00:00","BZN|DK1","BZN|DK2","584.79"
"01/01/2018 00:00:00 - 01/01/2018 01:00:00","BZN|DK2","BZN|DK1","0.00"
"01/01/2018 00:00:00 - 01/01/2018 01:00:00","BZN|DK1","BZN|GB","n/e"
"01/01/2018 00:00:00 - 01/01/2018 01:00:00","BZN|GB","BZN|DK1","n/e"
"01/01/2018 00:00:00 - 01/01/2018 01:00:00","BZN|DK1","BZN|NL","n/e"
"01/01/2018 00:00:00 - 01/01/2018 01:00:00","BZN|NL","BZN|DK1","n/e"
"01/01/2018 00:00:00 - 01/01/2018 01:00:00","BZN|DK1","BZN|NO2","1396.17"
"01/01/2018 00:00:00 - 01/01/2018 01:00:00","BZN|NO2","BZN|DK1","0.00"
"01/01/2018 00:00:00 - 01/01/2018 01:00:00","BZN|DK1","BZN|SE3","0.00"
"01/01/2018 00:00:00 - 01/01/2018 01:00:00","BZN|SE3","BZN|DK1","17.29"
"01/01/2018 01:00:00 - 01/01/2018 02:00:00","BZN|DK1","BZN|DE-AT-LU","0.00"
"01/01/2018 01:00:00 - 01/01/2018 02:00:00","BZN|DE-AT-LU","BZN|DK1","1398.61"
"01/01/2018 01:00:00 - 01/01/2018 02:00:00","BZN|DK1","BZN|DE-LU","n/e"
"01/01/2018 01:00:00 - 01/01/2018 02:00:00","BZN|DE-LU","BZN|DK1","n/e"
"01/01/2018 01:00:00 - 01/01/2018 02:00:00","BZN|DK1","BZN|DK1A","n/e"
