"MTU","Out Area","In Area","Physical Flow (MW)"
"01/01/2025 00:00:00 - 01/01/2025 01:00:00","BZN|DK1","BZN|DE-AT-LU","n/e"
"01/01/2025 00:00:00 - 01/01/2025 01:00:00","BZN|DE-AT-LU","BZN|DK1","n/e"
"01/01/2025 00:00:00 - 01/01/2025 01:00:00","BZN|DK1","BZN|DE-LU","0.00"
"01/01/2025 00:00:00 - 01/01/2025 01:00:00","BZN|DE-LU","BZN|DK1","53.44"
"01/01/2025 00:00:00 - 01/01/2025 01:00:00","BZN|DK1","BZN|DK1A","n/e"
"01/01/2025 00:00:00 - 01/01/2025 01:00:00","BZN|DK1A","BZN|DK1","n/e"
"01/01/2025 00:00:00 - 01/01/2025 01:00:00","BZN|DK1","BZN|DK2","440.96"
"01/01/2025 00:00:00 - 01/01/2025 01:00:00","BZN|DK2","BZN|DK1","0.00"
"01/01/2025 00:00:00 - 01/01/2025 01:00:00","BZN|DK1","BZN|GB","0.00"
"01/01/2025 00:00:00 - 01/01/2025 01:00:00","BZN|GB","BZN|DK1","16.45"
"01/01/2025 00:00:00 - 01/01/2025 01:00:00","BZN|DK1","BZN|NL","351.03"
"01/01/2025 00:00:00 - 01/01/2025 01:00:00","BZN|NL","BZN|DK1","0.00"
"01/01/2025 00:00:00 - 01/01/2025 01:00:00","BZN|DK1","BZN|NO2","1604.14"
"01/01/2025 00:00:00 - 01/01/2025 01:00:00","BZN|NO2","BZN|DK1","0.00"
"01/01/2025 00:00:00 - 01/01/2025 01:00:00","BZN|DK1","BZN|SE3","0.00"
"01/01/2025 00:00:00 - 01/01/2025 01:00:00","BZN|SE3","BZN|DK1","480.41"
"01/01/2025 01:00:00 - 01/01/2025 02:00:00","BZN|DK1","BZN|DE-AT-LU","n/e"
"01/01/2025 01:00:00 - 01/01/2025 02:00:00","BZN|DE-AT-LU","BZN|DK1","n/e"
"01/01/2025 01:00:00 - 01/01/2025 02:00:00","BZN|DK1","BZN|DE-LU","0.00"
"01/01/2025 01:00:00 - 01/01/2025 02:00:00","BZN|DE-LU","BZN|DK1","565.52"
"01/01/2025 01:00:00 - 01/01/2025 02:00:00","BZN|DK1","BZN|DK1A","n/e"
"01/01/2025 01:00:00 - 01/01/2025 02:00:00","BZN|DK1A","BZN|DK1","n/e"
"01/01/2025 01:00:00 - 01/01/2025 02:00:00","BZN|DK1","BZN|DK2","448.43"
"01/01/2025 01:00:00 - 01/01/2025 02:00:00","BZN|DK2","BZN|DK1","0.00"
"01/01/2025 01:00:00 - 01/01/2025 02:00:00","BZN|DK1","BZN|GB","250.79"
"01/01/2025 01:00:00 - 01/01/2025 02:00:00","BZN|GB","BZN|DK1","0.00"
"01/01/2025 01:00:00 - 01/01/2025 02:00:00","BZN|DK1","BZN|NL","677.03"
"01/01/2025 01:00:00 - 01/01/2025 02:00:00","BZN|NL","BZN|DK1","0.00"
"01/01/2025 01:00:00 - 01/01/2025 02:00:00","BZN|DK1","BZN|NO2","1603.96"
"01/01/2025 01:00:00 - 01/01/2025 02:00:00","BZN|NO2","BZN|DK1","0.00"
"01/01/2025 01:00:00 - 01/01/2025 02:00:00","BZN|DK1","BZN|SE3","0.00"
"01/01/2025 01:00:00 - 01/01/2025 02:00:00","BZN|SE3","BZN|DK1","696.51"
"01/01/2025 02:00:00 - 01/01/2025 03:00:00","BZN|DK1","BZN|DE-AT-LU","n/e"
"01/01/2025 02:00:00 - 01/01/2025 03:00:00","BZN|DE-AT-LU","BZN|DK1","n/e"
"01/01/2025 02:00:00 - 01/01/2025 03:00:00","BZN|DK1","BZN|DE-LU","0.00"
"01/01/2025 02:00:00 - 01/01/2025 03:00:00","BZN|DE-LU","BZN|DK1","63.52"
"01/01/2025 02:00:00 - 01/01/2025 03:00:00","BZN|DK1","BZN|DK1A","n/e"
"01/01/2025 02:00:00 - 01/01/2025 03:00:00","BZN|DK1A","BZN|DK1","n/e"
"01/01/2025 02:00:00 - 01/01/2025 03:00:00","BZN|DK1","BZN|DK2","0.00"
"01/01/2025 02:00:00 - 01/01/2025 03:00:00","BZN|DK2","BZN|DK1","14.99"
"01/01/2025 02:00:00 - 01/01/2025 03:00:00","BZN|DK1","BZN|GB","413.65"
"01/01/2025 02:00:00 - 01/01/2025 03:00:00","BZN|GB","BZN|DK1","0.00"
"01/01/2025 02:00:00 - 01/01/2025 03:00:00","BZN|DK1","BZN|NL","114.64"
"01/01/2025 02:00:00 - 01/01/2025 03:00:00","BZN|NL","BZN|DK1","0.00"
"01/01/2025 02:00:00 - 01/01/2025 03:00:00","BZN|DK1","BZN|NO2","1585.13"
"01/01/2025 02:00:00 - 01/01/2025 03:00:00","BZN|NO2","BZN|DK1","0.00"
"01/01/2025 02:00:00 - 01/01/2025 03:00:00","BZN|DK1","BZN|SE3","0.00"
"01/01/2025 02:00:00 - 01/01/2025 03:00:00","BZN|SE3","BZN|DK1","652.93"
"01/01/2025 03:00:00 - 01/01/2025 04:00:00","BZN|DK1","BZN|DE-AT-LU","n/e"
"01/01/2025 03:00:00 - 01/01/2025 04:00:00","BZN|DE-AT-LU","BZN|DK1","n/e"
"01/01/2025 03:00:00 - 01/01/2025 04:00:00","BZN|DK1","BZN|DE-LU","0.00"
