"MTU","Out Area","In Area","Physical Flow (MW)"
"01/01/2024 00:00:00 - 01/01/2024 01:00:00","BZN|DK1","BZN|DE-AT-LU","n/e"
"01/01/2024 00:00:00 - 01/01/2024 01:00:00","BZN|DE-AT-LU","BZN|DK1","n/e"
"01/01/2024 00:00:00 - 01/01/2024 01:00:00","BZN|DK1","BZN|DE-LU","0.00"
"01/01/2024 00:00:00 - 01/01/2024 01:00:00","BZN|DE-LU","BZN|DK1","2566.48"
"01/01/2024 00:00:00 - 01/01/2024 01:00:00","BZN|DK1","BZN|DK1A","n/e"
"01/01/2024 00:00:00 - 01/01/2024 01:00:00","BZN|DK1A","BZN|DK1","n/e"
"01/01/2024 00:00:00 - 01/01/2024 01:00:00","BZN|DK1","BZN|DK2","529.91"
"01/01/2024 00:00:00 - 01/01/2024 01:00:00","BZN|DK2","BZN|DK1","0.00"
"01/01/2024 00:00:00 - 01/01/2024 01:00:00","BZN|DK1","BZN|GB","505.66"
"01/01/2024 00:00:00 - 01/01/2024 01:00:00","BZN|GB","BZN|DK1","0.00"
"01/01/2024 00:00:00 - 01/01/2024 01:00:00","BZN|DK1","BZN|NL","0.00"
"01/01/2024 00:00:00 - 01/01/2024 01:00:00","BZN|NL","BZN|DK1","531.47"
"01/01/2024 00:00:00 - 01/01/2024 01:00:00","BZN|DK1","BZN|NO2","1637.52"
"01/01/2024 00:00:00 - 01/01/2024 01:00:00","BZN|NO2","BZN|DK1","0.00"
"01/01/2024 00:00:00 - 01/01/2024 01:00:00","BZN|DK1","BZN|SE3","474.19"
"01/01/2024 00:00:00 - 01/01/2024 01:00:00","BZN|SE3","BZN|DK1","0.00"
"01/01/2024 01:00:00 - 01/01/2024 02:00:00","BZN|DK1","BZN|DE-AT-LU","n/e"
"01/01/2024 01:00:00 - 01/01/2024 02:00:00","BZN|DE-AT-LU","BZN|DK1","n/e"
"01/01/2024 01:00:00 - 01/01/2024 02:00:00","BZN|DK1","BZN|DE-LU","0.00"
"01/01/2024 01:00:00 - 01/01/2024 02:00:00","BZN|DE-LU","BZN|DK1","2517.36"
"01/01/2024 01:00:00 - 01/01/2024 02:00:00","BZN|DK1","BZN|DK1A","n/e"
"01/01/2024 01:00:00 - 01/01/2024 02:00:00","BZN|DK1A","BZN|DK1","n/e"
"01/01/2024 01:00:00 - 01/01/2024 02:00:00","BZN|DK1","BZN|DK2","531.14"
"01/01/2024 01:00:00 - 01/01/2024 02:00:00","BZN|DK2","BZN|DK1","0.00"
"01/01/2024 01:00:00 - 01/01/2024 02:00:00","BZN|DK1","BZN|GB","590.94"
"01/01/2024 01:00:00 - 01/01/2024 02:00:00","BZN|GB","BZN|DK1","0.00"
"01/01/2024 01:00:00 - 01/01/2024 02:00:00","BZN|DK1","BZN|NL","0.00"
"01/01/2024 01:00:00 - 01/01/2024 02:00:00","BZN|NL","BZN|DK1","693.52"
"01/01/2024 01:00:00 - 01/01/2024 02:00:00","BZN|DK1","BZN|NO2","1637.56"
