"MTU","Out Area","In Area","Physical Flow (MW)"
"01/01/2021 00:00:00 - 01/01/2021 01:00:00","BZN|DK1","BZN|DE-AT-LU","n/e"
"01/01/2021 00:00:00 - 01/01/2021 01:00:00","BZN|DE-AT-LU","BZN|DK1","n/e"
"01/01/2021 00:00:00 - 01/01/2021 01:00:00","BZN|DK1","BZN|DE-LU","2090.47"
"01/01/2021 00:00:00 - 01/01/2021 01:00:00","BZN|DE-LU","BZN|DK1","0.00"
"01/01/2021 00:00:00 - 01/01/2021 01:00:00","BZN|DK1","BZN|DK1A","n/e"
"01/01/2021 00:00:00 - 01/01/2021 01:00:00","BZN|DK1A","BZN|DK1","n/e"
"01/01/2021 00:00:00 - 01/01/2021 01:00:00","BZN|DK1","BZN|DK2","0.00"
"01/01/2021 00:00:00 - 01/01/2021 01:00:00","BZN|DK2","BZN|DK1","374.71"
"01/01/2021 00:00:00 - 01/01/2021 01:00:00","BZN|DK1","BZN|GB","n/e"
"01/01/2021 00:00:00 - 01/01/2021 01:00:00","BZN|GB","BZN|DK1","n/e"
"01/01/2021 00:00:00 - 01/01/2021 01:00:00","BZN|DK1","BZN|NL","0.00"
"01/01/2021 00:00:00 - 01/01/2021 01:00:00","BZN|NL","BZN|DK1","0.00"
"01/01/2021 00:00:00 - 01/01/2021 01:00:00","BZN|DK1","BZN|NO2","0.00"
"01/01/2021 00:00:00 - 01/01/2021 01:00:00","BZN|NO2","BZN|DK1","1631.81"
"01/01/2021 00:00:00 - 01/01/2021 01:00:00","BZN|DK1","BZN|SE3","0.00"
"01/01/2021 00:00:00 - 01/01/2021 01:00:00","BZN|SE3","BZN|DK1","616.00"
"01/01/2021 01:00:00 - 01/01/2021 02:00:00","BZN|DK1","BZN|DE-AT-LU","n/e"
"01/01/2021 01:00:00 - 01/01/2021 02:00:00","BZN|DE-AT-LU","BZN|DK1","n/e"
"01/01/2021 01:00:00 - 01/01/2021 02:00:00","BZN|DK1","BZN|DE-LU","2230.08"
"01/01/2021 01:00:00 - 01/01/2021 02:00:00","BZN|DE-LU","BZN|DK1","0.00"
"01/01/2021 01:00:00 - 01/01/2021 02:00:00","BZN|DK1","BZN|DK1A","n/e"
"01/01/2021 01:00:00 - 01/01/2021 02:00:00","BZN|DK1A","BZN|DK1","n/e"
"01/01/2021 01:00:00 - 01/01/2021 02:00:00","BZN|DK1","BZN|DK2","0.00"
"01/01/2021 01:00:00 - 01/01/2021 02:00:00","BZN|DK2","BZN|DK1","519.58"
"01/01/2021 01:00:00 - 01/01/2021 02:00:00","BZN|DK1","BZN|GB","n/e"
"01/01/2021 01:00:00 - 01/01/2021 02:00:00","BZN|GB","BZN|DK1","n/e"
"01/01/2021 01:00:00 - 01/01/2021 02:00:00","BZN|DK1","BZN|NL","0.00"
"01/01/2021 01:00:00 - 01/01/2021 02:00:00","BZN|NL","BZN|DK1","0.21"
"01/01/2021 01:00:00 - 01/01/2021 02:00:00","BZN|DK1","BZN|NO2","0.00"
"01/01/2021 01:00:00 - 01/01/2021 02:00:00","BZN|NO2","BZN|DK1","1631.62"
"01/01/2021 01:00:00 - 01/01/2021 02:00:00","BZN|DK1","BZN|SE3","0.00"
"01/01/2021 01:00:00 - 01/01/2021 02:00:00","BZN|SE3","BZN|DK1","615.92"
"01/01/2021 02:00:00 - 01/01/2021 03:00:00","BZN|DK1","BZN|DE-AT-LU","n/e"
"01/01/2021 02:00:00 - 01/01/2021 03:00:00","BZN|DE-AT-LU","BZN|DK1","n/e"
"01/01/2021 02:00:00 - 01/01/2021 03:00:00","BZN|DK1","BZN|DE-LU","1887.72"
"01/01/2021 02:00:00 - 01/01/2021 03:00:00","BZN|DE-LU","BZN|DK1","0.00"
"01/01/2021 02:00:00 - 01/01/2021 03:00:00","BZN|DK1","BZN|DK1A","n/e"
"01/01/2021 02:00:00 - 01/01/2021 03:00:00","BZN|DK1A","BZN|DK1","n/e"
"01/01/2021 02:00:00 - 01/01/2021 03:00:00","BZN|DK1","BZN|DK2","0.00"
"01/01/2021 02:00:00 - 01/01/2021 03:00:00","BZN|DK2","BZN|DK1","295.65"
"01/01/2021 02:00:00 - 01/01/2021 03:00:00","BZN|DK1","BZN|GB","n/e"
"01/01/2021 02:00:00 - 01/01/2021 03:00:00","BZN|GB","BZN|DK1","n/e"
"01/01/2021 02:00:00 - 01/01/2021 03:00:00","BZN|DK1","BZN|NL","0.00"
"01/01/2021 02:00:00 - 01/01/2021 03:00:00","BZN|NL","BZN|DK1","0.33"
"01/01/2021 02:00:00 - 01/01/2021 03:00:00","BZN|DK1","BZN|NO2","0.00"
"01/01/2021 02:00:00 - 01/01/2021 03:00:00","BZN|NO2","BZN|DK1","1631.85"
"01/01/2021 02:00:00 - 01/01/2021 03:00:00","BZN|DK1","BZN|SE3","0.00"
"01/01/2021 02:00:00 - 01/01/2021 03:00:00","BZN|SE3","BZN|DK1","615.62"
"01/01/2021 03:00:00 - 01/01/2021 04:00:00","BZN|DK1","BZN|DE-AT-LU","n/e"
"01/01/2021 03:00:00 - 01/01/2021 04:00:00","BZN|DE-AT-LU","BZN|DK1","n/e"
"01/01/2021 03:00:00 - 01/01/2021 04:00:00","BZN|DK1","BZN|DE-LU","1821.33"
"01/01/2021 03:00:00 - 01/01/2021 04:00:00","BZN|DE-LU","BZN|DK1","0.00"
"01/01/2021 03:00:00 - 01/01/2021 04:00:00","BZN|DK1","BZN|DK1A","n/e"
"01/01/2021 03:00:00 - 01/01/2021 04:00:00","BZN|DK1A","BZN|DK1","n/e"
"01/01/2021 03:00:00 - 01/01/2021 04:00:00","BZN|DK1","BZN|DK2","0.00"
"01/01/2021 03:00:00 - 01/01/2021 04:00:00","BZN|DK2","BZN|DK1","295.70"
"01/01/2021 03:00:00 - 01/01/2021 04:00:00","BZN|DK1","BZN|GB","n/e"
"01/01/2021 03:00:00 - 01/01/2021 04:00:00","BZN|GB","BZN|DK1","n/e"
"01/01/2021 03:00:00 - 01/01/2021 04:00:00","BZN|DK1","BZN|NL","0.00"
"01/01/2021 03:00:00 - 01/01/2021 04:00:00","BZN|NL","BZN|DK1","0.33"
"01/01/2021 03:00:00 - 01/01/2021 04:00:00","BZN|DK1","BZN|NO2","0.00"
"01/01/2021 03:00:00 - 01/01/2021 04:00:00","BZN|NO2","BZN|DK1","1631.78"
"01/01/2021 03:00:00 - 01/01/2021 04:00:00","BZN|DK1","BZN|SE3","0.00"
"01/01/2021 03:00:00 - 01/01/2021 04:00:00","BZN|SE3","BZN|DK1","615.05"
"01/01/2021 04:00:00 - 01/01/2021 05:00:00","BZN|DK1","BZN|DE-AT-LU","n/e"
"01/01/2021 04:00:00 - 01/01/2021 05:00:00","BZN|DE-AT-LU","BZN|DK1","n/e"
"01/01/2021 04:00:00 - 01/01/2021 05:00:00","BZN|DK1","BZN|DE-LU","1743.20"
"01/01/2021 04:00:00 - 01/01/2021 05:00:00","BZN|DE-LU","BZN|DK1","0.00"
"01/01/2021 04:00:00 - 01/01/2021 05:00:00","BZN|DK1","BZN|DK1A","n/e"
"01/01/2021 04:00:00 - 01/01/2021 05:00:00","BZN|DK1A","BZN|DK1","n/e"
"01/01/2021 04:00:00 - 01/01/2021 05:00:00","BZN|DK1","BZN|DK2","0.00"
"01/01/2021 04:00:00 - 01/01/2021 05:00:00","BZN|DK2","BZN|DK1","225.24"
