"MTU","Out Area","In Area","Physical Flow (MW)"
"01/01/2020 00:00:00 - 01/01/2020 01:00:00","BZN|DK1","BZN|DE-AT-LU","n/e"
"01/01/2020 00:00:00 - 01/01/2020 01:00:00","BZN|DE-AT-LU","BZN|DK1","n/e"
"01/01/2020 00:00:00 - 01/01/2020 01:00:00","BZN|DK1","BZN|DE-LU","1311.28"
"01/01/2020 00:00:00 - 01/01/2020 01:00:00","BZN|DE-LU","BZN|DK1","0.00"
"01/01/2020 00:00:00 - 01/01/2020 01:00:00","BZN|DK1","BZN|DK1A","n/e"
"01/01/2020 00:00:00 - 01/01/2020 01:00:00","BZN|DK1A","BZN|DK1","n/e"
"01/01/2020 00:00:00 - 01/01/2020 01:00:00","BZN|DK1","BZN|DK2","0.00"
"01/01/2020 00:00:00 - 01/01/2020 01:00:00","BZN|DK2","BZN|DK1","296.51"
"01/01/2020 00:00:00 - 01/01/2020 01:00:00","BZN|DK1","BZN|GB","n/e"
"01/01/2020 00:00:00 - 01/01/2020 01:00:00","BZN|GB","BZN|DK1","n/e"
"01/01/2020 00:00:00 - 01/01/2020 01:00:00","BZN|DK1","BZN|NL","679.24"
"01/01/2020 00:00:00 - 01/01/2020 01:00:00","BZN|NL","BZN|DK1","0.00"
"01/01/2020 00:00:00 - 01/01/2020 01:00:00","BZN|DK1","BZN|NO2","0.00"
"01/01/2020 00:00:00 - 01/01/2020 01:00:00","BZN|NO2","BZN|DK1","420.03"
"01/01/2020 00:00:00 - 01/01/2020 01:00:00","BZN|DK1","BZN|SE3","0.00"
"01/01/2020 00:00:00 - 01/01/2020 01:00:00","BZN|SE3","BZN|DK1","705.72"
"01/01/2020 01:00:00 - 01/01/2020 02:00:00","BZN|DK1","BZN|DE-AT-LU","n/e"
"01/01/2020 01:00:00 - 01/01/2020 02:00:00","BZN|DE-AT-LU","BZN|DK1","n/e"
"01/01/2020 01:00:00 - 01/01/2020 02:00:00","BZN|DK1","BZN|DE-LU","1347.05"
"01/01/2020 01:00:00 - 01/01/2020 02:00:00","BZN|DE-LU","BZN|DK1","0.00"
"01/01/2020 01:00:00 - 01/01/2020 02:00:00","BZN|DK1","BZN|DK1A","n/e"
"01/01/2020 01:00:00 - 01/01/2020 02:00:00","BZN|DK1A","BZN|DK1","n/e"
"01/01/2020 01:00:00 - 01/01/2020 02:00:00","BZN|DK1","BZN|DK2","0.00"
"01/01/2020 01:00:00 - 01/01/2020 02:00:00","BZN|DK2","BZN|DK1","282.34"
"01/01/2020 01:00:00 - 01/01/2020 02:00:00","BZN|DK1","BZN|GB","n/e"
"01/01/2020 01:00:00 - 01/01/2020 02:00:00","BZN|GB","BZN|DK1","n/e"
"01/01/2020 01:00:00 - 01/01/2020 02:00:00","BZN|DK1","BZN|NL","679.82"
"01/01/2020 01:00:00 - 01/01/2020 02:00:00","BZN|NL","BZN|DK1","0.00"
"01/01/2020 01:00:00 - 01/01/2020 02:00:00","BZN|DK1","BZN|NO2","0.00"
"01/01/2020 01:00:00 - 01/01/2020 02:00:00","BZN|NO2","BZN|DK1","276.98"
"01/01/2020 01:00:00 - 01/01/2020 02:00:00","BZN|DK1","BZN|SE3","0.00"
"01/01/2020 01:00:00 - 01/01/2020 02:00:00","BZN|SE3","BZN|DK1","713.31"
"01/01/2020 02:00:00 - 01/01/2020 03:00:00","BZN|DK1","BZN|DE-AT-LU","n/e"
"01/01/2020 02:00:00 - 01/01/2020 03:00:00","BZN|DE-AT-LU","BZN|DK1","n/e"
"01/01/2020 02:00:00 - 01/01/2020 03:00:00","BZN|DK1","BZN|DE-LU","1425.78"
"01/01/2020 02:00:00 - 01/01/2020 03:00:00","BZN|DE-LU","BZN|DK1","0.00"
"01/01/2020 02:00:00 - 01/01/2020 03:00:00","BZN|DK1","BZN|DK1A","n/e"
"01/01/2020 02:00:00 - 01/01/2020 03:00:00","BZN|DK1A","BZN|DK1","n/e"
"01/01/2020 02:00:00 - 01/01/2020 03:00:00","BZN|DK1","BZN|DK2","0.00"
"01/01/2020 02:00:00 - 01/01/2020 03:00:00","BZN|DK2","BZN|DK1","325.83"
"01/01/2020 02:00:00 - 01/01/2020 03:00:00","BZN|DK1","BZN|GB","n/e"
"01/01/2020 02:00:00 - 01/01/2020 03:00:00","BZN|GB","BZN|DK1","n/e"
"01/01/2020 02:00:00 - 01/01/2020 03:00:00","BZN|DK1","BZN|NL","679.07"
"01/01/2020 02:00:00 - 01/01/2020 03:00:00","BZN|NL","BZN|DK1","0.00"
"01/01/2020 02:00:00 - 01/01/2020 03:00:00","BZN|DK1","BZN|NO2","0.00"
"01/01/2020 02:00:00 - 01/01/2020 03:00:00","BZN|NO2","BZN|DK1","39.07"
"01/01/2020 02:00:00 - 01/01/2020 03:00:00","BZN|DK1","BZN|SE3","0.00"
"01/01/2020 02:00:00 - 01/01/2020 03:00:00","BZN|SE3","BZN|DK1","711.11"
"01/01/2020 03:00:00 - 01/01/2020 04:00:00","BZN|DK1","BZN|DE-AT-LU","n/e"
"01/01/2020 03:00:00 - 01/01/2020 04:00:00","BZN|DE-AT-LU","BZN|DK1","n/e"
"01/01/2020 03:00:00 - 01/01/2020 04:00:00","BZN|DK1","BZN|DE-LU","1482.05"
"01/01/2020 03:00:00 - 01/01/2020 04:00:00","BZN|DE-LU","BZN|DK1","0.00"
"01/01/2020 03:00:00 - 01/01/2020 04:00:00","BZN|DK1","BZN|DK1A","n/e"
"01/01/2020 03:00:00 - 01/01/2020 04:00:00","BZN|DK1A","BZN|DK1","n/e"
"01/01/2020 03:00:00 - 01/01/2020 04:00:00","BZN|DK1","BZN|DK2","0.00"
"01/01/2020 03:00:00 - 01/01/2020 04:00:00","BZN|DK2","BZN|DK1","393.76"
"01/01/2020 03:00:00 - 01/01/2020 04:00:00","BZN|DK1","BZN|GB","n/e"
"01/01/2020 03:00:00 - 01/01/2020 04:00:00","BZN|GB","BZN|DK1","n/e"
"01/01/2020 03:00:00 - 01/01/2020 04:00:00","BZN|DK1","BZN|NL","672.14"
"01/01/2020 03:00:00 - 01/01/2020 04:00:00","BZN|NL","BZN|DK1","0.00"
"01/01/2020 03:00:00 - 01/01/2020 04:00:00","BZN|DK1","BZN|NO2","367.69"
"01/01/2020 03:00:00 - 01/01/2020 04:00:00","BZN|NO2","BZN|DK1","0.00"
"01/01/2020 03:00:00 - 01/01/2020 04:00:00","BZN|DK1","BZN|SE3","0.00"
"01/01/2020 03:00:00 - 01/01/2020 04:00:00","BZN|SE3","BZN|DK1","671.43"
"01/01/2020 04:00:00 - 01/01/2020 05:00:00","BZN|DK1","BZN|DE-AT-LU","n/e"
"01/01/2020 04:00:00 - 01/01/2020 05:00:00","BZN|DE-AT-LU","BZN|DK1","n/e"
"01/01/2020 04:00:00 - 01/01/2020 05:00:00","BZN|DK1","BZN|DE-LU","1204.95"
