"MTU","Out Area","In Area","Physical Flow (MW)"
"01/01/2015 00:00:00 - 01/01/2015 01:00:00","BZN|DK1","BZN|DE-AT-LU","0.00"
"01/01/2015 00:00:00 - 01/01/2015 01:00:00","BZN|DE-AT-LU","BZN|DK1","705.31"
"01/01/2015 00:00:00 - 01/01/2015 01:00:00","BZN|DK1","BZN|DE-LU","n/e"
"01/01/2015 00:00:00 - 01/01/2015 01:00:00","BZN|DE-LU","BZN|DK1","n/e"
"01/01/2015 00:00:00 - 01/01/2015 01:00:00","BZN|DK1","BZN|DK1A","n/e"
"01/01/2015 00:00:00 - 01/01/2015 01:00:00","BZN|DK1A","BZN|DK1","n/e"
"01/01/2015 00:00:00 - 01/01/2015 01:00:00","BZN|DK1","BZN|DK2","259.58"
"01/01/2015 00:00:00 - 01/01/2015 01:00:00","BZN|DK2","BZN|DK1","0.00"
"01/01/2015 00:00:00 - 01/01/2015 01:00:00","BZN|DK1","BZN|GB","n/e"
"01/01/2015 00:00:00 - 01/01/2015 01:00:00","BZN|GB","BZN|DK1","n/e"
"01/01/2015 00:00:00 - 01/01/2015 01:00:00","BZN|DK1","BZN|NL","n/e"
"01/01/2015 00:00:00 - 01/01/2015 01:00:00","BZN|NL","BZN|DK1","n/e"
"01/01/2015 00:00:00 - 01/01/2015 01:00:00","BZN|DK1","BZN|NO2","1133.25"
"01/01/2015 00:00:00 - 01/01/2015 01:00:00","BZN|NO2","BZN|DK1","0.00"
"01/01/2015 00:00:00 - 01/01/2015 01:00:00","BZN|DK1","BZN|SE3","335.70"
"01/01/2015 00:00:00 - 01/01/2015 01:00:00","BZN|SE3","BZN|DK1","0.00"
"01/01/2015 01:00:00 - 01/01/2015 02:00:00","BZN|DK1","BZN|DE-AT-LU","0.00"
"01/01/2015 01:00:00 - 01/01/2015 02:00:00","BZN|DE-AT-LU","BZN|DK1","691.30"
"01/01/2015 01:00:00 - 01/01/2015 02:00:00","BZN|DK1","BZN|DE-LU","n/e"
"01/01/2015 01:00:00 - 01/01/2015 02:00:00","BZN|DE-LU","BZN|DK1","n/e"
"01/01/2015 01:00:00 - 01/01/2015 02:00:00","BZN|DK1","BZN|DK1A","n/e"
"01/01/2015 01:00:00 - 01/01/2015 02:00:00","BZN|DK1A","BZN|DK1","n/e"
"01/01/2015 01:00:00 - 01/01/2015 02:00:00","BZN|DK1","BZN|DK2","0.00"
"01/01/2015 01:00:00 - 01/01/2015 02:00:00","BZN|DK2","BZN|DK1","4.99"
"01/01/2015 01:00:00 - 01/01/2015 02:00:00","BZN|DK1","BZN|GB","n/e"
"01/01/2015 01:00:00 - 01/01/2015 02:00:00","BZN|GB","BZN|DK1","n/e"
"01/01/2015 01:00:00 - 01/01/2015 02:00:00","BZN|DK1","BZN|NL","n/e"
"01/01/2015 01:00:00 - 01/01/2015 02:00:00","BZN|NL","BZN|DK1","n/e"
"01/01/2015 01:00:00 - 01/01/2015 02:00:00","BZN|DK1","BZN|NO2","1448.41"
"01/01/2015 01:00:00 - 01/01/2015 02:00:00","BZN|NO2","BZN|DK1","0.00"
"01/01/2015 01:00:00 - 01/01/2015 02:00:00","BZN|DK1","BZN|SE3","315.10"
"01/01/2015 01:00:00 - 01/01/2015 02:00:00","BZN|SE3","BZN|DK1","0.00"
"01/01/2015 02:00:00 - 01/01/2015 03:00:00","BZN|DK1","BZN|DE-AT-LU","0.00"
"01/01/2015 02:00:00 - 01/01/2015 03:00:00","BZN|DE-AT-LU","BZN|DK1","688.90"
"01/01/2015 02:00:00 - 01/01/2015 03:00:00","BZN|DK1","BZN|DE-LU","n/e"
"01/01/2015 02:00:00 - 01/01/2015 03:00:00","BZN|DE-LU","BZN|DK1","n/e"
"01/01/2015 02:00:00 - 01/01/2015 03:00:00","BZN|DK1","BZN|DK1A","n/e"
