"MTU","Out Area","In Area","Physical Flow (MW)"
"01/01/2016 00:00:00 - 01/01/2016 01:00:00","BZN|DK1","BZN|DE-AT-LU","250.60"
"01/01/2016 00:00:00 - 01/01/2016 01:00:00","BZN|DE-AT-LU","BZN|DK1","0.00"
"01/01/2016 00:00:00 - 01/01/2016 01:00:00","BZN|DK1","BZN|DE-LU","n/e"
"01/01/2016 00:00:00 - 01/01/2016 01:00:00","BZN|DE-LU","BZN|DK1","n/e"
"01/01/2016 00:00:00 - 01/01/2016 01:00:00","BZN|DK1","BZN|DK1A","n/e"
"01/01/2016 00:00:00 - 01/01/2016 01:00:00","BZN|DK1A","BZN|DK1","n/e"
"01/01/2016 00:00:00 - 01/01/2016 01:00:00","BZN|DK1","BZN|DK2","572.60"
"01/01/2016 00:00:00 - 01/01/2016 01:00:00","BZN|DK2","BZN|DK1","0.00"
"01/01/2016 00:00:00 - 01/01/2016 01:00:00","BZN|DK1","BZN|GB","n/e"
"01/01/2016 00:00:00 - 01/01/2016 01:00:00","BZN|GB","BZN|DK1","n/e"
"01/01/2016 00:00:00 - 01/01/2016 01:00:00","BZN|DK1","BZN|NL","n/e"
"01/01/2016 00:00:00 - 01/01/2016 01:00:00","BZN|NL","BZN|DK1","n/e"
"01/01/2016 00:00:00 - 01/01/2016 01:00:00","BZN|DK1","BZN|NO2","0.00"
"01/01/2016 00:00:00 - 01/01/2016 01:00:00","BZN|NO2","BZN|DK1","901.08"
"01/01/2016 00:00:00 - 01/01/2016 01:00:00","BZN|DK1","BZN|SE3","330.00"
"01/01/2016 00:00:00 - 01/01/2016 01:00:00","BZN|SE3","BZN|DK1","0.00"
"01/01/2016 01:00:00 - 01/01/2016 02:00:00","BZN|DK1","BZN|DE-AT-LU","0.00"
"01/01/2016 01:00:00 - 01/01/2016 02:00:00","BZN|DE-AT-LU","BZN|DK1","6.32"
"01/01/2016 01:00:00 - 01/01/2016 02:00:00","BZN|DK1","BZN|DE-LU","n/e"
"01/01/2016 01:00:00 - 01/01/2016 02:00:00","BZN|DE-LU","BZN|DK1","n/e"
"01/01/2016 01:00:00 - 01/01/2016 02:00:00","BZN|DK1","BZN|DK1A","n/e"
"01/01/2016 01:00:00 - 01/01/2016 02:00:00","BZN|DK1A","BZN|DK1","n/e"
"01/01/2016 01:00:00 - 01/01/2016 02:00:00","BZN|DK1","BZN|DK2","588.55"
"01/01/2016 01:00:00 - 01/01/2016 02:00:00","BZN|DK2","BZN|DK1","0.00"
"01/01/2016 01:00:00 - 01/01/2016 02:00:00","BZN|DK1","BZN|GB","n/e"
"01/01/2016 01:00:00 - 01/01/2016 02:00:00","BZN|GB","BZN|DK1","n/e"
