"MTU","Out Area","In Area","Physical Flow (MW)"
"01/01/2022 00:00:00 - 01/01/2022 01:00:00","BZN|DK1","BZN|DE-AT-LU","n/e"
"01/01/2022 00:00:00 - 01/01/2022 01:00:00","BZN|DE-AT-LU","BZN|DK1","n/e"
"01/01/2022 00:00:00 - 01/01/2022 01:00:00","BZN|DK1","BZN|DE-LU","0.00"
"01/01/2022 00:00:00 - 01/01/2022 01:00:00","BZN|DE-LU","BZN|DK1","477.20"
"01/01/2022 00:00:00 - 01/01/2022 01:00:00","BZN|DK1","BZN|DK1A","n/e"
"01/01/2022 00:00:00 - 01/01/2022 01:00:00","BZN|DK1A","BZN|DK1","n/e"
"01/01/2022 00:00:00 - 01/01/2022 01:00:00","BZN|DK1","BZN|DK2","0.00"
"01/01/2022 00:00:00 - 01/01/2022 01:00:00","BZN|DK2","BZN|DK1","394.28"
"01/01/2022 00:00:00 - 01/01/2022 01:00:00","BZN|DK1","BZN|GB","n/e"
"01/01/2022 00:00:00 - 01/01/2022 01:00:00","BZN|GB","BZN|DK1","n/e"
"01/01/2022 00:00:00 - 01/01/2022 01:00:00","BZN|DK1","BZN|NL","619.15"
"01/01/2022 00:00:00 - 01/01/2022 01:00:00","BZN|NL","BZN|DK1","0.00"
"01/01/2022 00:00:00 - 01/01/2022 01:00:00","BZN|DK1","BZN|NO2","1090.83"
"01/01/2022 00:00:00 - 01/01/2022 01:00:00","BZN|NO2","BZN|DK1","0.00"
"01/01/2022 00:00:00 - 01/01/2022 01:00:00","BZN|DK1","BZN|SE3","0.00"
"01/01/2022 00:00:00 - 01/01/2022 01:00:00","BZN|SE3","BZN|DK1","407.05"
"01/01/2022 01:00:00 - 01/01/2022 02:00:00","BZN|DK1","BZN|DE-AT-LU","n/e"
"01/01/2022 01:00:00 - 01/01/2022 02:00:00","BZN|DE-AT-LU","BZN|DK1","n/e"
"01/01/2022 01:00:00 - 01/01/2022 02:00:00","BZN|DK1","BZN|DE-LU","0.00"
"01/01/2022 01:00:00 - 01/01/2022 02:00:00","BZN|DE-LU","BZN|DK1","559.76"
"01/01/2022 01:00:00 - 01/01/2022 02:00:00","BZN|DK1","BZN|DK1A","n/e"
"01/01/2022 01:00:00 - 01/01/2022 02:00:00","BZN|DK1A","BZN|DK1","n/e"
