"MTU (CET/CEST)","Area","Day-ahead (MW)","Intraday (MW)","Current (MW)","Actual (MW)"
"01/01/2016 00:00:00 - 01/01/2016 01:00:00","BZN|DK1","518.60","n/e"," ","876.37"
"01/01/2016 01:00:00 - 01/01/2016 02:00:00","BZN|DK1","537.90","n/e"," ","830.31"
"01/01/2016 02:00:00 - 01/01/2016 03:00:00","BZN|DK1","529.80","n/e"," ","701.10"
"01/01/2016 03:00:00 - 01/01/2016 04:00:00","BZN|DK1","523.00","n/e"," ","696.06"
"01/01/2016 04:00:00 - 01/01/2016 05:00:00","BZN|DK1","511.50","n/e"," ","699.83"
"01/01/2016 05:00:00 - 01/01/2016 06:00:00","BZN|DK1","488.80","n/e"," ","747.99"
"01/01/2016 06:00:00 - 01/01/2016 07:00:00","BZN|DK1","469.30","n/e"," ","703.51"
"01/01/2016 07:00:00 - 01/01/2016 08:00:00","BZN|DK1","402.40","n/e"," ","516.32"
"01/01/2016 08:00:00 - 01/01/2016 09:00:00","BZN|DK1","310.90","n/e"," ","406.36"
"01/01/2016 09:00:00 - 01/01/2016 10:00:00","BZN|DK1","244.00","n/e"," ","295.59"
"01/01/2016 10:00:00 - 01/01/2016 11:00:00","BZN|DK1","196.20","n/e"," ","214.09"
"01/01/2016 11:00:00 - 01/01/2016 12:00:00","BZN|DK1","172.40","n/e"," ","135.84"
"01/01/2016 12:00:00 - 01/01/2016 13:00:00","BZN|DK1","192.10","n/e"," ","75.99"
"01/01/2016 13:00:00 - 01/01/2016 14:00:00","BZN|DK1","210.10","n/e"," ","43.07"
"01/01/2016 14:00:00 - 01/01/2016 15:00:00","BZN|DK1","183.50","n/e"," ","41.17"
"01/01/2016 15:00:00 - 01/01/2016 16:00:00","BZN|DK1","159.50","n/e"," ","34.45"
"01/01/2016 16:00:00 - 01/01/2016 17:00:00","BZN|DK1","157.90","n/e"," ","18.49"
"01/01/2016 17:00:00 - 01/01/2016 18:00:00","BZN|DK1","157.10","n/e"," ","24.21"
"01/01/2016 18:00:00 - 01/01/2016 19:00:00","BZN|DK1","147.80","n/e"," ","27.29"
"01/01/2016 19:00:00 - 01/01/2016 20:00:00","BZN|DK1","134.10","n/e"," ","43.97"
"01/01/2016 20:00:00 - 01/01/2016 21:00:00","BZN|DK1","126.00","n/e"," ","77.48"
"01/01/2016 21:00:00 - 01/01/2016 22:00:00","BZN|DK1","131.20","n/e"," ","170.67"
"01/01/2016 22:00:00 - 01/01/2016 23:00:00","BZN|DK1","138.90","n/e"," ","315.00"
"01/01/2016 23:00:00 - 02/01/2016 00:00:00","BZN|DK1","154.60","n/e"," ","409.75"
"02/01/2016 00:00:00 - 02/01/2016 01:00:00","BZN|DK1","565.10","n/e"," ","448.60"
"02/01/2016 01:00:00 - 02/01/2016 02:00:00","BZN|DK1","721.40","n/e"," ","599.08"
"02/01/2016 02:00:00 - 02/01/2016 03:00:00","BZN|DK1","956.10","n/e"," ","909.28"
"02/01/2016 03:00:00 - 02/01/2016 04:00:00","BZN|DK1","1254.10","n/e"," ","1262.82"
"02/01/2016 04:00:00 - 02/01/2016 05:00:00","BZN|DK1","1539.90","n/e"," ","1483.79"
"02/01/2016 05:00:00 - 02/01/2016 06:00:00","BZN|DK1","1755.70","n/e"," ","1613.76"
"02/01/2016 06:00:00 - 02/01/2016 07:00:00","BZN|DK1","1944.20","n/e"," ","1829.60"
"02/01/2016 07:00:00 - 02/01/2016 08:00:00","BZN|DK1","2118.40","n/e"," ","1995.04"
"02/01/2016 08:00:00 - 02/01/2016 09:00:00","BZN|DK1","2265.70","n/e"," ","2250.99"
"02/01/2016 09:00:00 - 02/01/2016 10:00:00","BZN|DK1","2384.80","n/e"," ","2299.13"
"02/01/2016 10:00:00 - 02/01/2016 11:00:00","BZN|DK1","2479.40","n/e"," ","2321.90"
"02/01/2016 11:00:00 - 02/01/2016 12:00:00","BZN|DK1","2558.20","n/e"," ","2392.79"
"02/01/2016 12:00:00 - 02/01/2016 13:00:00","BZN|DK1","2609.20","n/e"," ","2438.39"
