"MTU (CET/CEST)","Area","Day-ahead (MW)","Intraday (MW)","Current (MW)","Actual (MW)"
"01/01/2023 00:00:00 - 01/01/2023 01:00:00","BZN|DK1","556.17","N/A","471.58","522.97"
"01/01/2023 01:00:00 - 01/01/2023 02:00:00","BZN|DK1","639.25","N/A","697.88","781.76"
"01/01/2023 02:00:00 - 01/01/2023 03:00:00","BZN|DK1","734.83","N/A","881.46","834.29"
"01/01/2023 03:00:00 - 01/01/2023 04:00:00","BZN|DK1","869.96","N/A","861.42","855.01"
"01/01/2023 04:00:00 - 01/01/2023 05:00:00","BZN|DK1","1046.50","N/A","916.88","916.40"
"01/01/2023 05:00:00 - 01/01/2023 06:00:00","BZN|DK1","1307.67","N/A","987.71","880.78"
"01/01/2023 06:00:00 - 01/01/2023 07:00:00","BZN|DK1","1451.96","N/A","846.63","887.45"
"01/01/2023 07:00:00 - 01/01/2023 08:00:00","BZN|DK1","1489.46","N/A","966.17","1099.11"
"01/01/2023 08:00:00 - 01/01/2023 09:00:00","BZN|DK1","1841.38","1399.63","1399.63","1494.40"
"01/01/2023 09:00:00 - 01/01/2023 10:00:00","BZN|DK1","2113.63","1663.46","1698.33","1693.10"
"01/01/2023 10:00:00 - 01/01/2023 11:00:00","BZN|DK1","2180.00","1803.21","1760.79","1918.11"
"01/01/2023 11:00:00 - 01/01/2023 12:00:00","BZN|DK1","2441.58","2110.54","2148.33","1942.37"
"01/01/2023 12:00:00 - 01/01/2023 13:00:00","BZN|DK1","2430.04","2248.29","2029.83","2117.27"
"01/01/2023 13:00:00 - 01/01/2023 14:00:00","BZN|DK1","2433.83","2299.04","2284.29","2304.70"
"01/01/2023 14:00:00 - 01/01/2023 15:00:00","BZN|DK1","2462.88","2355.58","2408.54","2602.73"
"01/01/2023 15:00:00 - 01/01/2023 16:00:00","BZN|DK1","2512.33","2386.50","2517.83","2565.23"
"01/01/2023 16:00:00 - 01/01/2023 17:00:00","BZN|DK1","2569.25","2358.71","2607.17","2582.17"
"01/01/2023 17:00:00 - 01/01/2023 18:00:00","BZN|DK1","2385.13","2177.79","2481.96","2578.88"
"01/01/2023 18:00:00 - 01/01/2023 19:00:00","BZN|DK1","1740.42","1742.96","2274.08","2455.63"
"01/01/2023 19:00:00 - 01/01/2023 20:00:00","BZN|DK1","1279.04","1516.79","2351.25","2184.71"
"01/01/2023 20:00:00 - 01/01/2023 21:00:00","BZN|DK1","1241.38","1346.46","1929.29","1897.94"
"01/01/2023 21:00:00 - 01/01/2023 22:00:00","BZN|DK1","1098.08","1212.00","1711.71","1730.22"
"01/01/2023 22:00:00 - 01/01/2023 23:00:00","BZN|DK1","987.38","1108.67","1533.96","1548.92"
"01/01/2023 23:00:00 - 02/01/2023 00:00:00","BZN|DK1","960.75","1050.92","1330.50","1314.41"
"02/01/2023 00:00:00 - 02/01/2023 01:00:00","BZN|DK1","1317.46","N/A","1060.00","1007.89"
