"MTU (CET/CEST)","Area","Day-ahead (MW)","Intraday (MW)","Current (MW)","Actual (MW)"
"01/01/2018 00:00:00 - 01/01/2018 01:00:00","BZN|DK1","1153.70","n/e"," ","1225.92"
"01/01/2018 01:00:00 - 01/01/2018 02:00:00","BZN|DK1","1133.60","n/e"," ","1188.27"
"01/01/2018 02:00:00 - 01/01/2018 03:00:00","BZN|DK1","1073.60","n/e"," ","1101.80"
"01/01/2018 03:00:00 - 01/01/2018 04:00:00","BZN|DK1","1095.60","n/e"," ","1116.04"
"01/01/2018 04:00:00 - 01/01/2018 05:00:00","BZN|DK1","1086.50","n/e"," ","1022.72"
"01/01/2018 05:00:00 - 01/01/2018 06:00:00","BZN|DK1","1004.80","n/e"," ","1037.06"
"01/01/2018 06:00:00 - 01/01/2018 07:00:00","BZN|DK1","1051.20","n/e"," ","1100.22"
"01/01/2018 07:00:00 - 01/01/2018 08:00:00","BZN|DK1","1008.20","n/e"," ","1059.11"
"01/01/2018 08:00:00 - 01/01/2018 09:00:00","BZN|DK1","1079.90","n/e"," ","1125.02"
"01/01/2018 09:00:00 - 01/01/2018 10:00:00","BZN|DK1","1280.80","n/e"," ","1224.66"
"01/01/2018 10:00:00 - 01/01/2018 11:00:00","BZN|DK1","1570.30","n/e"," ","1577.88"
"01/01/2018 11:00:00 - 01/01/2018 12:00:00","BZN|DK1","1847.80","n/e"," ","1598.03"
"01/01/2018 12:00:00 - 01/01/2018 13:00:00","BZN|DK1","2084.40","n/e"," ","1678.43"
"01/01/2018 13:00:00 - 01/01/2018 14:00:00","BZN|DK1","2146.80","n/e"," ","1931.30"
"01/01/2018 14:00:00 - 01/01/2018 15:00:00","BZN|DK1","2020.50","n/e"," ","1843.98"
"01/01/2018 15:00:00 - 01/01/2018 16:00:00","BZN|DK1","1818.60","n/e"," ","1684.77"
"01/01/2018 16:00:00 - 01/01/2018 17:00:00","BZN|DK1","1591.60","n/e"," ","1422.85"
"01/01/2018 17:00:00 - 01/01/2018 18:00:00","BZN|DK1","1416.90","n/e"," ","1234.03"
"01/01/2018 18:00:00 - 01/01/2018 19:00:00","BZN|DK1","1304.20","n/e"," ","1174.28"
"01/01/2018 19:00:00 - 01/01/2018 20:00:00","BZN|DK1","1256.10","n/e"," ","1176.09"
"01/01/2018 20:00:00 - 01/01/2018 21:00:00","BZN|DK1","1259.20","n/e"," ","1214.34"
