"MTU (CET/CEST)","Area","Day-ahead (MW)","Intraday (MW)","Current (MW)","Actual (MW)"
"01/01/2022 00:00:00 - 01/01/2022 01:00:00","BZN|DK1","0.00","N/A","0.02","0.72"
"01/01/2022 01:00:00 - 01/01/2022 02:00:00","BZN|DK1","0.00","N/A","0.00","0.72"
"01/01/2022 02:00:00 - 01/01/2022 03:00:00","BZN|DK1","0.00","N/A","0.00","0.72"
"01/01/2022 03:00:00 - 01/01/2022 04:00:00","BZN|DK1","0.00","N/A","0.00","0.72"
"01/01/2022 04:00:00 - 01/01/2022 05:00:00","BZN|DK1","0.00","N/A","0.00","0.72"
"01/01/2022 05:00:00 - 01/01/2022 06:00:00","BZN|DK1","0.01","N/A","0.01","0.72"
"01/01/2022 06:00:00 - 01/01/2022 07:00:00","BZN|DK1","0.02","N/A","0.02","0.72"
"01/01/2022 07:00:00 - 01/01/2022 08:00:00","BZN|DK1","0.02","N/A","0.02","0.71"
"01/01/2022 08:00:00 - 01/01/2022 09:00:00","BZN|DK1","0.05","0.05","0.05","0.76"
"01/01/2022 09:00:00 - 01/01/2022 10:00:00","BZN|DK1","4.47","4.84","5.92","8.72"
"01/01/2022 10:00:00 - 01/01/2022 11:00:00","BZN|DK1","17.30","20.35","27.71","32.28"
"01/01/2022 11:00:00 - 01/01/2022 12:00:00","BZN|DK1","32.15","35.72","50.54","50.54"
"01/01/2022 12:00:00 - 01/01/2022 13:00:00","BZN|DK1","34.42","38.03","47.87","45.59"
"01/01/2022 13:00:00 - 01/01/2022 14:00:00","BZN|DK1","24.95","24.54","29.92","28.44"
"01/01/2022 14:00:00 - 01/01/2022 15:00:00","BZN|DK1","11.11","10.14","12.51","12.24"
"01/01/2022 15:00:00 - 01/01/2022 16:00:00","BZN|DK1","2.14","1.74","2.16","2.38"
"01/01/2022 16:00:00 - 01/01/2022 17:00:00","BZN|DK1","0.04","0.03","0.33","0.57"
"01/01/2022 17:00:00 - 01/01/2022 18:00:00","BZN|DK1","0.02","0.02","0.17","0.57"
"01/01/2022 18:00:00 - 01/01/2022 19:00:00","BZN|DK1","0.02","0.02","0.14","0.57"
"01/01/2022 19:00:00 - 01/01/2022 20:00:00","BZN|DK1","0.01","0.01","0.12","0.57"
"01/01/2022 20:00:00 - 01/01/2022 21:00:00","BZN|DK1","0.00","0.00","0.09","0.57"
