"MTU (CET/CEST)","Area","Day-ahead (MW)","Intraday (MW)","Current (MW)","Actual (MW)"
"01/01/2017 00:00:00 - 01/01/2017 01:00:00","BZN|DK1","1856.50","n/e"," ","1952.52"
"01/01/2017 01:00:00 - 01/01/2017 02:00:00","BZN|DK1","1773.90","n/e"," ","1815.98"
"01/01/2017 02:00:00 - 01/01/2017 03:00:00","BZN|DK1","1505.00","n/e"," ","1513.64"
"01/01/2017 03:00:00 - 01/01/2017 04:00:00","BZN|DK1","1214.60","n/e"," ","1244.49"
"01/01/2017 04:00:00 - 01/01/2017 05:00:00","BZN|DK1","1002.70","n/e"," ","1089.96"
"01/01/2017 05:00:00 - 01/01/2017 06:00:00","BZN|DK1","871.00","n/e"," ","962.61"
"01/01/2017 06:00:00 - 01/01/2017 07:00:00","BZN|DK1","755.20","n/e"," ","868.26"
"01/01/2017 07:00:00 - 01/01/2017 08:00:00","BZN|DK1","696.20","n/e"," ","751.94"
"01/01/2017 08:00:00 - 01/01/2017 09:00:00","BZN|DK1","623.40","n/e"," ","693.62"
"01/01/2017 09:00:00 - 01/01/2017 10:00:00","BZN|DK1","578.80","n/e"," ","614.35"
"01/01/2017 10:00:00 - 01/01/2017 11:00:00","BZN|DK1","565.50","n/e"," ","540.16"
"01/01/2017 11:00:00 - 01/01/2017 12:00:00","BZN|DK1","574.30","n/e"," ","504.93"
"01/01/2017 12:00:00 - 01/01/2017 13:00:00","BZN|DK1","578.80","n/e"," ","480.71"
"01/01/2017 13:00:00 - 01/01/2017 14:00:00","BZN|DK1","561.40","n/e"," ","446.81"
"01/01/2017 14:00:00 - 01/01/2017 15:00:00","BZN|DK1","530.60","n/e"," ","465.27"
"01/01/2017 15:00:00 - 01/01/2017 16:00:00","BZN|DK1","492.20","n/e"," ","426.78"
"01/01/2017 16:00:00 - 01/01/2017 17:00:00","BZN|DK1","455.80","n/e"," ","428.74"
"01/01/2017 17:00:00 - 01/01/2017 18:00:00","BZN|DK1","436.10","n/e"," ","359.71"
"01/01/2017 18:00:00 - 01/01/2017 19:00:00","BZN|DK1","418.40","n/e"," ","301.33"
"01/01/2017 19:00:00 - 01/01/2017 20:00:00","BZN|DK1","413.90","n/e"," ","290.20"
"01/01/2017 20:00:00 - 01/01/2017 21:00:00","BZN|DK1","483.90","n/e"," ","391.06"
"01/01/2017 21:00:00 - 01/01/2017 22:00:00","BZN|DK1","622.80","n/e"," ","490.78"
"01/01/2017 22:00:00 - 01/01/2017 23:00:00","BZN|DK1","750.40","n/e"," ","546.24"
"01/01/2017 23:00:00 - 02/01/2017 00:00:00","BZN|DK1","772.10","n/e"," ","570.75"
"02/01/2017 00:00:00 - 02/01/2017 01:00:00","BZN|DK1","587.20","n/e"," ","635.97"
"02/01/2017 01:00:00 - 02/01/2017 02:00:00","BZN|DK1","607.10","n/e"," ","611.45"
"02/01/2017 02:00:00 - 02/01/2017 03:00:00","BZN|DK1","604.30","n/e"," ","617.44"
"02/01/2017 03:00:00 - 02/01/2017 04:00:00","BZN|DK1","557.00","n/e"," ","558.83"
"02/01/2017 04:00:00 - 02/01/2017 05:00:00","BZN|DK1","458.30","n/e"," ","464.91"
"02/01/2017 05:00:00 - 02/01/2017 06:00:00","BZN|DK1","353.10","n/e"," ","371.95"
"02/01/2017 06:00:00 - 02/01/2017 07:00:00","BZN|DK1","272.30","n/e"," ","304.48"
"02/01/2017 07:00:00 - 02/01/2017 08:00:00","BZN|DK1","228.20","n/e"," ","239.99"
"02/01/2017 08:00:00 - 02/01/2017 09:00:00","BZN|DK1","221.10","n/e"," ","217.68"
"02/01/2017 09:00:00 - 02/01/2017 10:00:00","BZN|DK1","271.80","n/e"," ","245.18"
"02/01/2017 10:00:00 - 02/01/2017 11:00:00","BZN|DK1","348.60","n/e"," ","359.41"
"02/01/2017 11:00:00 - 02/01/2017 12:00:00","BZN|DK1","434.40","n/e"," ","469.41"
"02/01/2017 12:00:00 - 02/01/2017 13:00:00","BZN|DK1","511.10","n/e"," ","524.69"
"02/01/2017 13:00:00 - 02/01/2017 14:00:00","BZN|DK1","531.90","n/e"," ","521.86"
"02/01/2017 14:00:00 - 02/01/2017 15:00:00","BZN|DK1","514.20","n/e"," ","453.25"
"02/01/2017 15:00:00 - 02/01/2017 16:00:00","BZN|DK1","505.80","n/e"," ","356.25"
"02/01/2017 16:00:00 - 02/01/2017 17:00:00","BZN|DK1","524.40","n/e"," ","307.95"
"02/01/2017 17:00:00 - 02/01/2017 18:00:00","BZN|DK1","546.30","n/e"," ","384.68"
"02/01/2017 18:00:00 - 02/01/2017 19:00:00","BZN|DK1","549.10","n/e"," ","443.08"
"02/01/2017 19:00:00 - 02/01/2017 20:00:00","BZN|DK1","529.70","n/e"," ","532.81"
"02/01/2017 20:00:00 - 02/01/2017 21:00:00","BZN|DK1","505.80","n/e"," ","588.18"
"02/01/2017 21:00:00 - 02/01/2017 22:00:00","BZN|DK1","473.50","n/e"," ","564.84"
"02/01/2017 22:00:00 - 02/01/2017 23:00:00","BZN|DK1","460.40","n/e"," ","527.56"
"02/01/2017 23:00:00 - 03/01/2017 00:00:00","BZN|DK1","479.30","n/e"," ","550.98"
"03/01/2017 00:00:00 - 03/01/2017 01:00:00","BZN|DK1","569.50","n/e"," ","636.49"
"03/01/2017 01:00:00 - 03/01/2017 02:00:00","BZN|DK1","617.40","n/e"," ","681.30"
"03/01/2017 02:00:00 - 03/01/2017 03:00:00","BZN|DK1","747.70","n/e"," ","769.50"
"03/01/2017 03:00:00 - 03/01/2017 04:00:00","BZN|DK1","878.20","n/e"," ","897.26"
"03/01/2017 04:00:00 - 03/01/2017 05:00:00","BZN|DK1","910.50","n/e"," ","910.52"
"03/01/2017 05:00:00 - 03/01/2017 06:00:00","BZN|DK1","931.30","n/e"," ","949.66"
"03/01/2017 06:00:00 - 03/01/2017 07:00:00","BZN|DK1","945.20","n/e"," ","970.99"
"03/01/2017 07:00:00 - 03/01/2017 08:00:00","BZN|DK1","1024.60","n/e"," ","1029.83"
"03/01/2017 08:00:00 - 03/01/2017 09:00:00","BZN|DK1","1151.70","n/e"," ","1057.19"
"03/01/2017 09:00:00 - 03/01/2017 10:00:00","BZN|DK1","1377.00","n/e"," ","1231.74"
"03/01/2017 10:00:00 - 03/01/2017 11:00:00","BZN|DK1","1693.40","n/e"," ","1497.60"
"03/01/2017 11:00:00 - 03/01/2017 12:00:00","BZN|DK1","2055.70","n/e"," ","1940.84"
"03/01/2017 12:00:00 - 03/01/2017 13:00:00","BZN|DK1","2301.10","n/e"," ","2231.84"
"03/01/2017 13:00:00 - 03/01/2017 14:00:00","BZN|DK1","2404.00","n/e"," ","2401.60"
"03/01/2017 14:00:00 - 03/01/2017 15:00:00","BZN|DK1","2449.80","n/e"," ","2374.07"
"03/01/2017 15:00:00 - 03/01/2017 16:00:00","BZN|DK1","2472.50","n/e"," ","2433.38"
"03/01/2017 16:00:00 - 03/01/2017 17:00:00","BZN|DK1","2480.10","n/e"," ","2472.69"
"03/01/2017 17:00:00 - 03/01/2017 18:00:00","BZN|DK1","2486.20","n/e"," ","2562.37"
"03/01/2017 18:00:00 - 03/01/2017 19:00:00","BZN|DK1","2472.50","n/e"," ","2536.91"
"03/01/2017 19:00:00 - 03/01/2017 20:00:00","BZN|DK1","2532.70","n/e"," ","2487.91"
"03/01/2017 20:00:00 - 03/01/2017 21:00:00","BZN|DK1","2661.90","n/e"," ","2468.15"
"03/01/2017 21:00:00 - 03/01/2017 22:00:00","BZN|DK1","2822.60","n/e"," ","2361.12"
"03/01/2017 22:00:00 - 03/01/2017 23:00:00","BZN|DK1","2858.60","n/e"," ","2302.88"
"03/01/2017 23:00:00 - 04/01/2017 00:00:00","BZN|DK1","2829.80","n/e"," ","2294.87"
"04/01/2017 00:00:00 - 04/01/2017 01:00:00","BZN|DK1","2221.90","n/e"," ","2266.32"
"04/01/2017 01:00:00 - 04/01/2017 02:00:00","BZN|DK1","2148.40","n/e"," ","2236.83"
"04/01/2017 02:00:00 - 04/01/2017 03:00:00","BZN|DK1","2208.20","n/e"," ","2269.17"
"04/01/2017 03:00:00 - 04/01/2017 04:00:00","BZN|DK1","2135.20","n/e"," ","2142.93"
"04/01/2017 04:00:00 - 04/01/2017 05:00:00","BZN|DK1","2135.90","n/e"," ","2145.87"
"04/01/2017 05:00:00 - 04/01/2017 06:00:00","BZN|DK1","2188.20","n/e"," ","2192.89"
"04/01/2017 06:00:00 - 04/01/2017 07:00:00","BZN|DK1","2147.60","n/e"," ","2224.19"
"04/01/2017 07:00:00 - 04/01/2017 08:00:00","BZN|DK1","2145.40","n/e"," ","2190.02"
"04/01/2017 08:00:00 - 04/01/2017 09:00:00","BZN|DK1","2047.20","n/e"," ","2139.90"
"04/01/2017 09:00:00 - 04/01/2017 10:00:00","BZN|DK1","1927.20","n/e"," ","1992.11"
"04/01/2017 10:00:00 - 04/01/2017 11:00:00","BZN|DK1","1868.90","n/e"," ","1904.85"
"04/01/2017 11:00:00 - 04/01/2017 12:00:00","BZN|DK1","1884.80","n/e"," ","1909.48"
"04/01/2017 12:00:00 - 04/01/2017 13:00:00","BZN|DK1","1925.00","n/e"," ","2023.25"
"04/01/2017 13:00:00 - 04/01/2017 14:00:00","BZN|DK1","1945.80","n/e"," ","2026.91"
"04/01/2017 14:00:00 - 04/01/2017 15:00:00","BZN|DK1","1950.20","n/e"," ","1795.61"
"04/01/2017 15:00:00 - 04/01/2017 16:00:00","BZN|DK1","1959.60","n/e"," ","1731.88"
"04/01/2017 16:00:00 - 04/01/2017 17:00:00","BZN|DK1","1937.10","n/e"," ","1766.51"
"04/01/2017 17:00:00 - 04/01/2017 18:00:00","BZN|DK1","1857.40","n/e"," ","1759.08"
"04/01/2017 18:00:00 - 04/01/2017 19:00:00","BZN|DK1","1727.80","n/e"," ","1646.14"
"04/01/2017 19:00:00 - 04/01/2017 20:00:00","BZN|DK1","1552.80","n/e"," ","1533.05"
"04/01/2017 20:00:00 - 04/01/2017 21:00:00","BZN|DK1","1374.70","n/e"," ","1280.59"
"04/01/2017 21:00:00 - 04/01/2017 22:00:00","BZN|DK1","1202.10","n/e"," ","1024.66"
"04/01/2017 22:00:00 - 04/01/2017 23:00:00","BZN|DK1","1075.10","n/e"," ","855.50"
"04/01/2017 23:00:00 - 05/01/2017 00:00:00","BZN|DK1","918.10","n/e"," ","840.17"
"05/01/2017 00:00:00 - 05/01/2017 01:00:00","BZN|DK1","703.10","n/e"," ","757.85"
"05/01/2017 01:00:00 - 05/01/2017 02:00:00","BZN|DK1","659.60","n/e"," ","691.45"
"05/01/2017 02:00:00 - 05/01/2017 03:00:00","BZN|DK1","680.70","n/e"," ","701.67"
"05/01/2017 03:00:00 - 05/01/2017 04:00:00","BZN|DK1","735.50","n/e"," ","783.87"
"05/01/2017 04:00:00 - 05/01/2017 05:00:00","BZN|DK1","759.20","n/e"," ","810.48"
"05/01/2017 05:00:00 - 05/01/2017 06:00:00","BZN|DK1","751.10","n/e"," ","817.51"
"05/01/2017 06:00:00 - 05/01/2017 07:00:00","BZN|DK1","790.90","n/e"," ","895.11"
"05/01/2017 07:00:00 - 05/01/2017 08:00:00","BZN|DK1","808.90","n/e"," ","889.65"
"05/01/2017 08:00:00 - 05/01/2017 09:00:00","BZN|DK1","746.90","n/e"," ","841.31"
"05/01/2017 09:00:00 - 05/01/2017 10:00:00","BZN|DK1","667.40","n/e"," ","748.30"
"05/01/2017 10:00:00 - 05/01/2017 11:00:00","BZN|DK1","607.70","n/e"," ","613.01"
"05/01/2017 11:00:00 - 05/01/2017 12:00:00","BZN|DK1","546.80","n/e"," ","535.06"
"05/01/2017 12:00:00 - 05/01/2017 13:00:00","BZN|DK1","469.40","n/e"," ","452.10"
"05/01/2017 13:00:00 - 05/01/2017 14:00:00","BZN|DK1","381.10","n/e"," ","301.85"
"05/01/2017 14:00:00 - 05/01/2017 15:00:00","BZN|DK1","299.50","n/e"," ","221.69"
"05/01/2017 15:00:00 - 05/01/2017 16:00:00","BZN|DK1","232.20","n/e"," ","164.33"
"05/01/2017 16:00:00 - 05/01/2017 17:00:00","BZN|DK1","176.00","n/e"," ","129.79"
"05/01/2017 17:00:00 - 05/01/2017 18:00:00","BZN|DK1","147.30","n/e"," ","131.28"
"05/01/2017 18:00:00 - 05/01/2017 19:00:00","BZN|DK1","128.50","n/e"," ","113.65"
"05/01/2017 19:00:00 - 05/01/2017 20:00:00","BZN|DK1","105.10","n/e"," ","114.11"
"05/01/2017 20:00:00 - 05/01/2017 21:00:00","BZN|DK1","85.40","n/e"," ","110.96"
"05/01/2017 21:00:00 - 05/01/2017 22:00:00","BZN|DK1","78.40","n/e"," ","103.17"
"05/01/2017 22:00:00 - 05/01/2017 23:00:00","BZN|DK1","82.20","n/e"," ","80.11"
"05/01/2017 23:00:00 - 06/01/2017 00:00:00","BZN|DK1","88.00","n/e"," ","68.47"
"06/01/2017 00:00:00 - 06/01/2017 01:00:00","BZN|DK1","62.10","n/e"," ","60.02"
"06/01/2017 01:00:00 - 06/01/2017 02:00:00","BZN|DK1","74.90","n/e"," ","73.28"
"06/01/2017 02:00:00 - 06/01/2017 03:00:00","BZN|DK1","122.90","n/e"," ","139.35"
"06/01/2017 03:00:00 - 06/01/2017 04:00:00","BZN|DK1","225.70","n/e"," ","256.23"
"06/01/2017 04:00:00 - 06/01/2017 05:00:00","BZN|DK1","377.40","n/e"," ","394.09"
"06/01/2017 05:00:00 - 06/01/2017 06:00:00","BZN|DK1","540.30","n/e"," ","572.29"
"06/01/2017 06:00:00 - 06/01/2017 07:00:00","BZN|DK1","560.80","n/e"," ","570.46"
"06/01/2017 07:00:00 - 06/01/2017 08:00:00","BZN|DK1","639.20","n/e"," ","689.90"
"06/01/2017 08:00:00 - 06/01/2017 09:00:00","BZN|DK1","745.40","n/e"," ","846.91"
"06/01/2017 09:00:00 - 06/01/2017 10:00:00","BZN|DK1","825.40","n/e"," ","920.14"
"06/01/2017 10:00:00 - 06/01/2017 11:00:00","BZN|DK1","909.50","n/e"," ","915.64"
