"MTU (CET/CEST)","Area","Day-ahead (MW)","Intraday (MW)","Current (MW)","Actual (MW)"
"01/01/2023 00:00:00 - 01/01/2023 01:00:00","BZN|DK1","0.00","N/A","0.02","0.42"
"01/01/2023 01:00:00 - 01/01/2023 02:00:00","BZN|DK1","0.00","N/A","0.00","0.43"
"01/01/2023 02:00:00 - 01/01/2023 03:00:00","BZN|DK1","0.00","N/A","0.00","0.42"
"01/01/2023 03:00:00 - 01/01/2023 04:00:00","BZN|DK1","0.00","N/A","0.00","0.43"
"01/01/2023 04:00:00 - 01/01/2023 05:00:00","BZN|DK1","0.00","N/A","0.00","0.43"
"01/01/2023 05:00:00 - 01/01/2023 06:00:00","BZN|DK1","0.01","N/A","0.01","0.43"
"01/01/2023 06:00:00 - 01/01/2023 07:00:00","BZN|DK1","0.02","N/A","0.02","0.43"
"01/01/2023 07:00:00 - 01/01/2023 08:00:00","BZN|DK1","0.04","N/A","0.04","0.43"
"01/01/2023 08:00:00 - 01/01/2023 09:00:00","BZN|DK1","0.15","0.13","0.13","0.42"
"01/01/2023 09:00:00 - 01/01/2023 10:00:00","BZN|DK1","7.85","7.10","7.97","7.34"
"01/01/2023 10:00:00 - 01/01/2023 11:00:00","BZN|DK1","31.23","27.80","27.24","39.24"
"01/01/2023 11:00:00 - 01/01/2023 12:00:00","BZN|DK1","61.04","50.05","66.36","65.34"
"01/01/2023 12:00:00 - 01/01/2023 13:00:00","BZN|DK1","76.18","56.25","79.11","101.41"
"01/01/2023 13:00:00 - 01/01/2023 14:00:00","BZN|DK1","69.53","48.05","97.10","82.74"
"01/01/2023 14:00:00 - 01/01/2023 15:00:00","BZN|DK1","43.09","34.19","48.00","61.68"
"01/01/2023 15:00:00 - 01/01/2023 16:00:00","BZN|DK1","8.97","7.58","14.68","17.02"
"01/01/2023 16:00:00 - 01/01/2023 17:00:00","BZN|DK1","0.06","0.05","1.65","0.47"
"01/01/2023 17:00:00 - 01/01/2023 18:00:00","BZN|DK1","0.04","0.04","0.10","0.43"
"01/01/2023 18:00:00 - 01/01/2023 19:00:00","BZN|DK1","0.02","0.02","0.10","0.42"
"01/01/2023 19:00:00 - 01/01/2023 20:00:00","BZN|DK1","0.01","0.01","0.08","0.43"
"01/01/2023 20:00:00 - 01/01/2023 21:00:00","BZN|DK1","0.00","0.00","0.06","0.43"
"01/01/2023 21:00:00 - 01/01/2023 22:00:00","BZN|DK1","0.00","0.00","0.05","0.43"
"01/01/2023 22:00:00 - 01/01/2023 23:00:00","BZN|DK1","0.00","0.00","0.04","0.43"
"01/01/2023 23:00:00 - 02/01/2023 00:00:00","BZN|DK1","0.00","0.00","0.02","0.43"
"02/01/2023 00:00:00 - 02/01/2023 01:00:00","BZN|DK1","0.00","N/A","0.01","0.43"
"02/01/2023 01:00:00 - 02/01/2023 02:00:00","BZN|DK1","0.00","N/A","0.00","0.42"
"02/01/2023 02:00:00 - 02/01/2023 03:00:00","BZN|DK1","0.00","N/A","0.00","0.43"
"02/01/2023 03:00:00 - 02/01/2023 04:00:00","BZN|DK1","0.00","N/A","0.00","0.42"
"02/01/2023 04:00:00 - 02/01/2023 05:00:00","BZN|DK1","0.00","N/A","0.00","0.43"
"02/01/2023 05:00:00 - 02/01/2023 06:00:00","BZN|DK1","0.01","N/A","0.01","0.43"
"02/01/2023 06:00:00 - 02/01/2023 07:00:00","BZN|DK1","0.02","N/A","0.02","0.43"
"02/01/2023 07:00:00 - 02/01/2023 08:00:00","BZN|DK1","0.04","N/A","0.04","0.42"
"02/01/2023 08:00:00 - 02/01/2023 09:00:00","BZN|DK1","0.07","0.09","0.09","0.60"
"02/01/2023 09:00:00 - 02/01/2023 10:00:00","BZN|DK1","3.77","5.31","6.13","3.85"
"02/01/2023 10:00:00 - 02/01/2023 11:00:00","BZN|DK1","17.37","20.63","17.11","25.65"
"02/01/2023 11:00:00 - 02/01/2023 12:00:00","BZN|DK1","28.29","33.64","41.96","47.37"
"02/01/2023 12:00:00 - 02/01/2023 13:00:00","BZN|DK1","31.74","38.31","53.66","54.83"
"02/01/2023 13:00:00 - 02/01/2023 14:00:00","BZN|DK1","27.56","35.44","46.58","67.42"
"02/01/2023 14:00:00 - 02/01/2023 15:00:00","BZN|DK1","15.92","24.00","41.19","48.02"
"02/01/2023 15:00:00 - 02/01/2023 16:00:00","BZN|DK1","3.06","5.42","16.74","14.95"
"02/01/2023 16:00:00 - 02/01/2023 17:00:00","BZN|DK1","0.06","0.07","1.71","0.61"
"02/01/2023 17:00:00 - 02/01/2023 18:00:00","BZN|DK1","0.04","0.04","0.12","0.42"
"02/01/2023 18:00:00 - 02/01/2023 19:00:00","BZN|DK1","0.02","0.02","0.10","0.42"
"02/01/2023 19:00:00 - 02/01/2023 20:00:00","BZN|DK1","0.01","0.01","0.08","0.42"
"02/01/2023 20:00:00 - 02/01/2023 21:00:00","BZN|DK1","0.00","0.00","0.06","0.42"
"02/01/2023 21:00:00 - 02/01/2023 22:00:00","BZN|DK1","0.00","0.00","0.05","0.42"
"02/01/2023 22:00:00 - 02/01/2023 23:00:00","BZN|DK1","0.00","0.00","0.00","0.42"
"02/01/2023 23:00:00 - 03/01/2023 00:00:00","BZN|DK1","0.00","0.00","0.00","0.42"
"03/01/2023 00:00:00 - 03/01/2023 01:00:00","BZN|DK1","0.00","N/A","0.00","0.42"
"03/01/2023 01:00:00 - 03/01/2023 02:00:00","BZN|DK1","0.00","N/A","0.00","0.42"
"03/01/2023 02:00:00 - 03/01/2023 03:00:00","BZN|DK1","0.00","N/A","0.00","0.42"
"03/01/2023 03:00:00 - 03/01/2023 04:00:00","BZN|DK1","0.00","N/A","0.00","0.42"
"03/01/2023 04:00:00 - 03/01/2023 05:00:00","BZN|DK1","0.00","N/A","0.00","0.42"
"03/01/2023 05:00:00 - 03/01/2023 06:00:00","BZN|DK1","0.01","N/A","0.01","0.41"
"03/01/2023 06:00:00 - 03/01/2023 07:00:00","BZN|DK1","0.02","N/A","0.02","0.42"
"03/01/2023 07:00:00 - 03/01/2023 08:00:00","BZN|DK1","0.04","N/A","0.04","0.43"
"03/01/2023 08:00:00 - 03/01/2023 09:00:00","BZN|DK1","0.60","0.66","0.66","0.99"
"03/01/2023 09:00:00 - 03/01/2023 10:00:00","BZN|DK1","19.89","20.03","19.86","33.63"
"03/01/2023 10:00:00 - 03/01/2023 11:00:00","BZN|DK1","70.04","62.22","92.11","125.27"
"03/01/2023 11:00:00 - 03/01/2023 12:00:00","BZN|DK1","112.09","110.38","191.57","244.03"
"03/01/2023 12:00:00 - 03/01/2023 13:00:00","BZN|DK1","122.09","135.34","272.00","263.60"
"03/01/2023 13:00:00 - 03/01/2023 14:00:00","BZN|DK1","106.00","116.45","211.34","222.74"
"03/01/2023 14:00:00 - 03/01/2023 15:00:00","BZN|DK1","71.72","78.17","120.11","158.01"
"03/01/2023 15:00:00 - 03/01/2023 16:00:00","BZN|DK1","18.88","20.37","39.88","36.61"
"03/01/2023 16:00:00 - 03/01/2023 17:00:00","BZN|DK1","0.14","0.14","2.45","0.75"
"03/01/2023 17:00:00 - 03/01/2023 18:00:00","BZN|DK1","0.04","0.04","0.09","0.41"
"03/01/2023 18:00:00 - 03/01/2023 19:00:00","BZN|DK1","0.03","0.03","0.09","0.41"
"03/01/2023 19:00:00 - 03/01/2023 20:00:00","BZN|DK1","0.01","0.01","0.07","0.41"
"03/01/2023 20:00:00 - 03/01/2023 21:00:00","BZN|DK1","0.00","0.00","0.05","0.41"
"03/01/2023 21:00:00 - 03/01/2023 22:00:00","BZN|DK1","0.00","0.00","0.04","0.42"
"03/01/2023 22:00:00 - 03/01/2023 23:00:00","BZN|DK1","0.00","0.00","0.03","0.42"
"03/01/2023 23:00:00 - 04/01/2023 00:00:00","BZN|DK1","0.00","0.00","0.02","0.42"
"04/01/2023 00:00:00 - 04/01/2023 01:00:00","BZN|DK1","0.00","N/A","0.01","0.42"
"04/01/2023 01:00:00 - 04/01/2023 02:00:00","BZN|DK1","0.00","N/A","0.00","0.42"
"04/01/2023 02:00:00 - 04/01/2023 03:00:00","BZN|DK1","0.00","N/A","0.00","0.42"
"04/01/2023 03:00:00 - 04/01/2023 04:00:00","BZN|DK1","0.00","N/A","0.00","0.42"
"04/01/2023 04:00:00 - 04/01/2023 05:00:00","BZN|DK1","0.00","N/A","0.00","0.42"
"04/01/2023 05:00:00 - 04/01/2023 06:00:00","BZN|DK1","0.01","N/A","0.01","0.42"
"04/01/2023 06:00:00 - 04/01/2023 07:00:00","BZN|DK1","0.02","N/A","0.02","0.41"
"04/01/2023 07:00:00 - 04/01/2023 08:00:00","BZN|DK1","0.04","N/A","0.04","0.42"
"04/01/2023 08:00:00 - 04/01/2023 09:00:00","BZN|DK1","0.07","0.08","0.08","0.41"
"04/01/2023 09:00:00 - 04/01/2023 10:00:00","BZN|DK1","3.88","4.47","5.11","1.54"
"04/01/2023 10:00:00 - 04/01/2023 11:00:00","BZN|DK1","17.89","18.17","12.05","15.05"
"04/01/2023 11:00:00 - 04/01/2023 12:00:00","BZN|DK1","28.93","30.19","26.55","39.35"
"04/01/2023 12:00:00 - 04/01/2023 13:00:00","BZN|DK1","32.51","37.13","44.54","43.91"
"04/01/2023 13:00:00 - 04/01/2023 14:00:00","BZN|DK1","28.48","36.23","35.29","34.86"
"04/01/2023 14:00:00 - 04/01/2023 15:00:00","BZN|DK1","16.92","22.87","20.28","24.39"
"04/01/2023 15:00:00 - 04/01/2023 16:00:00","BZN|DK1","3.19","4.39","4.79","6.10"
"04/01/2023 16:00:00 - 04/01/2023 17:00:00","BZN|DK1","0.05","0.05","0.27","0.33"
"04/01/2023 17:00:00 - 04/01/2023 18:00:00","BZN|DK1","0.04","0.04","0.08","0.40"
"04/01/2023 18:00:00 - 04/01/2023 19:00:00","BZN|DK1","0.03","0.03","0.08","0.40"
"04/01/2023 19:00:00 - 04/01/2023 20:00:00","BZN|DK1","0.01","0.01","0.06","0.40"
"04/01/2023 20:00:00 - 04/01/2023 21:00:00","BZN|DK1","0.00","0.00","0.04","0.40"
"04/01/2023 21:00:00 - 04/01/2023 22:00:00","BZN|DK1","0.00","0.00","0.04","0.40"
"04/01/2023 22:00:00 - 04/01/2023 23:00:00","BZN|DK1","0.00","0.00","0.03","0.40"
"04/01/2023 23:00:00 - 05/01/2023 00:00:00","BZN|DK1","0.00","0.00","0.02","0.41"
"05/01/2023 00:00:00 - 05/01/2023 01:00:00","BZN|DK1","0.00","N/A","0.01","0.40"
"05/01/2023 01:00:00 - 05/01/2023 02:00:00","BZN|DK1","0.00","N/A","0.00","0.40"
"05/01/2023 02:00:00 - 05/01/2023 03:00:00","BZN|DK1","0.00","N/A","0.00","0.41"
"05/01/2023 03:00:00 - 05/01/2023 04:00:00","BZN|DK1","0.00","N/A","0.00","0.41"
"05/01/2023 04:00:00 - 05/01/2023 05:00:00","BZN|DK1","0.00","N/A","0.00","0.40"
"05/01/2023 05:00:00 - 05/01/2023 06:00:00","BZN|DK1","0.01","N/A","0.01","0.40"
"05/01/2023 06:00:00 - 05/01/2023 07:00:00","BZN|DK1","0.02","N/A","0.02","0.40"
"05/01/2023 07:00:00 - 05/01/2023 08:00:00","BZN|DK1","0.04","N/A","0.04","0.40"
"05/01/2023 08:00:00 - 05/01/2023 09:00:00","BZN|DK1","0.29","0.34","0.34","0.86"
"05/01/2023 09:00:00 - 05/01/2023 10:00:00","BZN|DK1","10.39","12.65","14.36","27.34"
"05/01/2023 10:00:00 - 05/01/2023 11:00:00","BZN|DK1","35.83","45.12","71.34","113.53"
"05/01/2023 11:00:00 - 05/01/2023 12:00:00","BZN|DK1","60.82","73.56","166.57","204.55"
"05/01/2023 12:00:00 - 05/01/2023 13:00:00","BZN|DK1","72.12","84.44","218.79","233.09"
"05/01/2023 13:00:00 - 05/01/2023 14:00:00","BZN|DK1","64.47","74.79","188.93","194.82"
"05/01/2023 14:00:00 - 05/01/2023 15:00:00","BZN|DK1","40.16","46.12","106.04","121.03"
"05/01/2023 15:00:00 - 05/01/2023 16:00:00","BZN|DK1","9.83","11.28","27.33","32.60"
"05/01/2023 16:00:00 - 05/01/2023 17:00:00","BZN|DK1","0.08","0.09","3.11","0.93"
"05/01/2023 17:00:00 - 05/01/2023 18:00:00","BZN|DK1","0.04","0.04","0.08","0.39"
"05/01/2023 18:00:00 - 05/01/2023 19:00:00","BZN|DK1","0.03","0.03","0.08","0.40"
"05/01/2023 19:00:00 - 05/01/2023 20:00:00","BZN|DK1","0.01","0.01","0.06","0.40"
"05/01/2023 20:00:00 - 05/01/2023 21:00:00","BZN|DK1","0.00","0.00","0.04","0.39"
"05/01/2023 21:00:00 - 05/01/2023 22:00:00","BZN|DK1","0.00","0.00","0.03","0.39"
"05/01/2023 22:00:00 - 05/01/2023 23:00:00","BZN|DK1","0.00","0.00","0.03","0.40"
"05/01/2023 23:00:00 - 06/01/2023 00:00:00","BZN|DK1","0.00","0.00","0.02","0.40"
"06/01/2023 00:00:00 - 06/01/2023 01:00:00","BZN|DK1","0.00","N/A","0.01","0.40"
"06/01/2023 01:00:00 - 06/01/2023 02:00:00","BZN|DK1","0.00","N/A","0.00","0.40"
"06/01/2023 02:00:00 - 06/01/2023 03:00:00","BZN|DK1","0.00","N/A","0.00","0.40"
"06/01/2023 03:00:00 - 06/01/2023 04:00:00","BZN|DK1","0.00","N/A","0.00","0.39"
"06/01/2023 04:00:00 - 06/01/2023 05:00:00","BZN|DK1","0.00","N/A","0.00","0.39"
"06/01/2023 05:00:00 - 06/01/2023 06:00:00","BZN|DK1","0.01","N/A","0.01","0.39"
"06/01/2023 06:00:00 - 06/01/2023 07:00:00","BZN|DK1","0.03","N/A","0.03","0.40"
"06/01/2023 07:00:00 - 06/01/2023 08:00:00","BZN|DK1","0.04","N/A","0.04","0.40"
"06/01/2023 08:00:00 - 06/01/2023 09:00:00","BZN|DK1","0.08","0.08","0.08","0.39"
"06/01/2023 09:00:00 - 06/01/2023 10:00:00","BZN|DK1","4.21","4.28","4.85","2.29"
"06/01/2023 10:00:00 - 06/01/2023 11:00:00","BZN|DK1","19.25","21.92","16.06","28.95"
"06/01/2023 11:00:00 - 06/01/2023 12:00:00","BZN|DK1","47.32","56.85","67.20","131.72"
"06/01/2023 12:00:00 - 06/01/2023 13:00:00","BZN|DK1","69.46","78.29","149.89","203.76"
"06/01/2023 13:00:00 - 06/01/2023 14:00:00","BZN|DK1","67.99","71.22","159.26","160.20"
"06/01/2023 14:00:00 - 06/01/2023 15:00:00","BZN|DK1","50.25","53.81","89.84","91.29"
"06/01/2023 15:00:00 - 06/01/2023 16:00:00","BZN|DK1","12.23","14.24","19.60","16.97"
"06/01/2023 16:00:00 - 06/01/2023 17:00:00","BZN|DK1","0.08","0.09","0.88","0.57"
"06/01/2023 17:00:00 - 06/01/2023 18:00:00","BZN|DK1","0.04","0.04","0.10","0.39"
"06/01/2023 18:00:00 - 06/01/2023 19:00:00","BZN|DK1","0.03","0.03","0.10","0.40"
"06/01/2023 19:00:00 - 06/01/2023 20:00:00","BZN|DK1","0.01","0.01","0.08","0.38"
"06/01/2023 20:00:00 - 06/01/2023 21:00:00","BZN|DK1","0.00","0.00","0.05","0.40"
"06/01/2023 21:00:00 - 06/01/2023 22:00:00","BZN|DK1","0.00","0.00","0.05","0.39"
"06/01/2023 22:00:00 - 06/01/2023 23:00:00","BZN|DK1","0.00","0.00","0.03","0.39"
"06/01/2023 23:00:00 - 07/01/2023 00:00:00","BZN|DK1","0.00","0.00","0.02","0.40"
"07/01/2023 00:00:00 - 07/01/2023 01:00:00","BZN|DK1","0.00","N/A","0.01","0.40"
"07/01/2023 01:00:00 - 07/01/2023 02:00:00","BZN|DK1","0.00","N/A","0.00","0.40"
