"MTU (CET/CEST)","Area","Day-ahead (MW)","Intraday (MW)","Current (MW)","Actual (MW)"
"01/01/2022 00:00:00 - 01/01/2022 01:00:00","BZN|DK1","830.17","N/A","1000.42","1054.94"
"01/01/2022 01:00:00 - 01/01/2022 02:00:00","BZN|DK1","870.92","N/A","956.58","1020.89"
"01/01/2022 02:00:00 - 01/01/2022 03:00:00","BZN|DK1","832.54","N/A","849.50","1025.11"
"01/01/2022 03:00:00 - 01/01/2022 04:00:00","BZN|DK1","646.67","N/A","889.54","939.33"
"01/01/2022 04:00:00 - 01/01/2022 05:00:00","BZN|DK1","569.33","N/A","791.67","792.27"
"01/01/2022 05:00:00 - 01/01/2022 06:00:00","BZN|DK1","429.83","N/A","693.29","880.24"
"01/01/2022 06:00:00 - 01/01/2022 07:00:00","BZN|DK1","325.96","N/A","751.08","761.95"
"01/01/2022 07:00:00 - 01/01/2022 08:00:00","BZN|DK1","252.75","N/A","591.79","756.07"
"01/01/2022 08:00:00 - 01/01/2022 09:00:00","BZN|DK1","193.21","611.71","615.79","445.07"
"01/01/2022 09:00:00 - 01/01/2022 10:00:00","BZN|DK1","134.54","459.71","196.92","156.68"
"01/01/2022 10:00:00 - 01/01/2022 11:00:00","BZN|DK1","116.08","310.38","110.92","195.52"
"01/01/2022 11:00:00 - 01/01/2022 12:00:00","BZN|DK1","132.00","320.75","237.04","211.79"
"01/01/2022 12:00:00 - 01/01/2022 13:00:00","BZN|DK1","206.42","355.67","301.67","364.13"
"01/01/2022 13:00:00 - 01/01/2022 14:00:00","BZN|DK1","363.92","423.42","467.92","460.93"
"01/01/2022 14:00:00 - 01/01/2022 15:00:00","BZN|DK1","524.29","561.21","548.00","600.10"
"01/01/2022 15:00:00 - 01/01/2022 16:00:00","BZN|DK1","660.50","754.25","791.21","805.85"
"01/01/2022 16:00:00 - 01/01/2022 17:00:00","BZN|DK1","764.71","878.83","903.54","881.30"
