"MTU (CET/CEST)","Area","Day-ahead (MW)","Intraday (MW)","Current (MW)","Actual (MW)"
"01/01/2018 00:00:00 - 01/01/2018 01:00:00","BZN|DK1","0.00","n/e"," ","0.00"
"01/01/2018 01:00:00 - 01/01/2018 02:00:00","BZN|DK1","0.00","n/e"," ","0.00"
"01/01/2018 02:00:00 - 01/01/2018 03:00:00","BZN|DK1","0.00","n/e"," ","0.00"
"01/01/2018 03:00:00 - 01/01/2018 04:00:00","BZN|DK1","0.00","n/e"," ","0.00"
"01/01/2018 04:00:00 - 01/01/2018 05:00:00","BZN|DK1","0.00","n/e"," ","0.00"
"01/01/2018 05:00:00 - 01/01/2018 06:00:00","BZN|DK1","0.00","n/e"," ","0.00"
"01/01/2018 06:00:00 - 01/01/2018 07:00:00","BZN|DK1","0.00","n/e"," ","0.00"
"01/01/2018 07:00:00 - 01/01/2018 08:00:00","BZN|DK1","0.00","n/e"," ","0.00"
"01/01/2018 08:00:00 - 01/01/2018 09:00:00","BZN|DK1","0.00","n/e"," ","0.28"
"01/01/2018 09:00:00 - 01/01/2018 10:00:00","BZN|DK1","3.00","n/e"," ","6.96"
"01/01/2018 10:00:00 - 01/01/2018 11:00:00","BZN|DK1","10.00","n/e"," ","22.78"
"01/01/2018 11:00:00 - 01/01/2018 12:00:00","BZN|DK1","19.00","n/e"," ","33.38"
"01/01/2018 12:00:00 - 01/01/2018 13:00:00","BZN|DK1","25.00","n/e"," ","40.45"
"01/01/2018 13:00:00 - 01/01/2018 14:00:00","BZN|DK1","27.00","n/e"," ","45.05"
"01/01/2018 14:00:00 - 01/01/2018 15:00:00","BZN|DK1","16.00","n/e"," ","33.94"
"01/01/2018 15:00:00 - 01/01/2018 16:00:00","BZN|DK1","5.00","n/e"," ","13.01"
"01/01/2018 16:00:00 - 01/01/2018 17:00:00","BZN|DK1","0.00","n/e"," ","0.57"
"01/01/2018 17:00:00 - 01/01/2018 18:00:00","BZN|DK1","0.00","n/e"," ","0.00"
"01/01/2018 18:00:00 - 01/01/2018 19:00:00","BZN|DK1","0.00","n/e"," ","0.00"
"01/01/2018 19:00:00 - 01/01/2018 20:00:00","BZN|DK1","0.00","n/e"," ","0.00"
"01/01/2018 20:00:00 - 01/01/2018 21:00:00","BZN|DK1","0.00","n/e"," ","0.00"
"01/01/2018 21:00:00 - 01/01/2018 22:00:00","BZN|DK1","0.00","n/e"," ","0.00"
"01/01/2018 22:00:00 - 01/01/2018 23:00:00","BZN|DK1","0.00","n/e"," ","0.00"
"01/01/2018 23:00:00 - 02/01/2018 00:00:00","BZN|DK1","0.00","n/e"," ","0.00"
"02/01/2018 00:00:00 - 02/01/2018 01:00:00","BZN|DK1","0.00","n/e"," ","0.00"
"02/01/2018 01:00:00 - 02/01/2018 02:00:00","BZN|DK1","0.00","n/e"," ","0.00"
"02/01/2018 02:00:00 - 02/01/2018 03:00:00","BZN|DK1","0.00","n/e"," ","0.00"
"02/01/2018 03:00:00 - 02/01/2018 04:00:00","BZN|DK1","0.00","n/e"," ","0.00"
"02/01/2018 04:00:00 - 02/01/2018 05:00:00","BZN|DK1","0.00","n/e"," ","0.00"
"02/01/2018 05:00:00 - 02/01/2018 06:00:00","BZN|DK1","0.00","n/e"," ","0.00"
"02/01/2018 06:00:00 - 02/01/2018 07:00:00","BZN|DK1","0.00","n/e"," ","0.00"
"02/01/2018 07:00:00 - 02/01/2018 08:00:00","BZN|DK1","0.00","n/e"," ","0.00"
"02/01/2018 08:00:00 - 02/01/2018 09:00:00","BZN|DK1","1.00","n/e"," ","0.57"
"02/01/2018 09:00:00 - 02/01/2018 10:00:00","BZN|DK1","12.00","n/e"," ","20.09"
"02/01/2018 10:00:00 - 02/01/2018 11:00:00","BZN|DK1","48.00","n/e"," ","68.61"
"02/01/2018 11:00:00 - 02/01/2018 12:00:00","BZN|DK1","82.00","n/e"," ","108.89"
"02/01/2018 12:00:00 - 02/01/2018 13:00:00","BZN|DK1","95.00","n/e"," ","127.28"
"02/01/2018 13:00:00 - 02/01/2018 14:00:00","BZN|DK1","77.00","n/e"," ","101.08"
"02/01/2018 14:00:00 - 02/01/2018 15:00:00","BZN|DK1","51.00","n/e"," ","58.11"
"02/01/2018 15:00:00 - 02/01/2018 16:00:00","BZN|DK1","13.00","n/e"," ","14.71"
"02/01/2018 16:00:00 - 02/01/2018 17:00:00","BZN|DK1","0.00","n/e"," ","0.63"
"02/01/2018 17:00:00 - 02/01/2018 18:00:00","BZN|DK1","0.00","n/e"," ","0.00"
"02/01/2018 18:00:00 - 02/01/2018 19:00:00","BZN|DK1","0.00","n/e"," ","0.00"
"02/01/2018 19:00:00 - 02/01/2018 20:00:00","BZN|DK1","0.00","n/e"," ","0.00"
"02/01/2018 20:00:00 - 02/01/2018 21:00:00","BZN|DK1","0.00","n/e"," ","0.00"
"02/01/2018 21:00:00 - 02/01/2018 22:00:00","BZN|DK1","0.00","n/e"," ","0.00"
"02/01/2018 22:00:00 - 02/01/2018 23:00:00","BZN|DK1","0.00","n/e"," ","0.00"
"02/01/2018 23:00:00 - 03/01/2018 00:00:00","BZN|DK1","0.00","n/e"," ","0.00"
"03/01/2018 00:00:00 - 03/01/2018 01:00:00","BZN|DK1","0.00","n/e"," ","0.00"
"03/01/2018 01:00:00 - 03/01/2018 02:00:00","BZN|DK1","0.00","n/e"," ","0.00"
"03/01/2018 02:00:00 - 03/01/2018 03:00:00","BZN|DK1","0.00","n/e"," ","0.00"
"03/01/2018 03:00:00 - 03/01/2018 04:00:00","BZN|DK1","0.00","n/e"," ","0.00"
"03/01/2018 04:00:00 - 03/01/2018 05:00:00","BZN|DK1","0.00","n/e"," ","0.01"
"03/01/2018 05:00:00 - 03/01/2018 06:00:00","BZN|DK1","0.00","n/e"," ","0.00"
"03/01/2018 06:00:00 - 03/01/2018 07:00:00","BZN|DK1","0.00","n/e"," ","0.00"
"03/01/2018 07:00:00 - 03/01/2018 08:00:00","BZN|DK1","0.00","n/e"," ","0.00"
"03/01/2018 08:00:00 - 03/01/2018 09:00:00","BZN|DK1","0.00","n/e"," ","0.17"
"03/01/2018 09:00:00 - 03/01/2018 10:00:00","BZN|DK1","1.00","n/e"," ","1.80"
