"MTU (CET/CEST)","Area","Day-ahead (MW)","Intraday (MW)","Current (MW)","Actual (MW)"
"01/01/2017 00:00:00 - 01/01/2017 01:00:00","BZN|DK1","0.00","n/e"," ","0.00"
"01/01/2017 01:00:00 - 01/01/2017 02:00:00","BZN|DK1","0.00","n/e"," ","0.00"
"01/01/2017 02:00:00 - 01/01/2017 03:00:00","BZN|DK1","0.00","n/e"," ","0.00"
"01/01/2017 03:00:00 - 01/01/2017 04:00:00","BZN|DK1","0.00","n/e"," ","0.00"
"01/01/2017 04:00:00 - 01/01/2017 05:00:00","BZN|DK1","0.00","n/e"," ","0.00"
"01/01/2017 05:00:00 - 01/01/2017 06:00:00","BZN|DK1","0.00","n/e"," ","0.00"
"01/01/2017 06:00:00 - 01/01/2017 07:00:00","BZN|DK1","0.00","n/e"," ","0.00"
"01/01/2017 07:00:00 - 01/01/2017 08:00:00","BZN|DK1","0.00","n/e"," ","0.00"
"01/01/2017 08:00:00 - 01/01/2017 09:00:00","BZN|DK1","0.00","n/e"," ","0.01"
"01/01/2017 09:00:00 - 01/01/2017 10:00:00","BZN|DK1","1.00","n/e"," ","1.37"
"01/01/2017 10:00:00 - 01/01/2017 11:00:00","BZN|DK1","7.00","n/e"," ","8.47"
"01/01/2017 11:00:00 - 01/01/2017 12:00:00","BZN|DK1","15.00","n/e"," ","17.44"
"01/01/2017 12:00:00 - 01/01/2017 13:00:00","BZN|DK1","22.00","n/e"," ","22.33"
"01/01/2017 13:00:00 - 01/01/2017 14:00:00","BZN|DK1","27.00","n/e"," ","26.15"
"01/01/2017 14:00:00 - 01/01/2017 15:00:00","BZN|DK1","19.00","n/e"," ","15.42"
"01/01/2017 15:00:00 - 01/01/2017 16:00:00","BZN|DK1","4.00","n/e"," ","3.14"
"01/01/2017 16:00:00 - 01/01/2017 17:00:00","BZN|DK1","0.00","n/e"," ","0.02"
"01/01/2017 17:00:00 - 01/01/2017 18:00:00","BZN|DK1","0.00","n/e"," ","0.00"
"01/01/2017 18:00:00 - 01/01/2017 19:00:00","BZN|DK1","0.00","n/e"," ","0.00"
"01/01/2017 19:00:00 - 01/01/2017 20:00:00","BZN|DK1","0.00","n/e"," ","0.00"
"01/01/2017 20:00:00 - 01/01/2017 21:00:00","BZN|DK1","0.00","n/e"," ","0.00"
"01/01/2017 21:00:00 - 01/01/2017 22:00:00","BZN|DK1","0.00","n/e"," ","0.00"
"01/01/2017 22:00:00 - 01/01/2017 23:00:00","BZN|DK1","0.00","n/e"," ","0.00"
"01/01/2017 23:00:00 - 02/01/2017 00:00:00","BZN|DK1","0.00","n/e"," ","0.00"
