"MTU (CET/CEST)","Area","Day-ahead (MW)","Intraday (MW)","Current (MW)","Actual (MW)"
"01/01/2021 00:00:00 - 01/01/2021 01:00:00","BZN|DK1","0.00","N/A","0.00","0.00"
"01/01/2021 01:00:00 - 01/01/2021 02:00:00","BZN|DK1","0.00","N/A","0.00","0.00"
"01/01/2021 02:00:00 - 01/01/2021 03:00:00","BZN|DK1","0.00","N/A","0.00","0.00"
"01/01/2021 03:00:00 - 01/01/2021 04:00:00","BZN|DK1","0.00","N/A","0.00","0.00"
"01/01/2021 04:00:00 - 01/01/2021 05:00:00","BZN|DK1","0.00","N/A","0.00","0.00"
"01/01/2021 05:00:00 - 01/01/2021 06:00:00","BZN|DK1","0.01","N/A","0.01","0.00"
"01/01/2021 06:00:00 - 01/01/2021 07:00:00","BZN|DK1","0.01","N/A","0.01","0.00"
"01/01/2021 07:00:00 - 01/01/2021 08:00:00","BZN|DK1","0.02","N/A","0.02","0.00"
"01/01/2021 08:00:00 - 01/01/2021 09:00:00","BZN|DK1","0.06","0.06","0.06","0.10"
"01/01/2021 09:00:00 - 01/01/2021 10:00:00","BZN|DK1","6.24","6.81","6.78","5.97"
"01/01/2021 10:00:00 - 01/01/2021 11:00:00","BZN|DK1","23.30","27.54","28.37","25.68"
"01/01/2021 11:00:00 - 01/01/2021 12:00:00","BZN|DK1","35.30","47.40","58.31","51.85"
"01/01/2021 12:00:00 - 01/01/2021 13:00:00","BZN|DK1","40.81","56.26","64.48","60.89"
"01/01/2021 13:00:00 - 01/01/2021 14:00:00","BZN|DK1","35.89","46.54","53.25","47.70"
"01/01/2021 14:00:00 - 01/01/2021 15:00:00","BZN|DK1","18.12","23.08","32.18","22.58"
"01/01/2021 15:00:00 - 01/01/2021 16:00:00","BZN|DK1","3.32","4.17","8.74","5.67"
"01/01/2021 16:00:00 - 01/01/2021 17:00:00","BZN|DK1","0.04","0.04","1.52","0.23"
"01/01/2021 17:00:00 - 01/01/2021 18:00:00","BZN|DK1","0.02","0.02","0.14","0.00"
"01/01/2021 18:00:00 - 01/01/2021 19:00:00","BZN|DK1","0.01","0.01","0.11","0.00"
"01/01/2021 19:00:00 - 01/01/2021 20:00:00","BZN|DK1","0.01","0.01","0.05","0.00"
"01/01/2021 20:00:00 - 01/01/2021 21:00:00","BZN|DK1","0.00","0.00","0.00","0.00"
"01/01/2021 21:00:00 - 01/01/2021 22:00:00","BZN|DK1","0.00","0.00","0.00","0.00"
"01/01/2021 22:00:00 - 01/01/2021 23:00:00","BZN|DK1","0.00","0.00","0.00","0.00"
"01/01/2021 23:00:00 - 02/01/2021 00:00:00","BZN|DK1","0.00","0.00","0.00","0.00"
"02/01/2021 00:00:00 - 02/01/2021 01:00:00","BZN|DK1","0.00","N/A","0.00","0.00"
"02/01/2021 01:00:00 - 02/01/2021 02:00:00","BZN|DK1","0.00","N/A","0.00","0.00"
"02/01/2021 02:00:00 - 02/01/2021 03:00:00","BZN|DK1","0.00","N/A","0.00","0.00"
"02/01/2021 03:00:00 - 02/01/2021 04:00:00","BZN|DK1","0.00","N/A","0.00","0.00"
"02/01/2021 04:00:00 - 02/01/2021 05:00:00","BZN|DK1","0.00","N/A","0.00","0.00"
"02/01/2021 05:00:00 - 02/01/2021 06:00:00","BZN|DK1","0.01","N/A","0.01","0.00"
"02/01/2021 06:00:00 - 02/01/2021 07:00:00","BZN|DK1","0.01","N/A","0.01","0.00"
"02/01/2021 07:00:00 - 02/01/2021 08:00:00","BZN|DK1","0.02","N/A","0.02","0.00"
"02/01/2021 08:00:00 - 02/01/2021 09:00:00","BZN|DK1","0.09","0.08","0.08","0.14"
"02/01/2021 09:00:00 - 02/01/2021 10:00:00","BZN|DK1","10.12","8.71","9.22","9.23"
"02/01/2021 10:00:00 - 02/01/2021 11:00:00","BZN|DK1","39.22","31.74","35.41","41.56"
"02/01/2021 11:00:00 - 02/01/2021 12:00:00","BZN|DK1","63.12","57.00","81.21","68.71"
"02/01/2021 12:00:00 - 02/01/2021 13:00:00","BZN|DK1","69.55","76.90","101.97","84.48"
"02/01/2021 13:00:00 - 02/01/2021 14:00:00","BZN|DK1","58.05","64.35","82.68","69.55"
