"MTU (CET/CEST)","Area","Day-ahead (MW)","Intraday (MW)","Current (MW)","Actual (MW)"
"02/01/2024 23:00:00 - 03/01/2024 00:00:00","BZN|DK1","2475.29","2377.75","3470.25","3463.82"
"03/01/2024 00:00:00 - 03/01/2024 01:00:00","BZN|DK1","2801.54","3375.04","3375.04","3428.03"
"03/01/2024 01:00:00 - 03/01/2024 02:00:00","BZN|DK1","2680.38","3391.71","3395.33","3344.72"
"03/01/2024 02:00:00 - 03/01/2024 03:00:00","BZN|DK1","2632.63","3251.79","3251.79","3402.77"
"03/01/2024 03:00:00 - 03/01/2024 04:00:00","BZN|DK1","2596.79","3395.42","3395.42","3261.02"
"03/01/2024 04:00:00 - 03/01/2024 05:00:00","BZN|DK1","2513.13","2842.75","2842.75","3017.40"
"03/01/2024 05:00:00 - 03/01/2024 06:00:00","BZN|DK1","2294.63","2883.17","2883.17","2972.01"
"03/01/2024 06:00:00 - 03/01/2024 07:00:00","BZN|DK1","1985.25","3057.29","3057.29","3198.56"
"03/01/2024 07:00:00 - 03/01/2024 08:00:00","BZN|DK1","1871.63","3271.29","3271.29","3374.29"
"03/01/2024 08:00:00 - 03/01/2024 09:00:00","BZN|DK1","2105.88","3545.67","3546.00","3371.33"
"03/01/2024 09:00:00 - 03/01/2024 10:00:00","BZN|DK1","2206.46","3453.54","3340.75","3333.23"
"03/01/2024 10:00:00 - 03/01/2024 11:00:00","BZN|DK1","2128.08","3160.83","3218.38","3329.48"
"03/01/2024 11:00:00 - 03/01/2024 12:00:00","BZN|DK1","2298.75","3102.79","3280.25","3305.31"
"03/01/2024 12:00:00 - 03/01/2024 13:00:00","BZN|DK1","2151.04","2899.88","3237.75","3311.78"
"03/01/2024 13:00:00 - 03/01/2024 14:00:00","BZN|DK1","2075.38","2765.29","3289.33","3267.69"
"03/01/2024 14:00:00 - 03/01/2024 15:00:00","BZN|DK1","2084.33","2724.21","3231.75","3228.61"
"03/01/2024 15:00:00 - 03/01/2024 16:00:00","BZN|DK1","2055.54","2727.21","3212.42","3192.61"
"03/01/2024 16:00:00 - 03/01/2024 17:00:00","BZN|DK1","2107.33","2765.46","3284.00","3164.10"
"03/01/2024 17:00:00 - 03/01/2024 18:00:00","BZN|DK1","2063.88","2754.63","3176.71","3150.84"
"03/01/2024 18:00:00 - 03/01/2024 19:00:00","BZN|DK1","1841.79","2522.83","3084.50","3131.55"
"03/01/2024 19:00:00 - 03/01/2024 20:00:00","BZN|DK1","1826.33","2361.17","3312.58","3130.55"
"03/01/2024 20:00:00 - 03/01/2024 21:00:00","BZN|DK1","1893.21","2308.54","3212.21","3103.39"
"03/01/2024 21:00:00 - 03/01/2024 22:00:00","BZN|DK1","1949.96","2383.42","3137.63","3068.89"
"03/01/2024 22:00:00 - 03/01/2024 23:00:00","BZN|DK1","1949.08","2357.42","3173.92","3147.46"
"03/01/2024 23:00:00 - 04/01/2024 00:00:00","BZN|DK1","1946.08","2365.92","3145.71","3115.57"
"04/01/2024 00:00:00 - 04/01/2024 01:00:00","BZN|DK1","2874.75","3115.33","3115.33","3130.28"
"04/01/2024 01:00:00 - 04/01/2024 02:00:00","BZN|DK1","2852.63","3230.58","3230.58","3120.97"
"04/01/2024 02:00:00 - 04/01/2024 03:00:00","BZN|DK1","2845.71","3180.29","3180.29","3075.50"
"04/01/2024 03:00:00 - 04/01/2024 04:00:00","BZN|DK1","2913.46","3128.54","3128.54","2983.19"
"04/01/2024 04:00:00 - 04/01/2024 05:00:00","BZN|DK1","2859.04","2997.29","2997.29","2890.74"
"04/01/2024 05:00:00 - 04/01/2024 06:00:00","BZN|DK1","2610.88","2866.67","2866.67","2722.19"
"04/01/2024 06:00:00 - 04/01/2024 07:00:00","BZN|DK1","2208.71","2454.79","2454.79","2544.00"
"04/01/2024 07:00:00 - 04/01/2024 08:00:00","BZN|DK1","1985.63","2425.38","2425.38","2370.01"
"04/01/2024 08:00:00 - 04/01/2024 09:00:00","BZN|DK1","2087.92","2413.71","2413.71","2132.61"
"04/01/2024 09:00:00 - 04/01/2024 10:00:00","BZN|DK1","2046.46","2285.79","2051.00","1916.66"
"04/01/2024 10:00:00 - 04/01/2024 11:00:00","BZN|DK1","1806.67","2026.88","1763.21","1770.15"
"04/01/2024 11:00:00 - 04/01/2024 12:00:00","BZN|DK1","1702.88","1851.88","1712.13","1644.12"
"04/01/2024 12:00:00 - 04/01/2024 13:00:00","BZN|DK1","1457.25","1604.71","1500.92","1486.68"
"04/01/2024 13:00:00 - 04/01/2024 14:00:00","BZN|DK1","1254.63","1387.75","1357.58","1229.14"
"04/01/2024 14:00:00 - 04/01/2024 15:00:00","BZN|DK1","1045.96","1183.04","1043.29","1001.28"
"04/01/2024 15:00:00 - 04/01/2024 16:00:00","BZN|DK1","874.21","993.50","825.29","844.31"
"04/01/2024 16:00:00 - 04/01/2024 17:00:00","BZN|DK1","788.04","876.58","780.08","710.80"
"04/01/2024 17:00:00 - 04/01/2024 18:00:00","BZN|DK1","720.04","802.63","692.04","676.80"
"04/01/2024 18:00:00 - 04/01/2024 19:00:00","BZN|DK1","628.71","702.38","640.21","665.08"
"04/01/2024 19:00:00 - 04/01/2024 20:00:00","BZN|DK1","587.71","615.75","677.08","641.00"
"04/01/2024 20:00:00 - 04/01/2024 21:00:00","BZN|DK1","602.04","544.25","649.29","599.70"
"04/01/2024 21:00:00 - 04/01/2024 22:00:00","BZN|DK1","598.17","530.46","603.63","632.28"
"04/01/2024 22:00:00 - 04/01/2024 23:00:00","BZN|DK1","611.88","536.79","673.46","715.16"
"04/01/2024 23:00:00 - 05/01/2024 00:00:00","BZN|DK1","635.08","598.08","791.96","716.37"
"05/01/2024 00:00:00 - 05/01/2024 01:00:00","BZN|DK1","654.00","742.50","742.50","732.70"
"05/01/2024 01:00:00 - 05/01/2024 02:00:00","BZN|DK1","699.58","830.04","830.04","757.45"
"05/01/2024 02:00:00 - 05/01/2024 03:00:00","BZN|DK1","765.75","848.04","848.04","796.47"
"05/01/2024 03:00:00 - 05/01/2024 04:00:00","BZN|DK1","869.67","948.54","948.54","1025.95"
"05/01/2024 04:00:00 - 05/01/2024 05:00:00","BZN|DK1","964.58","1175.67","1175.67","1176.52"
"05/01/2024 05:00:00 - 05/01/2024 06:00:00","BZN|DK1","1023.29","1248.54","1248.54","1262.22"
"05/01/2024 06:00:00 - 05/01/2024 07:00:00","BZN|DK1","989.08","1294.13","1294.13","1340.84"
"05/01/2024 07:00:00 - 05/01/2024 08:00:00","BZN|DK1","993.25","1465.25","1465.25","1455.42"
"05/01/2024 08:00:00 - 05/01/2024 09:00:00","BZN|DK1","1195.08","1696.00","1696.00","1612.54"
"05/01/2024 09:00:00 - 05/01/2024 10:00:00","BZN|DK1","1327.75","1779.21","1754.71","1709.01"
"05/01/2024 10:00:00 - 05/01/2024 11:00:00","BZN|DK1","1425.08","1764.46","1849.88","1899.89"
"05/01/2024 11:00:00 - 05/01/2024 12:00:00","BZN|DK1","1532.58","1831.08","2034.38","1993.21"
"05/01/2024 12:00:00 - 05/01/2024 13:00:00","BZN|DK1","1575.21","1858.71","2097.50","2017.14"
"05/01/2024 13:00:00 - 05/01/2024 14:00:00","BZN|DK1","1587.13","1868.50","2039.54","2049.00"
"05/01/2024 14:00:00 - 05/01/2024 15:00:00","BZN|DK1","1609.88","1858.21","2127.96","2093.01"
"05/01/2024 15:00:00 - 05/01/2024 16:00:00","BZN|DK1","1562.33","1832.38","2098.25","2130.30"
"05/01/2024 16:00:00 - 05/01/2024 17:00:00","BZN|DK1","1558.54","1820.46","2207.25","2095.56"
"05/01/2024 17:00:00 - 05/01/2024 18:00:00","BZN|DK1","1527.58","1781.50","2048.13","2003.90"
"05/01/2024 18:00:00 - 05/01/2024 19:00:00","BZN|DK1","1384.25","1628.08","1899.00","1894.91"
"05/01/2024 19:00:00 - 05/01/2024 20:00:00","BZN|DK1","1376.00","1557.63","1946.08","1779.09"
"05/01/2024 20:00:00 - 05/01/2024 21:00:00","BZN|DK1","1368.46","1498.79","1782.83","1686.52"
"05/01/2024 21:00:00 - 05/01/2024 22:00:00","BZN|DK1","1394.88","1490.92","1699.58","1672.87"
"05/01/2024 22:00:00 - 05/01/2024 23:00:00","BZN|DK1","1360.33","1426.71","1650.33","1649.51"
"05/01/2024 23:00:00 - 06/01/2024 00:00:00","BZN|DK1","1316.54","1372.54","1654.83","1608.12"
"06/01/2024 00:00:00 - 06/01/2024 01:00:00","BZN|DK1","1537.33","1563.29","1563.29","1532.09"
"06/01/2024 01:00:00 - 06/01/2024 02:00:00","BZN|DK1","1494.00","1566.29","1566.29","1425.51"
"06/01/2024 02:00:00 - 06/01/2024 03:00:00","BZN|DK1","1439.29","1424.58","1424.58","1406.32"
"06/01/2024 03:00:00 - 06/01/2024 04:00:00","BZN|DK1","1390.79","1463.63","1466.21","1402.91"
"06/01/2024 04:00:00 - 06/01/2024 05:00:00","BZN|DK1","1320.08","1419.96","1419.96","1373.98"
"06/01/2024 05:00:00 - 06/01/2024 06:00:00","BZN|DK1","1203.79","1378.67","1378.67","1409.54"
"06/01/2024 06:00:00 - 06/01/2024 07:00:00","BZN|DK1","1038.25","1369.88","1369.88","1414.29"
"06/01/2024 07:00:00 - 06/01/2024 08:00:00","BZN|DK1","938.13","1378.33","1378.33","1280.60"
"06/01/2024 08:00:00 - 06/01/2024 09:00:00","BZN|DK1","1006.08","1374.04","1374.04","1259.62"
"06/01/2024 09:00:00 - 06/01/2024 10:00:00","BZN|DK1","990.46","1326.38","1274.75","1241.67"
"06/01/2024 10:00:00 - 06/01/2024 11:00:00","BZN|DK1","942.75","1206.75","1179.75","1132.94"
