"MTU (CET/CEST)","Area","Day-ahead (MW)","Intraday (MW)","Current (MW)","Actual (MW)"
"01/01/2021 00:00:00 - 01/01/2021 01:00:00","BZN|DK1","248.75","N/A","87.46","104.47"
"01/01/2021 01:00:00 - 01/01/2021 02:00:00","BZN|DK1","136.29","N/A","78.92","85.36"
"01/01/2021 02:00:00 - 01/01/2021 03:00:00","BZN|DK1","100.71","N/A","66.25","79.33"
"01/01/2021 03:00:00 - 01/01/2021 04:00:00","BZN|DK1","70.83","N/A","69.04","64.82"
"01/01/2021 04:00:00 - 01/01/2021 05:00:00","BZN|DK1","62.71","N/A","55.38","57.42"
"01/01/2021 05:00:00 - 01/01/2021 06:00:00","BZN|DK1","57.63","N/A","57.83","41.36"
"01/01/2021 06:00:00 - 01/01/2021 07:00:00","BZN|DK1","57.50","N/A","34.46","33.61"
"01/01/2021 07:00:00 - 01/01/2021 08:00:00","BZN|DK1","88.46","N/A","36.92","44.90"
"01/01/2021 08:00:00 - 01/01/2021 09:00:00","BZN|DK1","160.88","61.92","61.75","39.44"
"01/01/2021 09:00:00 - 01/01/2021 10:00:00","BZN|DK1","159.13","74.50","44.63","55.30"
"01/01/2021 10:00:00 - 01/01/2021 11:00:00","BZN|DK1","172.17","70.08","58.92","66.25"
"01/01/2021 11:00:00 - 01/01/2021 12:00:00","BZN|DK1","143.00","68.17","62.67","53.58"
"01/01/2021 12:00:00 - 01/01/2021 13:00:00","BZN|DK1","97.21","72.04","49.17","29.80"
"01/01/2021 13:00:00 - 01/01/2021 14:00:00","BZN|DK1","71.88","64.25","19.46","21.02"
"01/01/2021 14:00:00 - 01/01/2021 15:00:00","BZN|DK1","66.25","43.58","16.38","23.73"
"01/01/2021 15:00:00 - 01/01/2021 16:00:00","BZN|DK1","89.88","41.25","20.54","16.13"
"01/01/2021 16:00:00 - 01/01/2021 17:00:00","BZN|DK1","93.92","30.13","16.00","16.97"
