"MTU (CET/CEST)","Area","Day-ahead (MW)","Intraday (MW)","Current (MW)","Actual (MW)"
"01/01/2016 00:00:00 - 01/01/2016 01:00:00","BZN|DK1","0.00","n/e"," ","0.00"
"01/01/2016 01:00:00 - 01/01/2016 02:00:00","BZN|DK1","0.00","n/e"," ","0.00"
"01/01/2016 02:00:00 - 01/01/2016 03:00:00","BZN|DK1","0.00","n/e"," ","0.00"
"01/01/2016 03:00:00 - 01/01/2016 04:00:00","BZN|DK1","0.00","n/e"," ","0.00"
"01/01/2016 04:00:00 - 01/01/2016 05:00:00","BZN|DK1","0.00","n/e"," ","0.00"
"01/01/2016 05:00:00 - 01/01/2016 06:00:00","BZN|DK1","0.00","n/e"," ","0.00"
"01/01/2016 06:00:00 - 01/01/2016 07:00:00","BZN|DK1","0.00","n/e"," ","0.01"
"01/01/2016 07:00:00 - 01/01/2016 08:00:00","BZN|DK1","0.00","n/e"," ","0.01"
"01/01/2016 08:00:00 - 01/01/2016 09:00:00","BZN|DK1","0.00","n/e"," ","0.05"
"01/01/2016 09:00:00 - 01/01/2016 10:00:00","BZN|DK1","6.00","n/e"," ","4.86"
"01/01/2016 10:00:00 - 01/01/2016 11:00:00","BZN|DK1","20.00","n/e"," ","22.43"
"01/01/2016 11:00:00 - 01/01/2016 12:00:00","BZN|DK1","33.00","n/e"," ","47.81"
"01/01/2016 12:00:00 - 01/01/2016 13:00:00","BZN|DK1","42.00","n/e"," ","63.73"
"01/01/2016 13:00:00 - 01/01/2016 14:00:00","BZN|DK1","41.00","n/e"," ","56.47"
"01/01/2016 14:00:00 - 01/01/2016 15:00:00","BZN|DK1","25.00","n/e"," ","30.37"
"01/01/2016 15:00:00 - 01/01/2016 16:00:00","BZN|DK1","6.00","n/e"," ","6.60"
"01/01/2016 16:00:00 - 01/01/2016 17:00:00","BZN|DK1","0.00","n/e"," ","0.02"
"01/01/2016 17:00:00 - 01/01/2016 18:00:00","BZN|DK1","0.00","n/e"," ","0.00"
"01/01/2016 18:00:00 - 01/01/2016 19:00:00","BZN|DK1","0.00","n/e"," ","0.00"
"01/01/2016 19:00:00 - 01/01/2016 20:00:00","BZN|DK1","0.00","n/e"," ","0.01"
"01/01/2016 20:00:00 - 01/01/2016 21:00:00","BZN|DK1","0.00","n/e"," ","0.00"
"01/01/2016 21:00:00 - 01/01/2016 22:00:00","BZN|DK1","0.00","n/e"," ","0.00"
"01/01/2016 22:00:00 - 01/01/2016 23:00:00","BZN|DK1","0.00","n/e"," ","0.00"
"01/01/2016 23:00:00 - 02/01/2016 00:00:00","BZN|DK1","0.00","n/e"," ","0.00"
"02/01/2016 00:00:00 - 02/01/2016 01:00:00","BZN|DK1","0.00","n/e"," ","0.00"
"02/01/2016 01:00:00 - 02/01/2016 02:00:00","BZN|DK1","0.00","n/e"," ","0.00"
"02/01/2016 02:00:00 - 02/01/2016 03:00:00","BZN|DK1","0.00","n/e"," ","0.00"
"02/01/2016 03:00:00 - 02/01/2016 04:00:00","BZN|DK1","0.00","n/e"," ","0.00"
"02/01/2016 04:00:00 - 02/01/2016 05:00:00","BZN|DK1","0.00","n/e"," ","0.00"
"02/01/2016 05:00:00 - 02/01/2016 06:00:00","BZN|DK1","0.00","n/e"," ","0.00"
"02/01/2016 06:00:00 - 02/01/2016 07:00:00","BZN|DK1","0.00","n/e"," ","0.00"
"02/01/2016 07:00:00 - 02/01/2016 08:00:00","BZN|DK1","0.00","n/e"," ","0.00"
"02/01/2016 08:00:00 - 02/01/2016 09:00:00","BZN|DK1","0.00","n/e"," ","0.01"
"02/01/2016 09:00:00 - 02/01/2016 10:00:00","BZN|DK1","3.00","n/e"," ","0.62"
"02/01/2016 10:00:00 - 02/01/2016 11:00:00","BZN|DK1","16.00","n/e"," ","3.35"
"02/01/2016 11:00:00 - 02/01/2016 12:00:00","BZN|DK1","29.00","n/e"," ","6.53"
"02/01/2016 12:00:00 - 02/01/2016 13:00:00","BZN|DK1","35.00","n/e"," ","8.82"
"02/01/2016 13:00:00 - 02/01/2016 14:00:00","BZN|DK1","34.00","n/e"," ","9.25"
"02/01/2016 14:00:00 - 02/01/2016 15:00:00","BZN|DK1","19.00","n/e"," ","7.62"
"02/01/2016 15:00:00 - 02/01/2016 16:00:00","BZN|DK1","4.00","n/e"," ","0.73"
"02/01/2016 16:00:00 - 02/01/2016 17:00:00","BZN|DK1","0.00","n/e"," ","0.01"
"02/01/2016 17:00:00 - 02/01/2016 18:00:00","BZN|DK1","0.00","n/e"," ","0.00"
"02/01/2016 18:00:00 - 02/01/2016 19:00:00","BZN|DK1","0.00","n/e"," ","0.00"
