"MTU (CET/CEST)","Area","Day-ahead (MW)","Intraday (MW)","Current (MW)","Actual (MW)"
"01/01/2018 00:00:00 - 01/01/2018 01:00:00","BZN|DK1","538.53","n/e"," ","597.06"
"01/01/2018 01:00:00 - 01/01/2018 02:00:00","BZN|DK1","628.49","n/e"," ","661.58"
"01/01/2018 02:00:00 - 01/01/2018 03:00:00","BZN|DK1","464.26","n/e"," ","507.94"
"01/01/2018 03:00:00 - 01/01/2018 04:00:00","BZN|DK1","446.15","n/e"," ","490.28"
"01/01/2018 04:00:00 - 01/01/2018 05:00:00","BZN|DK1","549.82","n/e"," ","589.34"
"01/01/2018 05:00:00 - 01/01/2018 06:00:00","BZN|DK1","518.67","n/e"," ","580.67"
"01/01/2018 06:00:00 - 01/01/2018 07:00:00","BZN|DK1","538.10","n/e"," ","609.06"
"01/01/2018 07:00:00 - 01/01/2018 08:00:00","BZN|DK1","577.97","n/e"," ","601.41"
"01/01/2018 08:00:00 - 01/01/2018 09:00:00","BZN|DK1","551.83","n/e"," ","651.34"
"01/01/2018 09:00:00 - 01/01/2018 10:00:00","BZN|DK1","631.33","n/e"," ","719.25"
"01/01/2018 10:00:00 - 01/01/2018 11:00:00","BZN|DK1","680.25","n/e"," ","771.27"
"01/01/2018 11:00:00 - 01/01/2018 12:00:00","BZN|DK1","681.08","n/e"," ","752.99"
"01/01/2018 12:00:00 - 01/01/2018 13:00:00","BZN|DK1","671.21","n/e"," ","768.30"
"01/01/2018 13:00:00 - 01/01/2018 14:00:00","BZN|DK1","659.21","n/e"," ","769.41"
"01/01/2018 14:00:00 - 01/01/2018 15:00:00","BZN|DK1","663.29","n/e"," ","761.45"
"01/01/2018 15:00:00 - 01/01/2018 16:00:00","BZN|DK1","675.29","n/e"," ","770.83"
"01/01/2018 16:00:00 - 01/01/2018 17:00:00","BZN|DK1","678.04","n/e"," ","755.70"
"01/01/2018 17:00:00 - 01/01/2018 18:00:00","BZN|DK1","669.50","n/e"," ","740.45"
"01/01/2018 18:00:00 - 01/01/2018 19:00:00","BZN|DK1","654.63","n/e"," ","700.56"
"01/01/2018 19:00:00 - 01/01/2018 20:00:00","BZN|DK1","638.21","n/e"," ","682.44"
"01/01/2018 20:00:00 - 01/01/2018 21:00:00","BZN|DK1","616.29","n/e"," ","615.35"
"01/01/2018 21:00:00 - 01/01/2018 22:00:00","BZN|DK1","596.29","n/e"," ","642.53"
"01/01/2018 22:00:00 - 01/01/2018 23:00:00","BZN|DK1","576.29","n/e"," ","583.44"
"01/01/2018 23:00:00 - 02/01/2018 00:00:00","BZN|DK1","558.71","n/e"," ","577.04"
"02/01/2018 00:00:00 - 02/01/2018 01:00:00","BZN|DK1","503.44","n/e"," ","553.09"
"02/01/2018 01:00:00 - 02/01/2018 02:00:00","BZN|DK1","524.75","n/e"," ","572.90"
"02/01/2018 02:00:00 - 02/01/2018 03:00:00","BZN|DK1","522.70","n/e"," ","557.39"
"02/01/2018 03:00:00 - 02/01/2018 04:00:00","BZN|DK1","475.93","n/e"," ","503.65"
"02/01/2018 04:00:00 - 02/01/2018 05:00:00","BZN|DK1","478.49","n/e"," ","515.54"
"02/01/2018 05:00:00 - 02/01/2018 06:00:00","BZN|DK1","406.01","n/e"," ","436.35"
"02/01/2018 06:00:00 - 02/01/2018 07:00:00","BZN|DK1","346.48","n/e"," ","391.21"
"02/01/2018 07:00:00 - 02/01/2018 08:00:00","BZN|DK1","416.54","n/e"," ","460.09"
"02/01/2018 08:00:00 - 02/01/2018 09:00:00","BZN|DK1","406.07","n/e"," ","438.65"
"02/01/2018 09:00:00 - 02/01/2018 10:00:00","BZN|DK1","381.25","n/e"," ","416.73"
"02/01/2018 10:00:00 - 02/01/2018 11:00:00","BZN|DK1","353.96","n/e"," ","380.60"
"02/01/2018 11:00:00 - 02/01/2018 12:00:00","BZN|DK1","341.00","n/e"," ","359.30"
