"MTU (CET/CEST)","Area","Day-ahead (MW)","Intraday (MW)","Current (MW)","Actual (MW)"
"03/01/2024 02:00:00 - 03/01/2024 03:00:00","BZN|DK1","0.00","0.00","0.00","0.00"
"03/01/2024 03:00:00 - 03/01/2024 04:00:00","BZN|DK1","0.00","0.00","0.00","0.00"
"03/01/2024 04:00:00 - 03/01/2024 05:00:00","BZN|DK1","0.00","0.00","0.00","0.00"
"03/01/2024 05:00:00 - 03/01/2024 06:00:00","BZN|DK1","0.01","0.01","0.01","0.00"
"03/01/2024 06:00:00 - 03/01/2024 07:00:00","BZN|DK1","0.03","0.03","0.03","0.00"
"03/01/2024 07:00:00 - 03/01/2024 08:00:00","BZN|DK1","0.05","0.04","0.04","0.00"
"03/01/2024 08:00:00 - 03/01/2024 09:00:00","BZN|DK1","0.11","0.11","0.11","0.00"
"03/01/2024 09:00:00 - 03/01/2024 10:00:00","BZN|DK1","4.68","4.68","4.25","13.15"
"03/01/2024 10:00:00 - 03/01/2024 11:00:00","BZN|DK1","22.08","22.03","31.68","58.26"
"03/01/2024 11:00:00 - 03/01/2024 12:00:00","BZN|DK1","35.85","35.81","71.83","91.96"
"03/01/2024 12:00:00 - 03/01/2024 13:00:00","BZN|DK1","40.24","40.23","72.84","103.59"
"03/01/2024 13:00:00 - 03/01/2024 14:00:00","BZN|DK1","35.05","35.08","68.31","74.91"
"03/01/2024 14:00:00 - 03/01/2024 15:00:00","BZN|DK1","20.46","20.50","30.52","42.55"
"03/01/2024 15:00:00 - 03/01/2024 16:00:00","BZN|DK1","3.65","3.69","7.76","13.47"
"03/01/2024 16:00:00 - 03/01/2024 17:00:00","BZN|DK1","0.10","0.11","0.34","0.00"
"03/01/2024 17:00:00 - 03/01/2024 18:00:00","BZN|DK1","0.05","0.05","0.00","0.00"
"03/01/2024 18:00:00 - 03/01/2024 19:00:00","BZN|DK1","0.03","0.03","0.00","0.00"
"03/01/2024 19:00:00 - 03/01/2024 20:00:00","BZN|DK1","0.02","0.02","0.00","0.00"
"03/01/2024 20:00:00 - 03/01/2024 21:00:00","BZN|DK1","0.00","0.00","0.00","0.00"
"03/01/2024 21:00:00 - 03/01/2024 22:00:00","BZN|DK1","0.00","0.00","0.00","0.00"
"03/01/2024 22:00:00 - 03/01/2024 23:00:00","BZN|DK1","0.00","0.00","0.00","0.00"
"03/01/2024 23:00:00 - 04/01/2024 00:00:00","BZN|DK1","0.00","0.00","0.00","0.00"
"04/01/2024 00:00:00 - 04/01/2024 01:00:00","BZN|DK1","0.00","0.00","0.00","0.00"
"04/01/2024 01:00:00 - 04/01/2024 02:00:00","BZN|DK1","0.00","0.00","0.00","0.00"
"04/01/2024 02:00:00 - 04/01/2024 03:00:00","BZN|DK1","0.00","0.00","0.00","0.00"
"04/01/2024 03:00:00 - 04/01/2024 04:00:00","BZN|DK1","0.00","0.00","0.00","0.00"
"04/01/2024 04:00:00 - 04/01/2024 05:00:00","BZN|DK1","0.00","0.00","0.00","0.00"
"04/01/2024 05:00:00 - 04/01/2024 06:00:00","BZN|DK1","0.01","0.01","0.01","0.00"
"04/01/2024 06:00:00 - 04/01/2024 07:00:00","BZN|DK1","0.03","0.03","0.03","0.00"
"04/01/2024 07:00:00 - 04/01/2024 08:00:00","BZN|DK1","0.05","0.04","0.04","0.00"
"04/01/2024 08:00:00 - 04/01/2024 09:00:00","BZN|DK1","0.43","0.46","0.46","0.00"
"04/01/2024 09:00:00 - 04/01/2024 10:00:00","BZN|DK1","8.03","8.71","6.58","22.38"
"04/01/2024 10:00:00 - 04/01/2024 11:00:00","BZN|DK1","29.03","32.21","43.70","79.05"
"04/01/2024 11:00:00 - 04/01/2024 12:00:00","BZN|DK1","49.35","55.28","85.33","120.07"
"04/01/2024 12:00:00 - 04/01/2024 13:00:00","BZN|DK1","57.45","61.07","97.22","151.62"
"04/01/2024 13:00:00 - 04/01/2024 14:00:00","BZN|DK1","49.10","49.00","107.55","147.38"
"04/01/2024 14:00:00 - 04/01/2024 15:00:00","BZN|DK1","29.36","28.76","70.32","113.26"
"04/01/2024 15:00:00 - 04/01/2024 16:00:00","BZN|DK1","6.52","6.47","28.58","39.66"
"04/01/2024 16:00:00 - 04/01/2024 17:00:00","BZN|DK1","0.30","0.30","3.23","1.61"
"04/01/2024 17:00:00 - 04/01/2024 18:00:00","BZN|DK1","0.05","0.05","0.00","0.00"
"04/01/2024 18:00:00 - 04/01/2024 19:00:00","BZN|DK1","0.03","0.03","0.00","0.00"
