"MTU (CET/CEST)","Area","Day-ahead (MW)","Intraday (MW)","Current (MW)","Actual (MW)"
"01/01/2024 00:00:00 - 01/01/2024 01:00:00","BZN|DK1","977.96","1030.88","1030.88","1199.57"
"01/01/2024 01:00:00 - 01/01/2024 02:00:00","BZN|DK1","953.13","1039.50","1039.50","1176.50"
"01/01/2024 02:00:00 - 01/01/2024 03:00:00","BZN|DK1","923.58","1014.96","1014.96","1145.30"
"01/01/2024 03:00:00 - 01/01/2024 04:00:00","BZN|DK1","898.67","963.17","963.17","1157.28"
"01/01/2024 04:00:00 - 01/01/2024 05:00:00","BZN|DK1","871.25","936.17","936.17","786.57"
"01/01/2024 05:00:00 - 01/01/2024 06:00:00","BZN|DK1","844.00","660.08","660.08","786.87"
"01/01/2024 06:00:00 - 01/01/2024 07:00:00","BZN|DK1","829.25","662.67","662.67","724.27"
"01/01/2024 07:00:00 - 01/01/2024 08:00:00","BZN|DK1","820.00","593.88","593.88","761.77"
"01/01/2024 08:00:00 - 01/01/2024 09:00:00","BZN|DK1","815.08","666.96","654.71","665.79"
"01/01/2024 09:00:00 - 01/01/2024 10:00:00","BZN|DK1","797.71","691.08","550.96","1044.69"
"01/01/2024 10:00:00 - 01/01/2024 11:00:00","BZN|DK1","755.17","696.33","875.50","974.35"
"01/01/2024 11:00:00 - 01/01/2024 12:00:00","BZN|DK1","712.13","696.75","832.88","879.72"
"01/01/2024 12:00:00 - 01/01/2024 13:00:00","BZN|DK1","673.50","674.33","675.63","729.87"
"01/01/2024 13:00:00 - 01/01/2024 14:00:00","BZN|DK1","629.04","632.17","518.63","588.31"
"01/01/2024 14:00:00 - 01/01/2024 15:00:00","BZN|DK1","585.92","607.42","432.17","530.11"
"01/01/2024 15:00:00 - 01/01/2024 16:00:00","BZN|DK1","559.08","597.33","395.75","516.23"
"01/01/2024 16:00:00 - 01/01/2024 17:00:00","BZN|DK1","543.54","608.88","442.58","570.63"
"01/01/2024 17:00:00 - 01/01/2024 18:00:00","BZN|DK1","549.46","649.63","483.25","577.18"
"01/01/2024 18:00:00 - 01/01/2024 19:00:00","BZN|DK1","585.67","690.38","552.33","609.99"
"01/01/2024 19:00:00 - 01/01/2024 20:00:00","BZN|DK1","628.83","737.38","622.63","674.92"
"01/01/2024 20:00:00 - 01/01/2024 21:00:00","BZN|DK1","650.00","764.71","628.96","761.00"
"01/01/2024 21:00:00 - 01/01/2024 22:00:00","BZN|DK1","671.58","769.83","773.54","863.04"
