"MTU (CET/CEST)","Area","Day-ahead (MW)","Intraday (MW)","Current (MW)","Actual (MW)"
"01/01/2017 00:00:00 - 01/01/2017 01:00:00","BZN|DK1","651.50","n/e"," ","706.21"
"01/01/2017 01:00:00 - 01/01/2017 02:00:00","BZN|DK1","747.98","n/e"," ","709.35"
"01/01/2017 02:00:00 - 01/01/2017 03:00:00","BZN|DK1","741.41","n/e"," ","796.81"
"01/01/2017 03:00:00 - 01/01/2017 04:00:00","BZN|DK1","741.14","n/e"," ","784.36"
"01/01/2017 04:00:00 - 01/01/2017 05:00:00","BZN|DK1","727.45","n/e"," ","771.89"
"01/01/2017 05:00:00 - 01/01/2017 06:00:00","BZN|DK1","553.28","n/e"," ","549.71"
"01/01/2017 06:00:00 - 01/01/2017 07:00:00","BZN|DK1","365.38","n/e"," ","375.65"
"01/01/2017 07:00:00 - 01/01/2017 08:00:00","BZN|DK1","386.93","n/e"," ","436.42"
"01/01/2017 08:00:00 - 01/01/2017 09:00:00","BZN|DK1","373.78","n/e"," ","441.21"
"01/01/2017 09:00:00 - 01/01/2017 10:00:00","BZN|DK1","393.50","n/e"," ","416.67"
"01/01/2017 10:00:00 - 01/01/2017 11:00:00","BZN|DK1","411.92","n/e"," ","409.83"
"01/01/2017 11:00:00 - 01/01/2017 12:00:00","BZN|DK1","436.04","n/e"," ","404.95"
"01/01/2017 12:00:00 - 01/01/2017 13:00:00","BZN|DK1","454.08","n/e"," ","420.15"
"01/01/2017 13:00:00 - 01/01/2017 14:00:00","BZN|DK1","479.21","n/e"," ","399.59"
"01/01/2017 14:00:00 - 01/01/2017 15:00:00","BZN|DK1","484.33","n/e"," ","335.99"
"01/01/2017 15:00:00 - 01/01/2017 16:00:00","BZN|DK1","476.04","n/e"," ","299.36"
"01/01/2017 16:00:00 - 01/01/2017 17:00:00","BZN|DK1","464.21","n/e"," ","296.49"
"01/01/2017 17:00:00 - 01/01/2017 18:00:00","BZN|DK1","450.46","n/e"," ","344.22"
"01/01/2017 18:00:00 - 01/01/2017 19:00:00","BZN|DK1","442.46","n/e"," ","314.72"
"01/01/2017 19:00:00 - 01/01/2017 20:00:00","BZN|DK1","456.00","n/e"," ","337.66"
"01/01/2017 20:00:00 - 01/01/2017 21:00:00","BZN|DK1","502.29","n/e"," ","447.22"
"01/01/2017 21:00:00 - 01/01/2017 22:00:00","BZN|DK1","528.63","n/e"," ","503.41"
"01/01/2017 22:00:00 - 01/01/2017 23:00:00","BZN|DK1","532.54","n/e"," ","543.34"
"01/01/2017 23:00:00 - 02/01/2017 00:00:00","BZN|DK1","531.33","n/e"," ","567.45"
"02/01/2017 00:00:00 - 02/01/2017 01:00:00","BZN|DK1","562.12","n/e"," ","558.14"
"02/01/2017 01:00:00 - 02/01/2017 02:00:00","BZN|DK1","514.29","n/e"," ","498.71"
"02/01/2017 02:00:00 - 02/01/2017 03:00:00","BZN|DK1","499.47","n/e"," ","490.90"
"02/01/2017 03:00:00 - 02/01/2017 04:00:00","BZN|DK1","587.90","n/e"," ","622.60"
"02/01/2017 04:00:00 - 02/01/2017 05:00:00","BZN|DK1","445.10","n/e"," ","428.95"
"02/01/2017 05:00:00 - 02/01/2017 06:00:00","BZN|DK1","481.60","n/e"," ","479.06"
"02/01/2017 06:00:00 - 02/01/2017 07:00:00","BZN|DK1","337.13","n/e"," ","339.81"
"02/01/2017 07:00:00 - 02/01/2017 08:00:00","BZN|DK1","313.57","n/e"," ","362.50"
"02/01/2017 08:00:00 - 02/01/2017 09:00:00","BZN|DK1","326.94","n/e"," ","412.31"
