"MTU (CET/CEST)","Area","Day-ahead (MW)","Intraday (MW)","Current (MW)","Actual (MW)"
"01/01/2022 00:00:00 - 01/01/2022 01:00:00","BZN|DK1","793.08","N/A","863.00","948.25"
"01/01/2022 01:00:00 - 01/01/2022 02:00:00","BZN|DK1","798.79","N/A","927.17","967.19"
"01/01/2022 02:00:00 - 01/01/2022 03:00:00","BZN|DK1","790.17","N/A","920.33","859.31"
"01/01/2022 03:00:00 - 01/01/2022 04:00:00","BZN|DK1","716.33","N/A","729.13","770.51"
"01/01/2022 04:00:00 - 01/01/2022 05:00:00","BZN|DK1","593.67","N/A","727.67","778.71"
"01/01/2022 05:00:00 - 01/01/2022 06:00:00","BZN|DK1","424.17","N/A","656.63","609.95"
"01/01/2022 06:00:00 - 01/01/2022 07:00:00","BZN|DK1","319.42","N/A","502.92","542.75"
"01/01/2022 07:00:00 - 01/01/2022 08:00:00","BZN|DK1","246.38","N/A","418.00","357.15"
"01/01/2022 08:00:00 - 01/01/2022 09:00:00","BZN|DK1","190.50","236.79","236.79","277.60"
"01/01/2022 09:00:00 - 01/01/2022 10:00:00","BZN|DK1","150.63","196.67","195.67","173.52"
"01/01/2022 10:00:00 - 01/01/2022 11:00:00","BZN|DK1","114.08","178.50","112.21","106.53"
"01/01/2022 11:00:00 - 01/01/2022 12:00:00","BZN|DK1","114.88","201.13","123.67","126.11"
"01/01/2022 12:00:00 - 01/01/2022 13:00:00","BZN|DK1","168.50","277.67","228.71","235.63"
"01/01/2022 13:00:00 - 01/01/2022 14:00:00","BZN|DK1","236.79","358.79","337.42","345.14"
"01/01/2022 14:00:00 - 01/01/2022 15:00:00","BZN|DK1","338.79","500.33","488.08","450.01"
"01/01/2022 15:00:00 - 01/01/2022 16:00:00","BZN|DK1","536.13","713.67","680.83","698.25"
"01/01/2022 16:00:00 - 01/01/2022 17:00:00","BZN|DK1","805.33","986.33","1049.21","1195.24"
"01/01/2022 17:00:00 - 01/01/2022 18:00:00","BZN|DK1","1159.25","1335.92","1606.58","1614.92"
"01/01/2022 18:00:00 - 01/01/2022 19:00:00","BZN|DK1","1562.83","1663.17","1989.75","1818.14"
"01/01/2022 19:00:00 - 01/01/2022 20:00:00","BZN|DK1","1797.33","1809.00","1935.88","1859.42"
"01/01/2022 20:00:00 - 01/01/2022 21:00:00","BZN|DK1","1906.17","1854.63","1887.17","1983.09"
"01/01/2022 21:00:00 - 01/01/2022 22:00:00","BZN|DK1","1919.04","1793.75","1950.29","2042.22"
"01/01/2022 22:00:00 - 01/01/2022 23:00:00","BZN|DK1","1884.08","1679.79","2011.54","1975.97"
"01/01/2022 23:00:00 - 02/01/2022 00:00:00","BZN|DK1","1803.17","1572.58","1826.04","1905.28"
"02/01/2022 00:00:00 - 02/01/2022 01:00:00","BZN|DK1","1714.46","N/A","1508.71","1488.04"
"02/01/2022 01:00:00 - 02/01/2022 02:00:00","BZN|DK1","1514.46","N/A","1272.50","1446.30"
"02/01/2022 02:00:00 - 02/01/2022 03:00:00","BZN|DK1","1396.46","N/A","1453.96","1350.20"
"02/01/2022 03:00:00 - 02/01/2022 04:00:00","BZN|DK1","1277.08","N/A","1160.33","1195.42"
"02/01/2022 04:00:00 - 02/01/2022 05:00:00","BZN|DK1","1201.92","N/A","1193.50","1201.99"
"02/01/2022 05:00:00 - 02/01/2022 06:00:00","BZN|DK1","1123.50","N/A","1197.71","1282.70"
