"MTU (CET/CEST)","Area","Day-ahead (MW)","Intraday (MW)","Current (MW)","Actual (MW)"
"01/01/2023 00:00:00 - 01/01/2023 01:00:00","BZN|DK1","74.79","N/A","118.79","186.84"
"01/01/2023 01:00:00 - 01/01/2023 02:00:00","BZN|DK1","146.00","N/A","190.29","350.62"
"01/01/2023 02:00:00 - 01/01/2023 03:00:00","BZN|DK1","328.42","N/A","284.63","314.94"
"01/01/2023 03:00:00 - 01/01/2023 04:00:00","BZN|DK1","376.42","N/A","306.33","302.83"
"01/01/2023 04:00:00 - 01/01/2023 05:00:00","BZN|DK1","428.71","N/A","343.96","213.72"
"01/01/2023 05:00:00 - 01/01/2023 06:00:00","BZN|DK1","716.92","N/A","396.58","43.62"
"01/01/2023 06:00:00 - 01/01/2023 07:00:00","BZN|DK1","784.33","N/A","197.96","69.04"
"01/01/2023 07:00:00 - 01/01/2023 08:00:00","BZN|DK1","867.25","N/A","199.42","139.73"
"01/01/2023 08:00:00 - 01/01/2023 09:00:00","BZN|DK1","955.75","264.04","277.04","247.50"
"01/01/2023 09:00:00 - 01/01/2023 10:00:00","BZN|DK1","963.96","403.04","340.54","589.47"
"01/01/2023 10:00:00 - 01/01/2023 11:00:00","BZN|DK1","1029.46","536.29","593.46","801.97"
"01/01/2023 11:00:00 - 01/01/2023 12:00:00","BZN|DK1","1084.50","678.00","757.46","653.12"
"01/01/2023 12:00:00 - 01/01/2023 13:00:00","BZN|DK1","1066.50","739.21","715.63","750.09"
"01/01/2023 13:00:00 - 01/01/2023 14:00:00","BZN|DK1","1084.58","837.42","749.29","324.34"
"01/01/2023 14:00:00 - 01/01/2023 15:00:00","BZN|DK1","1097.00","961.54","436.08","1106.59"
"01/01/2023 15:00:00 - 01/01/2023 16:00:00","BZN|DK1","1088.13","994.08","1085.38","1165.86"
"01/01/2023 16:00:00 - 01/01/2023 17:00:00","BZN|DK1","1076.17","985.46","1127.25","1143.49"
"01/01/2023 17:00:00 - 01/01/2023 18:00:00","BZN|DK1","1040.71","1011.88","1088.42","1064.26"
"01/01/2023 18:00:00 - 01/01/2023 19:00:00","BZN|DK1","942.96","1002.50","935.17","971.14"
"01/01/2023 19:00:00 - 01/01/2023 20:00:00","BZN|DK1","980.38","946.58","901.13","1026.50"
"01/01/2023 20:00:00 - 01/01/2023 21:00:00","BZN|DK1","1036.38","901.17","956.92","985.56"
"01/01/2023 21:00:00 - 01/01/2023 22:00:00","BZN|DK1","958.21","896.46","851.75","884.57"
"01/01/2023 22:00:00 - 01/01/2023 23:00:00","BZN|DK1","818.67","874.58","877.54","970.06"
"01/01/2023 23:00:00 - 02/01/2023 00:00:00","BZN|DK1","652.38","743.21","852.33","872.47"
"02/01/2023 00:00:00 - 02/01/2023 01:00:00","BZN|DK1","729.42","N/A","749.58","740.47"
"02/01/2023 01:00:00 - 02/01/2023 02:00:00","BZN|DK1","686.13","N/A","606.25","590.84"
"02/01/2023 02:00:00 - 02/01/2023 03:00:00","BZN|DK1","649.88","N/A","463.25","490.02"
"02/01/2023 03:00:00 - 02/01/2023 04:00:00","BZN|DK1","694.33","N/A","399.13","407.96"
"02/01/2023 04:00:00 - 02/01/2023 05:00:00","BZN|DK1","654.71","N/A","305.29","362.82"
"02/01/2023 05:00:00 - 02/01/2023 06:00:00","BZN|DK1","403.00","N/A","275.50","317.79"
"02/01/2023 06:00:00 - 02/01/2023 07:00:00","BZN|DK1","294.13","N/A","192.21","162.77"
"02/01/2023 07:00:00 - 02/01/2023 08:00:00","BZN|DK1","224.42","N/A","79.33","73.47"
"02/01/2023 08:00:00 - 02/01/2023 09:00:00","BZN|DK1","169.04","23.79","22.13","30.45"
"02/01/2023 09:00:00 - 02/01/2023 10:00:00","BZN|DK1","127.92","16.42","8.46","17.73"
"02/01/2023 10:00:00 - 02/01/2023 11:00:00","BZN|DK1","125.88","28.67","45.25","59.17"
"02/01/2023 11:00:00 - 02/01/2023 12:00:00","BZN|DK1","131.75","78.92","48.71","57.20"
"02/01/2023 12:00:00 - 02/01/2023 13:00:00","BZN|DK1","113.46","195.79","113.83","193.98"
"02/01/2023 13:00:00 - 02/01/2023 14:00:00","BZN|DK1","131.29","309.46","350.96","443.51"
"02/01/2023 14:00:00 - 02/01/2023 15:00:00","BZN|DK1","267.46","468.08","559.63","531.32"
"02/01/2023 15:00:00 - 02/01/2023 16:00:00","BZN|DK1","323.33","666.42","605.33","757.84"
"02/01/2023 16:00:00 - 02/01/2023 17:00:00","BZN|DK1","345.33","776.13","818.83","782.86"
