"MTU (CET/CEST)","Area","Day-ahead (MW)","Intraday (MW)","Current (MW)","Actual (MW)"
"01/01/2020 00:00:00 - 01/01/2020 01:00:00","BZN|DK1","813.10","n/e"," ","893.56"
"01/01/2020 01:00:00 - 01/01/2020 02:00:00","BZN|DK1","912.40","n/e"," ","1070.10"
"01/01/2020 02:00:00 - 01/01/2020 03:00:00","BZN|DK1","1032.60","n/e"," ","1273.98"
"01/01/2020 03:00:00 - 01/01/2020 04:00:00","BZN|DK1","1432.80","n/e"," ","1568.97"
"01/01/2020 04:00:00 - 01/01/2020 05:00:00","BZN|DK1","1696.00","n/e"," ","1732.34"
"01/01/2020 05:00:00 - 01/01/2020 06:00:00","BZN|DK1","1839.80","n/e"," ","1852.97"
"01/01/2020 06:00:00 - 01/01/2020 07:00:00","BZN|DK1","1865.90","n/e"," ","1854.42"
"01/01/2020 07:00:00 - 01/01/2020 08:00:00","BZN|DK1","1797.20","n/e"," ","1804.64"
"01/01/2020 08:00:00 - 01/01/2020 09:00:00","BZN|DK1","1754.50","n/e"," ","1919.01"
"01/01/2020 09:00:00 - 01/01/2020 10:00:00","BZN|DK1","1816.40","n/e"," ","2082.55"
"01/01/2020 10:00:00 - 01/01/2020 11:00:00","BZN|DK1","1831.60","n/e"," ","2184.32"
"01/01/2020 11:00:00 - 01/01/2020 12:00:00","BZN|DK1","1940.80","n/e"," ","2328.32"
"01/01/2020 12:00:00 - 01/01/2020 13:00:00","BZN|DK1","1984.00","n/e"," ","2303.73"
"01/01/2020 13:00:00 - 01/01/2020 14:00:00","BZN|DK1","1941.60","n/e"," ","2120.84"
"01/01/2020 14:00:00 - 01/01/2020 15:00:00","BZN|DK1","1832.90","n/e"," ","2043.81"
"01/01/2020 15:00:00 - 01/01/2020 16:00:00","BZN|DK1","1819.00","n/e"," ","2132.27"
"01/01/2020 16:00:00 - 01/01/2020 17:00:00","BZN|DK1","1776.10","n/e"," ","2175.60"
"01/01/2020 17:00:00 - 01/01/2020 18:00:00","BZN|DK1","1754.20","n/e"," ","2142.62"
"01/01/2020 18:00:00 - 01/01/2020 19:00:00","BZN|DK1","1713.10","n/e"," ","2078.44"
"01/01/2020 19:00:00 - 01/01/2020 20:00:00","BZN|DK1","1644.90","n/e"," ","2017.64"
"01/01/2020 20:00:00 - 01/01/2020 21:00:00","BZN|DK1","1642.70","n/e"," ","1912.59"
"01/01/2020 21:00:00 - 01/01/2020 22:00:00","BZN|DK1","1666.00","n/e"," ","1871.17"
"01/01/2020 22:00:00 - 01/01/2020 23:00:00","BZN|DK1","1695.30","n/e"," ","1983.98"
"01/01/2020 23:00:00 - 02/01/2020 00:00:00","BZN|DK1","1748.10","n/e"," ","2057.96"
"02/01/2020 00:00:00 - 02/01/2020 01:00:00","BZN|DK1","2000.20","n/e"," ","2031.92"
"02/01/2020 01:00:00 - 02/01/2020 02:00:00","BZN|DK1","1906.90","n/e"," ","1917.96"
