"MTU (CET/CEST)","Area","Day-ahead (MW)","Intraday (MW)","Current (MW)","Actual (MW)"
"03/01/2016 03:00:00 - 03/01/2016 04:00:00","BZN|DK1","719.00","n/e"," ","718.95"
"03/01/2016 04:00:00 - 03/01/2016 05:00:00","BZN|DK1","719.00","n/e"," ","725.58"
"03/01/2016 05:00:00 - 03/01/2016 06:00:00","BZN|DK1","719.00","n/e"," ","724.65"
"03/01/2016 06:00:00 - 03/01/2016 07:00:00","BZN|DK1","719.00","n/e"," ","729.50"
"03/01/2016 07:00:00 - 03/01/2016 08:00:00","BZN|DK1","719.00","n/e"," ","730.75"
"03/01/2016 08:00:00 - 03/01/2016 09:00:00","BZN|DK1","689.29","n/e"," ","670.84"
"03/01/2016 09:00:00 - 03/01/2016 10:00:00","BZN|DK1","688.00","n/e"," ","697.26"
"03/01/2016 10:00:00 - 03/01/2016 11:00:00","BZN|DK1","688.00","n/e"," ","640.59"
"03/01/2016 11:00:00 - 03/01/2016 12:00:00","BZN|DK1","685.79","n/e"," ","650.07"
"03/01/2016 12:00:00 - 03/01/2016 13:00:00","BZN|DK1","676.13","n/e"," ","731.97"
"03/01/2016 13:00:00 - 03/01/2016 14:00:00","BZN|DK1","674.88","n/e"," ","732.27"
"03/01/2016 14:00:00 - 03/01/2016 15:00:00","BZN|DK1","679.04","n/e"," ","738.11"
"03/01/2016 15:00:00 - 03/01/2016 16:00:00","BZN|DK1","680.33","n/e"," ","627.37"
"03/01/2016 16:00:00 - 03/01/2016 17:00:00","BZN|DK1","679.96","n/e"," ","629.79"
"03/01/2016 17:00:00 - 03/01/2016 18:00:00","BZN|DK1","678.63","n/e"," ","626.48"
"03/01/2016 18:00:00 - 03/01/2016 19:00:00","BZN|DK1","676.83","n/e"," ","616.77"
"03/01/2016 19:00:00 - 03/01/2016 20:00:00","BZN|DK1","676.00","n/e"," ","613.21"
"03/01/2016 20:00:00 - 03/01/2016 21:00:00","BZN|DK1","676.00","n/e"," ","600.84"
"03/01/2016 21:00:00 - 03/01/2016 22:00:00","BZN|DK1","675.21","n/e"," ","628.83"
"03/01/2016 22:00:00 - 03/01/2016 23:00:00","BZN|DK1","674.46","n/e"," ","636.94"
"03/01/2016 23:00:00 - 04/01/2016 00:00:00","BZN|DK1","673.46","n/e"," ","722.69"
"04/01/2016 00:00:00 - 04/01/2016 01:00:00","BZN|DK1","540.00","n/e"," ","738.91"
"04/01/2016 01:00:00 - 04/01/2016 02:00:00","BZN|DK1","540.79","n/e"," ","739.19"
"04/01/2016 02:00:00 - 04/01/2016 03:00:00","BZN|DK1","541.00","n/e"," ","738.93"
"04/01/2016 03:00:00 - 04/01/2016 04:00:00","BZN|DK1","541.00","n/e"," ","738.07"
"04/01/2016 04:00:00 - 04/01/2016 05:00:00","BZN|DK1","541.00","n/e"," ","735.33"
"04/01/2016 05:00:00 - 04/01/2016 06:00:00","BZN|DK1","541.00","n/e"," ","737.05"
"04/01/2016 06:00:00 - 04/01/2016 07:00:00","BZN|DK1","541.00","n/e"," ","732.32"
"04/01/2016 07:00:00 - 04/01/2016 08:00:00","BZN|DK1","541.00","n/e"," ","645.71"
"04/01/2016 08:00:00 - 04/01/2016 09:00:00","BZN|DK1","541.00","n/e"," ","735.70"
"04/01/2016 09:00:00 - 04/01/2016 10:00:00","BZN|DK1","541.00","n/e"," ","733.82"
"04/01/2016 10:00:00 - 04/01/2016 11:00:00","BZN|DK1","541.00","n/e"," ","735.25"
"04/01/2016 11:00:00 - 04/01/2016 12:00:00","BZN|DK1","539.75","n/e"," ","736.59"
"04/01/2016 12:00:00 - 04/01/2016 13:00:00","BZN|DK1","534.17","n/e"," ","737.58"
"04/01/2016 13:00:00 - 04/01/2016 14:00:00","BZN|DK1","533.29","n/e"," ","735.66"
"04/01/2016 14:00:00 - 04/01/2016 15:00:00","BZN|DK1","535.88","n/e"," ","736.10"
"04/01/2016 15:00:00 - 04/01/2016 16:00:00","BZN|DK1","536.46","n/e"," ","734.92"
"04/01/2016 16:00:00 - 04/01/2016 17:00:00","BZN|DK1","536.00","n/e"," ","732.00"
"04/01/2016 17:00:00 - 04/01/2016 18:00:00","BZN|DK1","535.38","n/e"," ","728.92"
"04/01/2016 18:00:00 - 04/01/2016 19:00:00","BZN|DK1","533.75","n/e"," ","726.96"
"04/01/2016 19:00:00 - 04/01/2016 20:00:00","BZN|DK1","531.67","n/e"," ","649.30"
"04/01/2016 20:00:00 - 04/01/2016 21:00:00","BZN|DK1","529.54","n/e"," ","728.46"
"04/01/2016 21:00:00 - 04/01/2016 22:00:00","BZN|DK1","527.17","n/e"," ","728.06"
"04/01/2016 22:00:00 - 04/01/2016 23:00:00","BZN|DK1","525.00","n/e"," ","727.09"
"04/01/2016 23:00:00 - 05/01/2016 00:00:00","BZN|DK1","523.25","n/e"," ","722.10"
"05/01/2016 00:00:00 - 05/01/2016 01:00:00","BZN|DK1","662.04","n/e"," ","724.07"
"05/01/2016 01:00:00 - 05/01/2016 02:00:00","BZN|DK1","662.00","n/e"," ","721.29"
"05/01/2016 02:00:00 - 05/01/2016 03:00:00","BZN|DK1","662.00","n/e"," ","718.85"
"05/01/2016 03:00:00 - 05/01/2016 04:00:00","BZN|DK1","662.00","n/e"," ","719.78"
"05/01/2016 04:00:00 - 05/01/2016 05:00:00","BZN|DK1","661.38","n/e"," ","714.39"
"05/01/2016 05:00:00 - 05/01/2016 06:00:00","BZN|DK1","661.00","n/e"," ","623.53"
"05/01/2016 06:00:00 - 05/01/2016 07:00:00","BZN|DK1","661.00","n/e"," ","628.89"
"05/01/2016 07:00:00 - 05/01/2016 08:00:00","BZN|DK1","661.21","n/e"," ","718.73"
"05/01/2016 08:00:00 - 05/01/2016 09:00:00","BZN|DK1","662.00","n/e"," ","710.19"
"05/01/2016 09:00:00 - 05/01/2016 10:00:00","BZN|DK1","662.00","n/e"," ","710.81"
"05/01/2016 10:00:00 - 05/01/2016 11:00:00","BZN|DK1","662.00","n/e"," ","718.41"
"05/01/2016 11:00:00 - 05/01/2016 12:00:00","BZN|DK1","661.42","n/e"," ","658.76"
"05/01/2016 12:00:00 - 05/01/2016 13:00:00","BZN|DK1","658.54","n/e"," ","609.12"
"05/01/2016 13:00:00 - 05/01/2016 14:00:00","BZN|DK1","657.04","n/e"," ","697.34"
"05/01/2016 14:00:00 - 05/01/2016 15:00:00","BZN|DK1","656.00","n/e"," ","695.43"
"05/01/2016 15:00:00 - 05/01/2016 16:00:00","BZN|DK1","655.29","n/e"," ","692.58"
"05/01/2016 16:00:00 - 05/01/2016 17:00:00","BZN|DK1","679.54","n/e"," ","673.86"
"05/01/2016 17:00:00 - 05/01/2016 18:00:00","BZN|DK1","687.54","n/e"," ","699.34"
"05/01/2016 18:00:00 - 05/01/2016 19:00:00","BZN|DK1","726.79","n/e"," ","704.94"
"05/01/2016 19:00:00 - 05/01/2016 20:00:00","BZN|DK1","725.92","n/e"," ","720.57"
"05/01/2016 20:00:00 - 05/01/2016 21:00:00","BZN|DK1","720.13","n/e"," ","707.29"
"05/01/2016 21:00:00 - 05/01/2016 22:00:00","BZN|DK1","713.38","n/e"," ","646.82"
"05/01/2016 22:00:00 - 05/01/2016 23:00:00","BZN|DK1","705.63","n/e"," ","554.04"
"05/01/2016 23:00:00 - 06/01/2016 00:00:00","BZN|DK1","696.29","n/e"," ","476.09"
"06/01/2016 00:00:00 - 06/01/2016 01:00:00","BZN|DK1","468.58","n/e"," ","443.25"
"06/01/2016 01:00:00 - 06/01/2016 02:00:00","BZN|DK1","482.46","n/e"," ","454.60"
"06/01/2016 02:00:00 - 06/01/2016 03:00:00","BZN|DK1","515.96","n/e"," ","428.34"
"06/01/2016 03:00:00 - 06/01/2016 04:00:00","BZN|DK1","546.17","n/e"," ","463.64"
"06/01/2016 04:00:00 - 06/01/2016 05:00:00","BZN|DK1","567.00","n/e"," ","482.01"
"06/01/2016 05:00:00 - 06/01/2016 06:00:00","BZN|DK1","555.88","n/e"," ","489.97"
"06/01/2016 06:00:00 - 06/01/2016 07:00:00","BZN|DK1","537.75","n/e"," ","538.69"
"06/01/2016 07:00:00 - 06/01/2016 08:00:00","BZN|DK1","542.33","n/e"," ","552.51"
"06/01/2016 08:00:00 - 06/01/2016 09:00:00","BZN|DK1","556.25","n/e"," ","465.58"
"06/01/2016 09:00:00 - 06/01/2016 10:00:00","BZN|DK1","560.92","n/e"," ","491.11"
"06/01/2016 10:00:00 - 06/01/2016 11:00:00","BZN|DK1","552.79","n/e"," ","472.05"
"06/01/2016 11:00:00 - 06/01/2016 12:00:00","BZN|DK1","535.67","n/e"," ","480.32"
"06/01/2016 12:00:00 - 06/01/2016 13:00:00","BZN|DK1","521.75","n/e"," ","479.54"
"06/01/2016 13:00:00 - 06/01/2016 14:00:00","BZN|DK1","527.42","n/e"," ","491.37"
"06/01/2016 14:00:00 - 06/01/2016 15:00:00","BZN|DK1","542.21","n/e"," ","472.16"
"06/01/2016 15:00:00 - 06/01/2016 16:00:00","BZN|DK1","557.13","n/e"," ","512.55"
"06/01/2016 16:00:00 - 06/01/2016 17:00:00","BZN|DK1","585.54","n/e"," ","595.54"
"06/01/2016 17:00:00 - 06/01/2016 18:00:00","BZN|DK1","609.58","n/e"," ","651.80"
"06/01/2016 18:00:00 - 06/01/2016 19:00:00","BZN|DK1","634.96","n/e"," ","694.10"
