"MTU (CET/CEST)","Area","Day-ahead (MW)","Intraday (MW)","Current (MW)","Actual (MW)"
"01/01/2021 00:00:00 - 01/01/2021 01:00:00","BZN|DK1","95.79","N/A","86.13","118.85"
"01/01/2021 01:00:00 - 01/01/2021 02:00:00","BZN|DK1","83.96","N/A","70.83","109.99"
"01/01/2021 02:00:00 - 01/01/2021 03:00:00","BZN|DK1","69.75","N/A","54.79","81.61"
"01/01/2021 03:00:00 - 01/01/2021 04:00:00","BZN|DK1","61.04","N/A","36.63","65.13"
"01/01/2021 04:00:00 - 01/01/2021 05:00:00","BZN|DK1","54.04","N/A","30.58","56.24"
"01/01/2021 05:00:00 - 01/01/2021 06:00:00","BZN|DK1","43.33","N/A","27.46","49.89"
"01/01/2021 06:00:00 - 01/01/2021 07:00:00","BZN|DK1","36.88","N/A","20.00","47.84"
"01/01/2021 07:00:00 - 01/01/2021 08:00:00","BZN|DK1","36.50","N/A","23.75","50.07"
"01/01/2021 08:00:00 - 01/01/2021 09:00:00","BZN|DK1","41.00","23.33","23.33","47.12"
"01/01/2021 09:00:00 - 01/01/2021 10:00:00","BZN|DK1","52.33","36.63","24.38","45.03"
"01/01/2021 10:00:00 - 01/01/2021 11:00:00","BZN|DK1","61.38","48.75","27.08","43.11"
"01/01/2021 11:00:00 - 01/01/2021 12:00:00","BZN|DK1","68.13","53.54","23.08","40.44"
"01/01/2021 12:00:00 - 01/01/2021 13:00:00","BZN|DK1","66.67","53.79","19.29","37.22"
"01/01/2021 13:00:00 - 01/01/2021 14:00:00","BZN|DK1","60.38","54.25","12.21","35.87"
"01/01/2021 14:00:00 - 01/01/2021 15:00:00","BZN|DK1","61.92","56.08","13.63","36.37"
"01/01/2021 15:00:00 - 01/01/2021 16:00:00","BZN|DK1","69.33","59.17","15.46","36.24"
"01/01/2021 16:00:00 - 01/01/2021 17:00:00","BZN|DK1","78.71","62.96","20.92","38.56"
"01/01/2021 17:00:00 - 01/01/2021 18:00:00","BZN|DK1","76.29","65.79","23.21","48.40"
"01/01/2021 18:00:00 - 01/01/2021 19:00:00","BZN|DK1","67.71","55.13","35.96","55.65"
"01/01/2021 19:00:00 - 01/01/2021 20:00:00","BZN|DK1","66.13","40.67","44.08","54.98"
"01/01/2021 20:00:00 - 01/01/2021 21:00:00","BZN|DK1","63.75","37.58","31.08","47.43"
"01/01/2021 21:00:00 - 01/01/2021 22:00:00","BZN|DK1","53.25","33.54","31.46","38.55"
"01/01/2021 22:00:00 - 01/01/2021 23:00:00","BZN|DK1","44.25","26.83","18.08","38.48"
"01/01/2021 23:00:00 - 02/01/2021 00:00:00","BZN|DK1","39.25","19.83","18.29","36.47"
"02/01/2021 00:00:00 - 02/01/2021 01:00:00","BZN|DK1","74.46","N/A","13.08","41.50"
"02/01/2021 01:00:00 - 02/01/2021 02:00:00","BZN|DK1","76.33","N/A","22.71","43.89"
"02/01/2021 02:00:00 - 02/01/2021 03:00:00","BZN|DK1","77.21","N/A","25.92","40.22"
"02/01/2021 03:00:00 - 02/01/2021 04:00:00","BZN|DK1","76.42","N/A","18.13","41.44"
"02/01/2021 04:00:00 - 02/01/2021 05:00:00","BZN|DK1","64.38","N/A","22.58","43.51"
"02/01/2021 05:00:00 - 02/01/2021 06:00:00","BZN|DK1","47.58","N/A","19.29","41.87"
"02/01/2021 06:00:00 - 02/01/2021 07:00:00","BZN|DK1","43.58","N/A","18.63","38.42"
"02/01/2021 07:00:00 - 02/01/2021 08:00:00","BZN|DK1","44.54","N/A","20.58","42.93"
"02/01/2021 08:00:00 - 02/01/2021 09:00:00","BZN|DK1","43.00","28.29","28.29","41.25"
"02/01/2021 09:00:00 - 02/01/2021 10:00:00","BZN|DK1","44.17","37.79","23.33","39.70"
"02/01/2021 10:00:00 - 02/01/2021 11:00:00","BZN|DK1","45.50","38.13","17.54","38.40"
"02/01/2021 11:00:00 - 02/01/2021 12:00:00","BZN|DK1","48.13","40.58","21.13","42.35"
"02/01/2021 12:00:00 - 02/01/2021 13:00:00","BZN|DK1","48.96","47.08","28.13","43.03"
"02/01/2021 13:00:00 - 02/01/2021 14:00:00","BZN|DK1","42.71","56.63","28.71","49.24"
"02/01/2021 14:00:00 - 02/01/2021 15:00:00","BZN|DK1","49.92","70.67","37.83","43.35"
"02/01/2021 15:00:00 - 02/01/2021 16:00:00","BZN|DK1","57.46","81.04","40.00","54.09"
"02/01/2021 16:00:00 - 02/01/2021 17:00:00","BZN|DK1","72.50","106.13","54.46","73.48"
"02/01/2021 17:00:00 - 02/01/2021 18:00:00","BZN|DK1","90.21","124.29","70.88","111.59"
"02/01/2021 18:00:00 - 02/01/2021 19:00:00","BZN|DK1","101.83","128.63","119.42","148.68"
"02/01/2021 19:00:00 - 02/01/2021 20:00:00","BZN|DK1","120.50","142.79","154.67","189.84"
"02/01/2021 20:00:00 - 02/01/2021 21:00:00","BZN|DK1","127.96","155.29","188.13","233.32"
"02/01/2021 21:00:00 - 02/01/2021 22:00:00","BZN|DK1","131.54","154.79","248.13","264.77"
"02/01/2021 22:00:00 - 02/01/2021 23:00:00","BZN|DK1","150.17","159.71","254.79","254.78"
"02/01/2021 23:00:00 - 03/01/2021 00:00:00","BZN|DK1","169.13","177.58","221.92","266.48"
"03/01/2021 00:00:00 - 03/01/2021 01:00:00","BZN|DK1","248.54","N/A","289.29","297.72"
"03/01/2021 01:00:00 - 03/01/2021 02:00:00","BZN|DK1","293.67","N/A","321.29","322.13"
"03/01/2021 02:00:00 - 03/01/2021 03:00:00","BZN|DK1","349.21","N/A","366.58","408.45"
"03/01/2021 03:00:00 - 03/01/2021 04:00:00","BZN|DK1","382.75","N/A","447.33","473.42"
"03/01/2021 04:00:00 - 03/01/2021 05:00:00","BZN|DK1","432.33","N/A","509.38","541.21"
"03/01/2021 05:00:00 - 03/01/2021 06:00:00","BZN|DK1","510.67","N/A","455.75","417.38"
"03/01/2021 06:00:00 - 03/01/2021 07:00:00","BZN|DK1","580.50","N/A","480.58","515.93"
"03/01/2021 07:00:00 - 03/01/2021 08:00:00","BZN|DK1","607.25","N/A","391.00","444.89"
"03/01/2021 08:00:00 - 03/01/2021 09:00:00","BZN|DK1","678.54","414.46","414.46","505.63"
"03/01/2021 09:00:00 - 03/01/2021 10:00:00","BZN|DK1","761.71","773.75","503.71","567.80"
"03/01/2021 10:00:00 - 03/01/2021 11:00:00","BZN|DK1","814.42","834.04","558.79","631.32"
"03/01/2021 11:00:00 - 03/01/2021 12:00:00","BZN|DK1","902.79","924.83","747.08","800.28"
"03/01/2021 12:00:00 - 03/01/2021 13:00:00","BZN|DK1","935.92","943.75","636.08","774.05"
"03/01/2021 13:00:00 - 03/01/2021 14:00:00","BZN|DK1","1012.33","1020.88","555.04","808.29"
"03/01/2021 14:00:00 - 03/01/2021 15:00:00","BZN|DK1","1062.33","1073.71","769.63","820.30"
"03/01/2021 15:00:00 - 03/01/2021 16:00:00","BZN|DK1","1125.00","1133.83","747.25","860.45"
"03/01/2021 16:00:00 - 03/01/2021 17:00:00","BZN|DK1","1268.46","1249.42","849.71","903.07"
"03/01/2021 17:00:00 - 03/01/2021 18:00:00","BZN|DK1","1264.71","1240.21","885.17","956.10"
"03/01/2021 18:00:00 - 03/01/2021 19:00:00","BZN|DK1","1227.46","1194.92","1321.50","1262.96"
"03/01/2021 19:00:00 - 03/01/2021 20:00:00","BZN|DK1","1197.25","1161.33","785.83","949.84"
"03/01/2021 20:00:00 - 03/01/2021 21:00:00","BZN|DK1","1169.88","1165.08","906.13","932.59"
"03/01/2021 21:00:00 - 03/01/2021 22:00:00","BZN|DK1","1127.54","1103.63","859.25","891.09"
"03/01/2021 22:00:00 - 03/01/2021 23:00:00","BZN|DK1","1061.79","1000.00","811.88","892.35"
"03/01/2021 23:00:00 - 04/01/2021 00:00:00","BZN|DK1","1039.13","977.17","831.67","847.06"
"04/01/2021 00:00:00 - 04/01/2021 01:00:00","BZN|DK1","1040.46","N/A","888.83","869.68"
"04/01/2021 01:00:00 - 04/01/2021 02:00:00","BZN|DK1","1042.38","N/A","817.13","899.41"
"04/01/2021 02:00:00 - 04/01/2021 03:00:00","BZN|DK1","1006.46","N/A","909.33","912.40"
"04/01/2021 03:00:00 - 04/01/2021 04:00:00","BZN|DK1","962.46","N/A","741.08","834.45"
"04/01/2021 04:00:00 - 04/01/2021 05:00:00","BZN|DK1","961.04","N/A","756.75","817.92"
"04/01/2021 05:00:00 - 04/01/2021 06:00:00","BZN|DK1","948.42","N/A","763.46","825.03"
"04/01/2021 06:00:00 - 04/01/2021 07:00:00","BZN|DK1","980.17","N/A","781.92","871.49"
"04/01/2021 07:00:00 - 04/01/2021 08:00:00","BZN|DK1","990.21","N/A","806.50","912.70"
"04/01/2021 08:00:00 - 04/01/2021 09:00:00","BZN|DK1","994.25","903.21","903.21","947.80"
"04/01/2021 09:00:00 - 04/01/2021 10:00:00","BZN|DK1","1006.50","1222.50","1054.42","1000.49"
"04/01/2021 10:00:00 - 04/01/2021 11:00:00","BZN|DK1","1011.79","1217.00","1036.50","1267.65"
"04/01/2021 11:00:00 - 04/01/2021 12:00:00","BZN|DK1","1010.75","1204.88","903.46","904.17"
"04/01/2021 12:00:00 - 04/01/2021 13:00:00","BZN|DK1","939.17","1136.67","926.13","1047.51"
"04/01/2021 13:00:00 - 04/01/2021 14:00:00","BZN|DK1","932.54","1135.00","1009.79","1185.82"
"04/01/2021 14:00:00 - 04/01/2021 15:00:00","BZN|DK1","913.25","1130.21","1116.58","1085.48"
"04/01/2021 15:00:00 - 04/01/2021 16:00:00","BZN|DK1","904.58","1127.29","985.29","1077.46"
"04/01/2021 16:00:00 - 04/01/2021 17:00:00","BZN|DK1","981.38","1181.96","1109.17","1138.90"
"04/01/2021 17:00:00 - 04/01/2021 18:00:00","BZN|DK1","965.88","1157.71","1100.25","1199.38"
"04/01/2021 18:00:00 - 04/01/2021 19:00:00","BZN|DK1","950.33","1109.63","1141.42","1283.19"
"04/01/2021 19:00:00 - 04/01/2021 20:00:00","BZN|DK1","963.29","1066.21","1059.71","1120.65"
"04/01/2021 20:00:00 - 04/01/2021 21:00:00","BZN|DK1","1001.17","1089.96","1032.75","1129.41"
"04/01/2021 21:00:00 - 04/01/2021 22:00:00","BZN|DK1","1030.33","1089.50","1013.92","1074.05"
"04/01/2021 22:00:00 - 04/01/2021 23:00:00","BZN|DK1","1014.75","1059.17","844.21","1002.41"
"04/01/2021 23:00:00 - 05/01/2021 00:00:00","BZN|DK1","1006.46","1044.96","1000.00","1066.79"
"05/01/2021 00:00:00 - 05/01/2021 01:00:00","BZN|DK1","1060.63","N/A","1239.46","1264.86"
"05/01/2021 01:00:00 - 05/01/2021 02:00:00","BZN|DK1","1088.54","N/A","1253.46","1267.64"
"05/01/2021 02:00:00 - 05/01/2021 03:00:00","BZN|DK1","1085.33","N/A","1134.54","1174.32"
"05/01/2021 03:00:00 - 05/01/2021 04:00:00","BZN|DK1","1013.00","N/A","1032.38","1126.60"
"05/01/2021 04:00:00 - 05/01/2021 05:00:00","BZN|DK1","994.67","N/A","1077.46","1171.05"
"05/01/2021 05:00:00 - 05/01/2021 06:00:00","BZN|DK1","1002.71","N/A","1032.33","1118.12"
"05/01/2021 06:00:00 - 05/01/2021 07:00:00","BZN|DK1","1032.63","N/A","1092.08","1103.42"
"05/01/2021 07:00:00 - 05/01/2021 08:00:00","BZN|DK1","1023.63","N/A","1122.83","1174.83"
"05/01/2021 08:00:00 - 05/01/2021 09:00:00","BZN|DK1","1013.63","1098.17","1098.17","1140.00"
"05/01/2021 09:00:00 - 05/01/2021 10:00:00","BZN|DK1","976.29","1062.79","1071.46","1112.42"
"05/01/2021 10:00:00 - 05/01/2021 11:00:00","BZN|DK1","978.13","1051.29","1028.25","1069.54"
"05/01/2021 11:00:00 - 05/01/2021 12:00:00","BZN|DK1","1007.21","1068.17","1042.75","1120.26"
"05/01/2021 12:00:00 - 05/01/2021 13:00:00","BZN|DK1","985.08","1035.58","1060.42","1173.26"
"05/01/2021 13:00:00 - 05/01/2021 14:00:00","BZN|DK1","1000.42","1038.00","1095.25","1204.29"
"05/01/2021 14:00:00 - 05/01/2021 15:00:00","BZN|DK1","1000.67","1032.38","1150.25","1170.95"
"05/01/2021 15:00:00 - 05/01/2021 16:00:00","BZN|DK1","982.33","1022.04","1105.29","1155.27"
"05/01/2021 16:00:00 - 05/01/2021 17:00:00","BZN|DK1","1050.79","1062.75","1142.25","1109.27"
