"MTU (CET/CEST)","Area","Actual Total Load (MW)","Day-ahead Total Load Forecast (MW)"
"01/01/2016 00:00 - 01/01/2016 01:00","BZN|DK1","1817.74","1810.60"
"01/01/2016 01:00 - 01/01/2016 02:00","BZN|DK1","1740.37","1764.80"
"01/01/2016 02:00 - 01/01/2016 03:00","BZN|DK1","1657.54","1669.30"
"01/01/2016 03:00 - 01/01/2016 04:00","BZN|DK1","1592.20","1596.60"
"01/01/2016 04:00 - 01/01/2016 05:00","BZN|DK1","1547.87","1552.50"
"01/01/2016 05:00 - 01/01/2016 06:00","BZN|DK1","1552.15","1560.10"
"01/01/2016 06:00 - 01/01/2016 07:00","BZN|DK1","1602.59","1643.80"
"01/01/2016 07:00 - 01/01/2016 08:00","BZN|DK1","1661.06","1694.30"
"01/01/2016 08:00 - 01/01/2016 09:00","BZN|DK1","1730.03","1698.00"
"01/01/2016 09:00 - 01/01/2016 10:00","BZN|DK1","1808.86","1801.00"
"01/01/2016 10:00 - 01/01/2016 11:00","BZN|DK1","1921.28","1936.80"
"01/01/2016 11:00 - 01/01/2016 12:00","BZN|DK1","2009.92","1985.50"
"01/01/2016 12:00 - 01/01/2016 13:00","BZN|DK1","2041.36","2008.60"
"01/01/2016 13:00 - 01/01/2016 14:00","BZN|DK1","2044.39","2027.40"
"01/01/2016 14:00 - 01/01/2016 15:00","BZN|DK1","2043.68","2048.50"
"01/01/2016 15:00 - 01/01/2016 16:00","BZN|DK1","2088.70","2095.30"
"01/01/2016 16:00 - 01/01/2016 17:00","BZN|DK1","2309.23","2299.00"
"01/01/2016 17:00 - 01/01/2016 18:00","BZN|DK1","2433.04","2478.60"
"01/01/2016 18:00 - 01/01/2016 19:00","BZN|DK1","2481.20","2442.30"
"01/01/2016 19:00 - 01/01/2016 20:00","BZN|DK1","2336.14","2328.80"
"01/01/2016 20:00 - 01/01/2016 21:00","BZN|DK1","2148.32","2180.30"
"01/01/2016 21:00 - 01/01/2016 22:00","BZN|DK1","2000.79","2026.40"
"01/01/2016 22:00 - 01/01/2016 23:00","BZN|DK1","1858.40","1869.30"
"01/01/2016 23:00 - 02/01/2016 00:00","BZN|DK1","1712.35","1751.00"
"02/01/2016 00:00 - 02/01/2016 01:00","BZN|DK1","1616.89","1643.40"
"02/01/2016 01:00 - 02/01/2016 02:00","BZN|DK1","1510.37","1555.80"
"02/01/2016 02:00 - 02/01/2016 03:00","BZN|DK1","1464.67","1494.50"
"02/01/2016 03:00 - 02/01/2016 04:00","BZN|DK1","1457.83","1486.20"
"02/01/2016 04:00 - 02/01/2016 05:00","BZN|DK1","1472.27","1508.50"
"02/01/2016 05:00 - 02/01/2016 06:00","BZN|DK1","1576.05","1588.50"
"02/01/2016 06:00 - 02/01/2016 07:00","BZN|DK1","1688.47","1716.10"
"02/01/2016 07:00 - 02/01/2016 08:00","BZN|DK1","1885.79","1894.30"
"02/01/2016 08:00 - 02/01/2016 09:00","BZN|DK1","2023.59","2063.10"
"02/01/2016 09:00 - 02/01/2016 10:00","BZN|DK1","2156.65","2163.80"
"02/01/2016 10:00 - 02/01/2016 11:00","BZN|DK1","2284.16","2258.80"
"02/01/2016 11:00 - 02/01/2016 12:00","BZN|DK1","2325.39","2303.00"
"02/01/2016 12:00 - 02/01/2016 13:00","BZN|DK1","2253.96","2268.10"
"02/01/2016 13:00 - 02/01/2016 14:00","BZN|DK1","2297.89","2207.90"
"02/01/2016 14:00 - 02/01/2016 15:00","BZN|DK1","2291.63","2234.00"
"02/01/2016 15:00 - 02/01/2016 16:00","BZN|DK1","2265.19","2283.30"
"02/01/2016 16:00 - 02/01/2016 17:00","BZN|DK1","2466.36","2472.00"
"02/01/2016 17:00 - 02/01/2016 18:00","BZN|DK1","2702.71","2712.20"
"02/01/2016 18:00 - 02/01/2016 19:00","BZN|DK1","2649.54","2643.80"
"02/01/2016 19:00 - 02/01/2016 20:00","BZN|DK1","2432.61","2415.90"
"02/01/2016 20:00 - 02/01/2016 21:00","BZN|DK1","2264.25","2258.60"
"02/01/2016 21:00 - 02/01/2016 22:00","BZN|DK1","2092.69","2099.00"
"02/01/2016 22:00 - 02/01/2016 23:00","BZN|DK1","2026.48","1957.90"
"02/01/2016 23:00 - 03/01/2016 00:00","BZN|DK1","1819.37","1822.60"
"03/01/2016 00:00 - 03/01/2016 01:00","BZN|DK1","1723.75","1723.00"
"03/01/2016 01:00 - 03/01/2016 02:00","BZN|DK1","1667.60","1666.50"
"03/01/2016 02:00 - 03/01/2016 03:00","BZN|DK1","1668.24","1646.80"
"03/01/2016 03:00 - 03/01/2016 04:00","BZN|DK1","1617.71","1627.40"
"03/01/2016 04:00 - 03/01/2016 05:00","BZN|DK1","1642.62","1636.00"
"03/01/2016 05:00 - 03/01/2016 06:00","BZN|DK1","1670.62","1669.30"
"03/01/2016 06:00 - 03/01/2016 07:00","BZN|DK1","1811.33","1782.50"
"03/01/2016 07:00 - 03/01/2016 08:00","BZN|DK1","1983.72","1961.30"
"03/01/2016 08:00 - 03/01/2016 09:00","BZN|DK1","2178.76","2158.10"
"03/01/2016 09:00 - 03/01/2016 10:00","BZN|DK1","2198.19","2251.40"
"03/01/2016 10:00 - 03/01/2016 11:00","BZN|DK1","2344.31","2298.60"
"03/01/2016 11:00 - 03/01/2016 12:00","BZN|DK1","2374.92","2365.20"
"03/01/2016 12:00 - 03/01/2016 13:00","BZN|DK1","2296.98","2327.10"
"03/01/2016 13:00 - 03/01/2016 14:00","BZN|DK1","2300.57","2268.10"
"03/01/2016 14:00 - 03/01/2016 15:00","BZN|DK1","2324.68","2316.10"
"03/01/2016 15:00 - 03/01/2016 16:00","BZN|DK1","2373.00","2351.00"
"03/01/2016 16:00 - 03/01/2016 17:00","BZN|DK1","2604.14","2599.30"
"03/01/2016 17:00 - 03/01/2016 18:00","BZN|DK1","2893.05","2901.50"
"03/01/2016 18:00 - 03/01/2016 19:00","BZN|DK1","2798.54","2797.10"
"03/01/2016 19:00 - 03/01/2016 20:00","BZN|DK1","2619.33","2618.10"
"03/01/2016 20:00 - 03/01/2016 21:00","BZN|DK1","2449.62","2405.10"
"03/01/2016 21:00 - 03/01/2016 22:00","BZN|DK1","2299.41","2268.50"
"03/01/2016 22:00 - 03/01/2016 23:00","BZN|DK1","2124.05","2115.10"
"03/01/2016 23:00 - 04/01/2016 00:00","BZN|DK1","2001.68","1949.00"
"04/01/2016 00:00 - 04/01/2016 01:00","BZN|DK1","1843.30","1859.70"
"04/01/2016 01:00 - 04/01/2016 02:00","BZN|DK1","1801.55","1777.00"
"04/01/2016 02:00 - 04/01/2016 03:00","BZN|DK1","1790.25","1785.20"
"04/01/2016 03:00 - 04/01/2016 04:00","BZN|DK1","1826.08","1803.40"
"04/01/2016 04:00 - 04/01/2016 05:00","BZN|DK1","1906.45","1877.80"
"04/01/2016 05:00 - 04/01/2016 06:00","BZN|DK1","2055.60","2064.70"
"04/01/2016 06:00 - 04/01/2016 07:00","BZN|DK1","2433.82","2479.80"
