"MTU (CET/CEST)","Area","Actual Total Load (MW)","Day-ahead Total Load Forecast (MW)"
"01/01/2024 00:00 - 01/01/2024 01:00","BZN|DK1","2289.00","2243.00"
"01/01/2024 01:00 - 01/01/2024 02:00","BZN|DK1","2241.74","2228.00"
"01/01/2024 02:00 - 01/01/2024 03:00","BZN|DK1","2210.01","2175.00"
"01/01/2024 03:00 - 01/01/2024 04:00","BZN|DK1","2271.26","2177.00"
"01/01/2024 04:00 - 01/01/2024 05:00","BZN|DK1","2213.04","2222.00"
"01/01/2024 05:00 - 01/01/2024 06:00","BZN|DK1","2201.46","2202.00"
"01/01/2024 06:00 - 01/01/2024 07:00","BZN|DK1","2218.22","2211.00"
"01/01/2024 07:00 - 01/01/2024 08:00","BZN|DK1","2262.76","2248.00"
"01/01/2024 08:00 - 01/01/2024 09:00","BZN|DK1","2355.66","2346.00"
"01/01/2024 09:00 - 01/01/2024 10:00","BZN|DK1","2442.74","2427.00"
"01/01/2024 10:00 - 01/01/2024 11:00","BZN|DK1","2495.94","2507.00"
"01/01/2024 11:00 - 01/01/2024 12:00","BZN|DK1","2554.25","2547.00"
"01/01/2024 12:00 - 01/01/2024 13:00","BZN|DK1","2583.51","2573.00"
"01/01/2024 13:00 - 01/01/2024 14:00","BZN|DK1","2656.57","2608.00"
"01/01/2024 14:00 - 01/01/2024 15:00","BZN|DK1","2635.14","2629.00"
"01/01/2024 15:00 - 01/01/2024 16:00","BZN|DK1","2621.99","2627.00"
"01/01/2024 16:00 - 01/01/2024 17:00","BZN|DK1","2560.45","2669.00"
"01/01/2024 17:00 - 01/01/2024 18:00","BZN|DK1","2686.62","2714.00"
"01/01/2024 18:00 - 01/01/2024 19:00","BZN|DK1","2636.58","2642.00"
"01/01/2024 19:00 - 01/01/2024 20:00","BZN|DK1","2505.12","2509.00"
"01/01/2024 20:00 - 01/01/2024 21:00","BZN|DK1","2443.36","2445.00"
"01/01/2024 21:00 - 01/01/2024 22:00","BZN|DK1","2444.89","2419.00"
"01/01/2024 22:00 - 01/01/2024 23:00","BZN|DK1","2377.45","2434.00"
"01/01/2024 23:00 - 02/01/2024 00:00","BZN|DK1","2313.55","2427.00"
"02/01/2024 00:00 - 02/01/2024 01:00","BZN|DK1","2388.53","2409.00"
"02/01/2024 01:00 - 02/01/2024 02:00","BZN|DK1","2379.14","2376.00"
"02/01/2024 02:00 - 02/01/2024 03:00","BZN|DK1","2377.38","2400.00"
"02/01/2024 03:00 - 02/01/2024 04:00","BZN|DK1","2444.52","2470.00"
"02/01/2024 04:00 - 02/01/2024 05:00","BZN|DK1","2466.25","2541.00"
"02/01/2024 05:00 - 02/01/2024 06:00","BZN|DK1","2485.71","2615.00"
"02/01/2024 06:00 - 02/01/2024 07:00","BZN|DK1","2701.97","2714.00"
"02/01/2024 07:00 - 02/01/2024 08:00","BZN|DK1","2869.69","3002.00"
"02/01/2024 08:00 - 02/01/2024 09:00","BZN|DK1","3003.28","3069.00"
"02/01/2024 09:00 - 02/01/2024 10:00","BZN|DK1","3073.18","3064.00"
"02/01/2024 10:00 - 02/01/2024 11:00","BZN|DK1","3113.33","3115.00"
"02/01/2024 11:00 - 02/01/2024 12:00","BZN|DK1","3159.50","3116.00"
"02/01/2024 12:00 - 02/01/2024 13:00","BZN|DK1","3118.36","3097.00"
"02/01/2024 13:00 - 02/01/2024 14:00","BZN|DK1","3143.41","3116.00"
"02/01/2024 14:00 - 02/01/2024 15:00","BZN|DK1","3132.07","3097.00"
"02/01/2024 15:00 - 02/01/2024 16:00","BZN|DK1","3174.35","3117.00"
"02/01/2024 16:00 - 02/01/2024 17:00","BZN|DK1","3266.32","3275.00"
"02/01/2024 17:00 - 02/01/2024 18:00","BZN|DK1","3427.68","3467.00"
"02/01/2024 18:00 - 02/01/2024 19:00","BZN|DK1","3311.70","3297.00"
"02/01/2024 19:00 - 02/01/2024 20:00","BZN|DK1","3391.78","3269.00"
