"MTU (CET/CEST)","Area","Actual Total Load (MW)","Day-ahead Total Load Forecast (MW)"
"01/01/2022 00:00 - 01/01/2022 01:00","BZN|DK1","2028.55","2027.00"
"01/01/2022 01:00 - 01/01/2022 02:00","BZN|DK1","1974.42","1962.00"
"01/01/2022 02:00 - 01/01/2022 03:00","BZN|DK1","1934.49","1889.00"
"01/01/2022 03:00 - 01/01/2022 04:00","BZN|DK1","1882.11","1857.00"
"01/01/2022 04:00 - 01/01/2022 05:00","BZN|DK1","1850.01","1824.00"
"01/01/2022 05:00 - 01/01/2022 06:00","BZN|DK1","1843.53","1831.00"
"01/01/2022 06:00 - 01/01/2022 07:00","BZN|DK1","1890.98","1887.00"
"01/01/2022 07:00 - 01/01/2022 08:00","BZN|DK1","1965.07","1966.00"
"01/01/2022 08:00 - 01/01/2022 09:00","BZN|DK1","2074.23","2045.00"
"01/01/2022 09:00 - 01/01/2022 10:00","BZN|DK1","2169.43","2161.00"
"01/01/2022 10:00 - 01/01/2022 11:00","BZN|DK1","2259.80","2273.00"
"01/01/2022 11:00 - 01/01/2022 12:00","BZN|DK1","2318.99","2334.00"
"01/01/2022 12:00 - 01/01/2022 13:00","BZN|DK1","2352.23","2343.00"
"01/01/2022 13:00 - 01/01/2022 14:00","BZN|DK1","2375.22","2344.00"
"01/01/2022 14:00 - 01/01/2022 15:00","BZN|DK1","2349.59","2374.00"
"01/01/2022 15:00 - 01/01/2022 16:00","BZN|DK1","2377.52","2368.00"
"01/01/2022 16:00 - 01/01/2022 17:00","BZN|DK1","2504.66","2524.00"
"01/01/2022 17:00 - 01/01/2022 18:00","BZN|DK1","2668.17","2675.00"
"01/01/2022 18:00 - 01/01/2022 19:00","BZN|DK1","2619.19","2605.00"
"01/01/2022 19:00 - 01/01/2022 20:00","BZN|DK1","2436.27","2459.00"
"01/01/2022 20:00 - 01/01/2022 21:00","BZN|DK1","2358.96","2323.00"
"01/01/2022 21:00 - 01/01/2022 22:00","BZN|DK1","2285.57","2262.00"
"01/01/2022 22:00 - 01/01/2022 23:00","BZN|DK1","2170.64","2226.00"
"01/01/2022 23:00 - 02/01/2022 00:00","BZN|DK1","2093.13","2144.00"
"02/01/2022 00:00 - 02/01/2022 01:00","BZN|DK1","2048.41","2050.00"
"02/01/2022 01:00 - 02/01/2022 02:00","BZN|DK1","1932.61","1992.00"
"02/01/2022 02:00 - 02/01/2022 03:00","BZN|DK1","1898.98","1949.00"
"02/01/2022 03:00 - 02/01/2022 04:00","BZN|DK1","1906.87","1948.00"
"02/01/2022 04:00 - 02/01/2022 05:00","BZN|DK1","1876.34","1927.00"
"02/01/2022 05:00 - 02/01/2022 06:00","BZN|DK1","1942.81","1943.00"
"02/01/2022 06:00 - 02/01/2022 07:00","BZN|DK1","1989.48","2022.00"
"02/01/2022 07:00 - 02/01/2022 08:00","BZN|DK1","2116.97","2182.00"
"02/01/2022 08:00 - 02/01/2022 09:00","BZN|DK1","2286.18","2331.00"
"02/01/2022 09:00 - 02/01/2022 10:00","BZN|DK1","2373.42","2428.00"
"02/01/2022 10:00 - 02/01/2022 11:00","BZN|DK1","2461.68","2468.00"
"02/01/2022 11:00 - 02/01/2022 12:00","BZN|DK1","2495.68","2506.00"
"02/01/2022 12:00 - 02/01/2022 13:00","BZN|DK1","2500.18","2509.00"
"02/01/2022 13:00 - 02/01/2022 14:00","BZN|DK1","2510.35","2489.00"
"02/01/2022 14:00 - 02/01/2022 15:00","BZN|DK1","2489.99","2486.00"
"02/01/2022 15:00 - 02/01/2022 16:00","BZN|DK1","2572.33","2546.00"
"02/01/2022 16:00 - 02/01/2022 17:00","BZN|DK1","2694.14","2734.00"
"02/01/2022 17:00 - 02/01/2022 18:00","BZN|DK1","2895.29","2906.00"
"02/01/2022 18:00 - 02/01/2022 19:00","BZN|DK1","2781.93","2805.00"
"02/01/2022 19:00 - 02/01/2022 20:00","BZN|DK1","2616.28","2617.00"
"02/01/2022 20:00 - 02/01/2022 21:00","BZN|DK1","2471.49","2455.00"
"02/01/2022 21:00 - 02/01/2022 22:00","BZN|DK1","2370.86","2347.00"
"02/01/2022 22:00 - 02/01/2022 23:00","BZN|DK1","2265.80","2304.00"
"02/01/2022 23:00 - 03/01/2022 00:00","BZN|DK1","2141.41","2227.00"
"03/01/2022 00:00 - 03/01/2022 01:00","BZN|DK1","2049.20","2042.00"
"03/01/2022 01:00 - 03/01/2022 02:00","BZN|DK1","2070.28","2000.00"
"03/01/2022 02:00 - 03/01/2022 03:00","BZN|DK1","2074.81","2019.00"
"03/01/2022 03:00 - 03/01/2022 04:00","BZN|DK1","2064.53","2068.00"
"03/01/2022 04:00 - 03/01/2022 05:00","BZN|DK1","2104.88","2123.00"
"03/01/2022 05:00 - 03/01/2022 06:00","BZN|DK1","2218.09","2250.00"
"03/01/2022 06:00 - 03/01/2022 07:00","BZN|DK1","2644.67","2621.00"
"03/01/2022 07:00 - 03/01/2022 08:00","BZN|DK1","3028.37","3051.00"
"03/01/2022 08:00 - 03/01/2022 09:00","BZN|DK1","3201.84","3191.00"
"03/01/2022 09:00 - 03/01/2022 10:00","BZN|DK1","3138.04","3127.00"
"03/01/2022 10:00 - 03/01/2022 11:00","BZN|DK1","3201.70","3172.00"
"03/01/2022 11:00 - 03/01/2022 12:00","BZN|DK1","3246.36","3245.00"
"03/01/2022 12:00 - 03/01/2022 13:00","BZN|DK1","3176.43","3189.00"
"03/01/2022 13:00 - 03/01/2022 14:00","BZN|DK1","3129.74","3159.00"
"03/01/2022 14:00 - 03/01/2022 15:00","BZN|DK1","3118.25","3134.00"
"03/01/2022 15:00 - 03/01/2022 16:00","BZN|DK1","3101.16","3068.00"
"03/01/2022 16:00 - 03/01/2022 17:00","BZN|DK1","3183.50","3189.00"
"03/01/2022 17:00 - 03/01/2022 18:00","BZN|DK1","3366.46","3384.00"
"03/01/2022 18:00 - 03/01/2022 19:00","BZN|DK1","3214.56","3193.00"
"03/01/2022 19:00 - 03/01/2022 20:00","BZN|DK1","3021.29","3063.00"
"03/01/2022 20:00 - 03/01/2022 21:00","BZN|DK1","2779.78","2877.00"
"03/01/2022 21:00 - 03/01/2022 22:00","BZN|DK1","2640.67","2735.00"
"03/01/2022 22:00 - 03/01/2022 23:00","BZN|DK1","2487.68","2618.00"
"03/01/2022 23:00 - 04/01/2022 00:00","BZN|DK1","2320.61","2462.00"
"04/01/2022 00:00 - 04/01/2022 01:00","BZN|DK1","2223.07","2182.00"
"04/01/2022 01:00 - 04/01/2022 02:00","BZN|DK1","2190.55","2159.00"
"04/01/2022 02:00 - 04/01/2022 03:00","BZN|DK1","2154.18","2157.00"
"04/01/2022 03:00 - 04/01/2022 04:00","BZN|DK1","2169.66","2174.00"
"04/01/2022 04:00 - 04/01/2022 05:00","BZN|DK1","2220.02","2238.00"
"04/01/2022 05:00 - 04/01/2022 06:00","BZN|DK1","2318.04","2363.00"
"04/01/2022 06:00 - 04/01/2022 07:00","BZN|DK1","2658.60","2643.00"
"04/01/2022 07:00 - 04/01/2022 08:00","BZN|DK1","3044.02","3032.00"
"04/01/2022 08:00 - 04/01/2022 09:00","BZN|DK1","3226.12","3240.00"
"04/01/2022 09:00 - 04/01/2022 10:00","BZN|DK1","3226.68","3256.00"
"04/01/2022 10:00 - 04/01/2022 11:00","BZN|DK1","3287.80","3259.00"
"04/01/2022 11:00 - 04/01/2022 12:00","BZN|DK1","3284.79","3264.00"
"04/01/2022 12:00 - 04/01/2022 13:00","BZN|DK1","3206.64","3216.00"
"04/01/2022 13:00 - 04/01/2022 14:00","BZN|DK1","3188.26","3200.00"
"04/01/2022 14:00 - 04/01/2022 15:00","BZN|DK1","3145.54","3161.00"
"04/01/2022 15:00 - 04/01/2022 16:00","BZN|DK1","3082.61","3064.00"
"04/01/2022 16:00 - 04/01/2022 17:00","BZN|DK1","3197.73","3191.00"
"04/01/2022 17:00 - 04/01/2022 18:00","BZN|DK1","3398.15","3400.00"
"04/01/2022 18:00 - 04/01/2022 19:00","BZN|DK1","3255.19","3262.00"
"04/01/2022 19:00 - 04/01/2022 20:00","BZN|DK1","3098.86","3043.00"
"04/01/2022 20:00 - 04/01/2022 21:00","BZN|DK1","2931.22","2936.00"
"04/01/2022 21:00 - 04/01/2022 22:00","BZN|DK1","2806.40","2793.00"
"04/01/2022 22:00 - 04/01/2022 23:00","BZN|DK1","2648.52","2625.00"
"04/01/2022 23:00 - 05/01/2022 00:00","BZN|DK1","2488.71","2450.00"
"05/01/2022 00:00 - 05/01/2022 01:00","BZN|DK1","2408.94","2356.00"
"05/01/2022 01:00 - 05/01/2022 02:00","BZN|DK1","2320.63","2295.00"
"05/01/2022 02:00 - 05/01/2022 03:00","BZN|DK1","2427.11","2369.00"
"05/01/2022 03:00 - 05/01/2022 04:00","BZN|DK1","2415.36","2406.00"
"05/01/2022 04:00 - 05/01/2022 05:00","BZN|DK1","2404.87","2442.00"
"05/01/2022 05:00 - 05/01/2022 06:00","BZN|DK1","2446.60","2498.00"
"05/01/2022 06:00 - 05/01/2022 07:00","BZN|DK1","2819.92","2779.00"
"05/01/2022 07:00 - 05/01/2022 08:00","BZN|DK1","3195.33","3177.00"
"05/01/2022 08:00 - 05/01/2022 09:00","BZN|DK1","3340.41","3361.00"
"05/01/2022 09:00 - 05/01/2022 10:00","BZN|DK1","3350.61","3334.00"
"05/01/2022 10:00 - 05/01/2022 11:00","BZN|DK1","3394.37","3374.00"
"05/01/2022 11:00 - 05/01/2022 12:00","BZN|DK1","3410.88","3376.00"
