"MTU (CET/CEST)","Area","Actual Total Load (MW)","Day-ahead Total Load Forecast (MW)"
"01/01/2017 00:00 - 01/01/2017 01:00","BZN|DK1","1587.91","1572.30"
"01/01/2017 01:00 - 01/01/2017 02:00","BZN|DK1","1563.81","1548.80"
"01/01/2017 02:00 - 01/01/2017 03:00","BZN|DK1","1480.84","1496.50"
"01/01/2017 03:00 - 01/01/2017 04:00","BZN|DK1","1408.38","1427.80"
"01/01/2017 04:00 - 01/01/2017 05:00","BZN|DK1","1432.12","1394.40"
"01/01/2017 05:00 - 01/01/2017 06:00","BZN|DK1","1443.35","1456.80"
"01/01/2017 06:00 - 01/01/2017 07:00","BZN|DK1","1467.84","1503.00"
"01/01/2017 07:00 - 01/01/2017 08:00","BZN|DK1","1531.05","1541.30"
"01/01/2017 08:00 - 01/01/2017 09:00","BZN|DK1","1615.37","1587.50"
"01/01/2017 09:00 - 01/01/2017 10:00","BZN|DK1","1705.80","1698.70"
"01/01/2017 10:00 - 01/01/2017 11:00","BZN|DK1","1828.87","1820.40"
"01/01/2017 11:00 - 01/01/2017 12:00","BZN|DK1","1915.91","1906.40"
"01/01/2017 12:00 - 01/01/2017 13:00","BZN|DK1","1953.20","1941.90"
"01/01/2017 13:00 - 01/01/2017 14:00","BZN|DK1","1910.46","1919.20"
"01/01/2017 14:00 - 01/01/2017 15:00","BZN|DK1","1901.84","1908.10"
"01/01/2017 15:00 - 01/01/2017 16:00","BZN|DK1","1944.70","1940.20"
"01/01/2017 16:00 - 01/01/2017 17:00","BZN|DK1","2125.88","2127.60"
"01/01/2017 17:00 - 01/01/2017 18:00","BZN|DK1","2344.93","2335.50"
"01/01/2017 18:00 - 01/01/2017 19:00","BZN|DK1","2297.39","2299.60"
"01/01/2017 19:00 - 01/01/2017 20:00","BZN|DK1","2176.76","2165.50"
"01/01/2017 20:00 - 01/01/2017 21:00","BZN|DK1","2007.05","2025.50"
"01/01/2017 21:00 - 01/01/2017 22:00","BZN|DK1","1875.44","1893.40"
"01/01/2017 22:00 - 01/01/2017 23:00","BZN|DK1","1742.18","1757.20"
"01/01/2017 23:00 - 02/01/2017 00:00","BZN|DK1","1577.98","1678.70"
"02/01/2017 00:00 - 02/01/2017 01:00","BZN|DK1","1477.18","1520.40"
"02/01/2017 01:00 - 02/01/2017 02:00","BZN|DK1","1438.24","1460.20"
"02/01/2017 02:00 - 02/01/2017 03:00","BZN|DK1","1460.18","1491.60"
"02/01/2017 03:00 - 02/01/2017 04:00","BZN|DK1","1465.43","1526.80"
"02/01/2017 04:00 - 02/01/2017 05:00","BZN|DK1","1543.96","1574.80"
"02/01/2017 05:00 - 02/01/2017 06:00","BZN|DK1","1707.61","1714.10"
"02/01/2017 06:00 - 02/01/2017 07:00","BZN|DK1","2103.96","2093.00"
"02/01/2017 07:00 - 02/01/2017 08:00","BZN|DK1","2565.50","2586.30"
"02/01/2017 08:00 - 02/01/2017 09:00","BZN|DK1","2807.79","2807.50"
"02/01/2017 09:00 - 02/01/2017 10:00","BZN|DK1","2834.63","2845.30"
"02/01/2017 10:00 - 02/01/2017 11:00","BZN|DK1","2865.57","2895.50"
"02/01/2017 11:00 - 02/01/2017 12:00","BZN|DK1","2794.04","2825.60"
"02/01/2017 12:00 - 02/01/2017 13:00","BZN|DK1","2668.96","2733.20"
"02/01/2017 13:00 - 02/01/2017 14:00","BZN|DK1","2690.74","2683.40"
"02/01/2017 14:00 - 02/01/2017 15:00","BZN|DK1","2654.04","2668.40"
"02/01/2017 15:00 - 02/01/2017 16:00","BZN|DK1","2659.42","2663.40"
"02/01/2017 16:00 - 02/01/2017 17:00","BZN|DK1","2830.25","2810.80"
"02/01/2017 17:00 - 02/01/2017 18:00","BZN|DK1","3085.85","3062.90"
"02/01/2017 18:00 - 02/01/2017 19:00","BZN|DK1","2911.49","2938.20"
"02/01/2017 19:00 - 02/01/2017 20:00","BZN|DK1","2734.34","2736.00"
"02/01/2017 20:00 - 02/01/2017 21:00","BZN|DK1","2537.16","2512.20"
"02/01/2017 21:00 - 02/01/2017 22:00","BZN|DK1","2399.48","2361.40"
"02/01/2017 22:00 - 02/01/2017 23:00","BZN|DK1","2196.67","2165.90"
"02/01/2017 23:00 - 03/01/2017 00:00","BZN|DK1","2055.45","1960.30"
"03/01/2017 00:00 - 03/01/2017 01:00","BZN|DK1","1881.06","1902.00"
"03/01/2017 01:00 - 03/01/2017 02:00","BZN|DK1","1768.51","1826.80"
"03/01/2017 02:00 - 03/01/2017 03:00","BZN|DK1","1703.05","1767.00"
"03/01/2017 03:00 - 03/01/2017 04:00","BZN|DK1","1727.90","1729.00"
"03/01/2017 04:00 - 03/01/2017 05:00","BZN|DK1","1779.07","1789.30"
"03/01/2017 05:00 - 03/01/2017 06:00","BZN|DK1","1910.91","1937.00"
"03/01/2017 06:00 - 03/01/2017 07:00","BZN|DK1","2256.99","2294.80"
"03/01/2017 07:00 - 03/01/2017 08:00","BZN|DK1","2727.05","2711.70"
"03/01/2017 08:00 - 03/01/2017 09:00","BZN|DK1","2968.71","2932.70"
"03/01/2017 09:00 - 03/01/2017 10:00","BZN|DK1","2911.49","2919.70"
"03/01/2017 10:00 - 03/01/2017 11:00","BZN|DK1","2902.10","2940.80"
"03/01/2017 11:00 - 03/01/2017 12:00","BZN|DK1","2788.67","2880.20"
"03/01/2017 12:00 - 03/01/2017 13:00","BZN|DK1","2732.42","2765.30"
"03/01/2017 13:00 - 03/01/2017 14:00","BZN|DK1","2686.68","2710.00"
"03/01/2017 14:00 - 03/01/2017 15:00","BZN|DK1","2653.20","2649.10"
"03/01/2017 15:00 - 03/01/2017 16:00","BZN|DK1","2549.13","2572.10"
"03/01/2017 16:00 - 03/01/2017 17:00","BZN|DK1","2666.74","2687.70"
"03/01/2017 17:00 - 03/01/2017 18:00","BZN|DK1","2812.40","2864.20"
"03/01/2017 18:00 - 03/01/2017 19:00","BZN|DK1","2666.03","2676.40"
"03/01/2017 19:00 - 03/01/2017 20:00","BZN|DK1","2537.35","2539.00"
"03/01/2017 20:00 - 03/01/2017 21:00","BZN|DK1","2362.17","2357.30"
"03/01/2017 21:00 - 03/01/2017 22:00","BZN|DK1","2205.71","2193.00"
"03/01/2017 22:00 - 03/01/2017 23:00","BZN|DK1","1991.12","2002.80"
"03/01/2017 23:00 - 04/01/2017 00:00","BZN|DK1","1869.17","1828.50"
"04/01/2017 00:00 - 04/01/2017 01:00","BZN|DK1","1727.61","1753.50"
"04/01/2017 01:00 - 04/01/2017 02:00","BZN|DK1","1582.98","1662.20"
"04/01/2017 02:00 - 04/01/2017 03:00","BZN|DK1","1659.38","1670.80"
"04/01/2017 03:00 - 04/01/2017 04:00","BZN|DK1","1661.65","1676.50"
"04/01/2017 04:00 - 04/01/2017 05:00","BZN|DK1","1646.64","1708.00"
"04/01/2017 05:00 - 04/01/2017 06:00","BZN|DK1","1752.79","1789.10"
"04/01/2017 06:00 - 04/01/2017 07:00","BZN|DK1","2156.01","2182.10"
"04/01/2017 07:00 - 04/01/2017 08:00","BZN|DK1","2571.12","2602.00"
"04/01/2017 08:00 - 04/01/2017 09:00","BZN|DK1","2766.02","2762.50"
"04/01/2017 09:00 - 04/01/2017 10:00","BZN|DK1","2692.28","2743.20"
"04/01/2017 10:00 - 04/01/2017 11:00","BZN|DK1","2702.41","2753.30"
"04/01/2017 11:00 - 04/01/2017 12:00","BZN|DK1","2702.05","2740.30"
"04/01/2017 12:00 - 04/01/2017 13:00","BZN|DK1","2614.29","2648.60"
"04/01/2017 13:00 - 04/01/2017 14:00","BZN|DK1","2603.46","2600.50"
"04/01/2017 14:00 - 04/01/2017 15:00","BZN|DK1","2600.42","2582.80"
"04/01/2017 15:00 - 04/01/2017 16:00","BZN|DK1","2580.85","2570.70"
"04/01/2017 16:00 - 04/01/2017 17:00","BZN|DK1","2669.11","2661.00"
"04/01/2017 17:00 - 04/01/2017 18:00","BZN|DK1","2918.41","2902.10"
"04/01/2017 18:00 - 04/01/2017 19:00","BZN|DK1","2788.96","2783.90"
"04/01/2017 19:00 - 04/01/2017 20:00","BZN|DK1","2643.95","2602.70"
