"MTU (CET/CEST)","Area","Actual Total Load (MW)","Day-ahead Total Load Forecast (MW)"
"01/01/2018 00:00 - 01/01/2018 01:00","BZN|DK1","1814.49","1831.00"
"01/01/2018 01:00 - 01/01/2018 02:00","BZN|DK1","1741.92","1747.80"
"01/01/2018 02:00 - 01/01/2018 03:00","BZN|DK1","1657.52","1659.40"
"01/01/2018 03:00 - 01/01/2018 04:00","BZN|DK1","1594.26","1599.50"
"01/01/2018 04:00 - 01/01/2018 05:00","BZN|DK1","1535.88","1560.50"
"01/01/2018 05:00 - 01/01/2018 06:00","BZN|DK1","1505.07","1534.00"
"01/01/2018 06:00 - 01/01/2018 07:00","BZN|DK1","1577.66","1576.90"
"01/01/2018 07:00 - 01/01/2018 08:00","BZN|DK1","1639.53","1669.50"
"01/01/2018 08:00 - 01/01/2018 09:00","BZN|DK1","1696.04","1665.90"
"01/01/2018 09:00 - 01/01/2018 10:00","BZN|DK1","1885.77","1856.20"
"01/01/2018 10:00 - 01/01/2018 11:00","BZN|DK1","1986.64","1986.80"
"01/01/2018 11:00 - 01/01/2018 12:00","BZN|DK1","2050.25","2039.20"
"01/01/2018 12:00 - 01/01/2018 13:00","BZN|DK1","2095.13","2081.40"
"01/01/2018 13:00 - 01/01/2018 14:00","BZN|DK1","2038.83","2058.00"
"01/01/2018 14:00 - 01/01/2018 15:00","BZN|DK1","2133.37","2069.70"
"01/01/2018 15:00 - 01/01/2018 16:00","BZN|DK1","2117.55","2169.30"
"01/01/2018 16:00 - 01/01/2018 17:00","BZN|DK1","2234.05","2255.50"
"01/01/2018 17:00 - 01/01/2018 18:00","BZN|DK1","2444.58","2452.50"
"01/01/2018 18:00 - 01/01/2018 19:00","BZN|DK1","2397.28","2391.90"
"01/01/2018 19:00 - 01/01/2018 20:00","BZN|DK1","2243.29","2243.40"
"01/01/2018 20:00 - 01/01/2018 21:00","BZN|DK1","2097.71","2114.30"
"01/01/2018 21:00 - 01/01/2018 22:00","BZN|DK1","1968.75","2008.60"
"01/01/2018 22:00 - 01/01/2018 23:00","BZN|DK1","1853.88","1902.80"
"01/01/2018 23:00 - 02/01/2018 00:00","BZN|DK1","1729.21","1847.80"
"02/01/2018 00:00 - 02/01/2018 01:00","BZN|DK1","1644.11","1671.60"
"02/01/2018 01:00 - 02/01/2018 02:00","BZN|DK1","1622.64","1629.30"
"02/01/2018 02:00 - 02/01/2018 03:00","BZN|DK1","1601.76","1630.50"
"02/01/2018 03:00 - 02/01/2018 04:00","BZN|DK1","1613.53","1649.30"
"02/01/2018 04:00 - 02/01/2018 05:00","BZN|DK1","1661.01","1686.70"
"02/01/2018 05:00 - 02/01/2018 06:00","BZN|DK1","1756.22","1782.80"
"02/01/2018 06:00 - 02/01/2018 07:00","BZN|DK1","2093.95","2164.40"
